inst#,actual,predicted,error,prediction,ID
1,8:8,1:1,+,0.875,0
2,10:10,1:1,+,0.875,9
3,1:1,1:1,,0.875,11
4,1:1,1:1,,0.875,15
5,1:1,1:1,,0.875,19
6,1:1,1:1,,0.875,22
7,16:16,9:9,+,0.889,25
8,6:6,4:4,+,0.733,30
9,1:1,1:1,,0.875,33
10,6:6,1:1,+,0.875,39
11,1:1,1:1,,0.875,42
12,5:5,1:1,+,0.875,46
13,6:6,1:1,+,0.875,55
14,1:1,15:15,+,0.667,56
15,1:1,1:1,,0.875,57
16,6:6,1:1,+,0.875,70
17,1:1,1:1,,0.875,72
18,1:1,1:1,,0.875,73
19,10:10,10:10,,0.857,75
20,3:3,3:3,,0.833,76
21,2:2,2:2,,0.727,77
22,1:1,1:1,,0.875,78
23,1:1,1:1,,0.875,79
24,2:2,1:1,+,0.875,82
25,1:1,1:1,,0.875,90
26,5:5,5:5,,1,93
27,1:1,16:16,+,0.75,101
28,1:1,1:1,,0.875,113
29,16:16,1:1,+,0.875,116
30,1:1,1:1,,0.875,117
31,1:1,1:1,,0.875,124
32,1:1,1:1,,0.875,132
33,10:10,1:1,+,0.875,137
34,1:1,1:1,,0.875,140
35,6:6,6:6,,0.85,153
36,1:1,1:1,,0.875,165
37,1:1,1:1,,0.875,180
38,2:2,1:1,+,0.875,192
39,1:1,1:1,,0.875,196
40,3:3,3:3,,0.833,204
41,10:10,1:1,+,0.875,209
42,3:3,3:3,,0.833,218
43,16:16,3:3,+,0.833,227
44,1:1,1:1,,0.875,234
45,1:1,1:1,,0.875,244
46,2:2,2:2,,0.727,245
47,4:4,1:1,+,0.875,248
48,2:2,1:1,+,0.875,275
49,10:10,1:1,+,0.875,278
50,1:1,1:1,,0.875,280
51,10:10,1:1,+,0.875,284
52,1:1,1:1,,0.875,287
53,1:1,1:1,,0.875,289
54,1:1,1:1,,0.875,290
55,10:10,4:4,+,0.733,291
56,10:10,10:10,,1,297
57,10:10,15:15,+,0.667,298
58,1:1,1:1,,0.875,299
59,6:6,1:1,+,0.875,302
60,2:2,2:2,,0.727,304
61,10:10,6:6,+,0.85,312
62,1:1,1:1,,0.875,317
63,16:16,1:1,+,0.875,332
64,10:10,10:10,,0.667,336
65,1:1,1:1,,0.875,338
66,16:16,1:1,+,0.875,340
67,10:10,1:1,+,0.875,353
68,1:1,1:1,,0.875,355
69,2:2,4:4,+,0.733,368
70,9:9,9:9,,0.889,370
71,1:1,1:1,,0.875,373
72,10:10,5:5,+,1,379
73,1:1,1:1,,0.875,383
74,1:1,1:1,,0.875,390
75,1:1,1:1,,0.875,396
76,3:3,3:3,,0.833,398
77,10:10,1:1,+,0.875,400
78,14:14,16:16,+,0.75,401
79,16:16,1:1,+,0.875,409
80,10:10,5:5,+,1,417
81,15:15,15:15,,0.667,420
82,1:1,1:1,,0.875,423
83,1:1,1:1,,0.875,426
84,1:1,1:1,,0.875,428
85,3:3,3:3,,0.833,433
86,1:1,1:1,,0.875,437
87,1:1,1:1,,0.875,439
88,1:1,1:1,,0.875,442
89,10:10,10:10,,0.667,443
90,1:1,1:1,,0.875,446
91,1:1,1:1,,0.875,447

