inst#,actual,predicted,error,prediction,ID
1,8:8,1:1,+,0.619,0
2,10:10,10:10,,0.395,9
3,1:1,1:1,,0.66,11
4,1:1,1:1,,0.83,15
5,1:1,1:1,,0.601,19
6,1:1,1:1,,0.772,22
7,16:16,9:9,+,0.42,25
8,6:6,4:4,+,0.473,30
9,1:1,1:1,,0.757,33
10,6:6,10:10,+,0.376,39
11,1:1,1:1,,0.437,42
12,5:5,1:1,+,0.675,46
13,6:6,1:1,+,0.842,55
14,1:1,1:1,,0.398,56
15,1:1,2:2,+,0.374,57
16,6:6,1:1,+,0.828,70
17,1:1,1:1,,0.738,72
18,1:1,1:1,,0.496,73
19,10:10,10:10,,0.752,75
20,3:3,3:3,,0.486,76
21,2:2,1:1,+,0.479,77
22,1:1,1:1,,0.547,78
23,1:1,1:1,,0.503,79
24,2:2,2:2,,0.55,82
25,1:1,1:1,,0.608,90
26,5:5,1:1,+,0.655,93
27,1:1,1:1,,0.637,101
28,1:1,1:1,,0.681,113
29,16:16,2:2,+,0.762,116
30,1:1,1:1,,0.818,117
31,1:1,1:1,,0.684,124
32,1:1,1:1,,0.785,132
33,10:10,10:10,,0.233,137
34,1:1,1:1,,0.798,140
35,6:6,1:1,+,0.791,153
36,1:1,1:1,,0.62,165
37,1:1,1:1,,0.565,180
38,2:2,1:1,+,0.585,192
39,1:1,1:1,,0.727,196
40,3:3,3:3,,0.686,204
41,10:10,1:1,+,0.595,209
42,3:3,3:3,,0.57,218
43,16:16,1:1,+,0.781,227
44,1:1,1:1,,0.837,234
45,1:1,1:1,,0.788,244
46,2:2,2:2,,0.722,245
47,4:4,10:10,+,0.486,248
48,2:2,1:1,+,0.671,275
49,10:10,1:1,+,0.595,278
50,1:1,1:1,,0.496,280
51,10:10,1:1,+,0.415,284
52,1:1,1:1,,0.689,287
53,1:1,1:1,,0.807,289
54,1:1,10:10,+,0.238,290
55,10:10,10:10,,0.549,291
56,10:10,10:10,,0.778,297
57,10:10,10:10,,0.837,298
58,1:1,1:1,,0.857,299
59,6:6,1:1,+,0.573,302
60,2:2,2:2,,0.578,304
61,10:10,10:10,,0.792,312
62,1:1,1:1,,0.814,317
63,16:16,1:1,+,0.784,332
64,10:10,10:10,,0.382,336
65,1:1,1:1,,0.838,338
66,16:16,10:10,+,0.436,340
67,10:10,2:2,+,0.783,353
68,1:1,1:1,,0.466,355
69,2:2,2:2,,0.724,368
70,9:9,2:2,+,0.498,370
71,1:1,1:1,,0.792,373
72,10:10,10:10,,0.827,379
73,1:1,1:1,,0.735,383
74,1:1,1:1,,0.535,390
75,1:1,1:1,,0.811,396
76,3:3,3:3,,0.413,398
77,10:10,1:1,+,0.841,400
78,14:14,1:1,+,0.553,401
79,16:16,1:1,+,0.808,409
80,10:10,10:10,,0.618,417
81,15:15,2:2,+,0.609,420
82,1:1,1:1,,0.761,423
83,1:1,1:1,,0.781,426
84,1:1,2:2,+,0.432,428
85,3:3,3:3,,0.542,433
86,1:1,1:1,,0.691,437
87,1:1,1:1,,0.626,439
88,1:1,1:1,,0.666,442
89,10:10,10:10,,0.796,443
90,1:1,1:1,,0.825,446
91,1:1,1:1,,0.65,447

