inst#,actual,predicted,error,prediction,ID
1,8:8,1:1,+,0.715,0
2,10:10,1:1,+,0.452,9
3,1:1,1:1,,0.57,11
4,1:1,1:1,,0.845,15
5,1:1,1:1,,0.831,19
6,1:1,1:1,,0.771,22
7,16:16,1:1,+,0.482,25
8,6:6,4:4,+,0.551,30
9,1:1,1:1,,0.734,33
10,6:6,1:1,+,0.657,39
11,1:1,1:1,,0.619,42
12,5:5,1:1,+,0.611,46
13,6:6,1:1,+,0.876,55
14,1:1,1:1,,0.793,56
15,1:1,1:1,,0.68,57
16,6:6,1:1,+,0.87,70
17,1:1,1:1,,0.757,72
18,1:1,1:1,,0.753,73
19,10:10,1:1,+,0.527,75
20,3:3,3:3,,0.615,76
21,2:2,2:2,,0.444,77
22,1:1,1:1,,0.531,78
23,1:1,1:1,,0.642,79
24,2:2,1:1,+,0.46,82
25,1:1,2:2,+,0.485,90
26,5:5,2:2,+,0.546,93
27,1:1,1:1,,0.671,101
28,1:1,1:1,,0.84,113
29,16:16,1:1,+,0.691,116
30,1:1,1:1,,0.844,117
31,1:1,1:1,,0.496,124
32,1:1,1:1,,0.825,132
33,10:10,1:1,+,0.238,137
34,1:1,1:1,,0.849,140
35,6:6,1:1,+,0.726,153
36,1:1,1:1,,0.739,165
37,1:1,1:1,,0.717,180
38,2:2,1:1,+,0.704,192
39,1:1,1:1,,0.791,196
40,3:3,3:3,,0.657,204
41,10:10,1:1,+,0.814,209
42,3:3,3:3,,0.564,218
43,16:16,1:1,+,0.833,227
44,1:1,1:1,,0.864,234
45,1:1,1:1,,0.805,244
46,2:2,2:2,,0.781,245
47,4:4,2:2,+,0.654,248
48,2:2,1:1,+,0.801,275
49,10:10,1:1,+,0.767,278
50,1:1,1:1,,0.626,280
51,10:10,1:1,+,0.789,284
52,1:1,1:1,,0.763,287
53,1:1,1:1,,0.748,289
54,1:1,2:2,+,0.717,290
55,10:10,1:1,+,0.872,291
56,10:10,10:10,,0.711,297
57,10:10,10:10,,0.427,298
58,1:1,1:1,,0.893,299
59,6:6,1:1,+,0.804,302
60,2:2,2:2,,0.783,304
61,10:10,10:10,,0.759,312
62,1:1,1:1,,0.844,317
63,16:16,1:1,+,0.851,332
64,10:10,5:5,+,0.264,336
65,1:1,1:1,,0.863,338
66,16:16,1:1,+,0.755,340
67,10:10,1:1,+,0.554,353
68,1:1,1:1,,0.61,355
69,2:2,2:2,,0.785,368
70,9:9,9:9,,0.814,370
71,1:1,1:1,,0.787,373
72,10:10,10:10,,0.783,379
73,1:1,1:1,,0.816,383
74,1:1,1:1,,0.67,390
75,1:1,1:1,,0.782,396
76,3:3,3:3,,0.669,398
77,10:10,1:1,+,0.864,400
78,14:14,1:1,+,0.673,401
79,16:16,1:1,+,0.736,409
80,10:10,2:2,+,0.315,417
81,15:15,2:2,+,0.754,420
82,1:1,1:1,,0.785,423
83,1:1,1:1,,0.786,426
84,1:1,1:1,,0.765,428
85,3:3,2:2,+,0.406,433
86,1:1,1:1,,0.792,437
87,1:1,1:1,,0.669,439
88,1:1,1:1,,0.555,442
89,10:10,10:10,,0.784,443
90,1:1,1:1,,0.854,446
91,1:1,2:2,+,0.621,447

