inst#,actual,predicted,error,prediction,ID
1,1:1,1:1,,0.639,3
2,14:14,1:1,+,0.363,5
3,1:1,1:1,,0.73,7
4,10:10,1:1,+,0.439,16
5,1:1,1:1,,0.57,17
6,1:1,1:1,,0.524,18
7,1:1,1:1,,0.834,24
8,14:14,1:1,+,0.493,26
9,2:2,2:2,,0.39,29
10,1:1,1:1,,0.84,31
11,1:1,1:1,,0.76,36
12,4:4,1:1,+,0.54,45
13,5:5,10:10,+,0.37,60
14,1:1,1:1,,0.67,63
15,2:2,1:1,+,0.39,66
16,1:1,1:1,,0.93,74
17,4:4,1:1,+,0.26,83
18,6:6,1:1,+,0.53,84
19,10:10,10:10,,0.7,94
20,6:6,1:1,+,0.79,104
21,2:2,16:16,+,0.2,108
22,1:1,1:1,,0.35,109
23,1:1,1:1,,0.76,110
24,6:6,1:1,+,0.65,114
25,1:1,1:1,,0.54,118
26,1:1,1:1,,0.79,119
27,1:1,1:1,,0.65,126
28,1:1,1:1,,0.8,131
29,1:1,1:1,,0.88,139
30,5:5,1:1,+,0.33,141
31,10:10,10:10,,0.52,145
32,1:1,1:1,,0.81,148
33,1:1,1:1,,0.55,152
34,16:16,1:1,+,0.75,154
35,1:1,1:1,,0.79,155
36,2:2,1:1,+,0.46,157
37,5:5,1:1,+,0.76,168
38,1:1,1:1,,0.72,172
39,10:10,1:1,+,0.47,173
40,6:6,1:1,+,0.53,175
41,1:1,1:1,,0.89,176
42,16:16,1:1,+,0.7,181
43,4:4,1:1,+,0.28,185
44,2:2,1:1,+,0.42,193
45,1:1,1:1,,0.67,195
46,1:1,1:1,,0.59,199
47,1:1,1:1,,0.95,203
48,1:1,1:1,,0.79,208
49,1:1,1:1,,0.69,220
50,6:6,1:1,+,0.76,222
51,3:3,1:1,+,0.29,225
52,1:1,1:1,,0.78,229
53,4:4,4:4,,0.27,231
54,2:2,2:2,,0.35,237
55,1:1,1:1,,0.78,238
56,10:10,1:1,+,0.6,250
57,1:1,1:1,,0.54,265
58,1:1,1:1,,0.59,268
59,6:6,1:1,+,0.58,272
60,1:1,1:1,,0.59,281
61,3:3,3:3,,0.36,285
62,1:1,1:1,,0.87,286
63,2:2,2:2,,0.46,294
64,1:1,1:1,,0.65,301
65,1:1,1:1,,0.76,310
66,2:2,2:2,,0.43,322
67,2:2,2:2,,0.43,329
68,10:10,10:10,,0.54,334
69,1:1,1:1,,0.72,347
70,1:1,1:1,,0.67,349
71,2:2,1:1,+,0.34,351
72,3:3,3:3,,0.64,356
73,2:2,1:1,+,0.48,357
74,8:8,1:1,+,0.33,376
75,1:1,1:1,,0.86,377
76,1:1,2:2,+,0.33,389
77,1:1,1:1,,0.56,391
78,1:1,1:1,,0.41,394
79,9:9,9:9,,0.52,395
80,5:5,10:10,+,0.4,403
81,1:1,1:1,,0.75,407
82,1:1,2:2,+,0.3,408
83,4:4,1:1,+,0.31,410
84,2:2,1:1,+,0.64,411
85,16:16,1:1,+,0.48,412
86,1:1,1:1,,0.81,418
87,1:1,1:1,,0.5,421
88,1:1,1:1,,0.71,422
89,1:1,1:1,,0.67,438
90,1:1,1:1,,0.63,440
91,1:1,1:1,,0.61,445

