inst#,actual,predicted,error,prediction,ID
1,6:6,1:1,+,0.793,1
2,6:6,1:1,+,0.992,13
3,1:1,1:1,,0.793,20
4,1:1,1:1,,0.397,21
5,4:4,1:1,+,0.793,34
6,1:1,1:1,,0.992,43
7,6:6,1:1,+,0.992,48
8,1:1,2:2,+,0.397,49
9,1:1,1:1,,0.793,50
10,10:10,1:1,+,0.793,52
11,16:16,1:1,+,0.992,53
12,16:16,6:6,+,0.595,54
13,6:6,1:1,+,0.992,58
14,16:16,1:1,+,0.793,71
15,1:1,1:1,,0.992,80
16,4:4,1:1,+,0.397,87
17,9:9,1:1,+,0.595,88
18,4:4,1:1,+,0.793,91
19,1:1,1:1,,0.992,99
20,1:1,1:1,,0.595,102
21,4:4,4:4,,0.397,105
22,6:6,1:1,+,0.793,106
23,1:1,1:1,,0.992,121
24,1:1,1:1,,0.793,130
25,10:10,1:1,+,0.992,134
26,10:10,1:1,+,0.793,149
27,1:1,1:1,,0.595,151
28,1:1,1:1,,0.595,160
29,1:1,1:1,,0.992,161
30,1:1,1:1,,0.793,166
31,4:4,1:1,+,0.595,169
32,15:15,1:1,+,0.793,174
33,2:2,6:6,+,0.397,187
34,14:14,1:1,+,0.397,188
35,9:9,1:1,+,0.595,189
36,1:1,1:1,,0.595,190
37,1:1,1:1,,0.793,191
38,1:1,1:1,,0.793,201
39,1:1,1:1,,0.992,205
40,9:9,1:1,+,0.397,207
41,2:2,1:1,+,0.595,212
42,4:4,1:1,+,0.793,214
43,15:15,1:1,+,0.992,217
44,2:2,1:1,+,0.992,235
45,1:1,2:2,+,0.397,241
46,15:15,1:1,+,0.992,243
47,4:4,1:1,+,0.595,251
48,3:3,3:3,,0.793,252
49,3:3,3:3,,0.595,257
50,2:2,1:1,+,0.793,259
51,1:1,1:1,,0.793,263
52,1:1,1:1,,0.992,264
53,1:1,1:1,,0.595,269
54,1:1,1:1,,0.793,270
55,1:1,1:1,,0.992,273
56,1:1,1:1,,0.793,276
57,10:10,1:1,+,0.595,293
58,2:2,1:1,+,0.992,295
59,3:3,1:1,+,0.793,303
60,16:16,1:1,+,0.992,306
61,2:2,1:1,+,0.595,308
62,7:7,1:1,+,0.793,309
63,10:10,1:1,+,0.397,313
64,1:1,1:1,,0.793,315
65,10:10,1:1,+,0.397,319
66,1:1,1:1,,0.595,328
67,1:1,1:1,,0.992,330
68,1:1,1:1,,0.793,339
69,6:6,1:1,+,0.992,343
70,10:10,10:10,,0.595,344
71,1:1,1:1,,0.793,345
72,5:5,1:1,+,0.992,348
73,1:1,1:1,,0.595,350
74,2:2,1:1,+,0.397,359
75,10:10,1:1,+,0.397,363
76,2:2,1:1,+,0.793,366
77,2:2,1:1,+,0.793,372
78,1:1,1:1,,0.992,385
79,5:5,1:1,+,0.793,387
80,1:1,1:1,,0.793,413
81,1:1,1:1,,0.793,414
82,10:10,1:1,+,0.397,427
83,16:16,1:1,+,0.793,429
84,1:1,1:1,,0.793,434
85,1:1,1:1,,0.992,435
86,1:1,1:1,,0.992,436
87,1:1,1:1,,0.992,441
88,1:1,1:1,,0.992,444
89,10:10,1:1,+,0.992,448
90,1:1,1:1,,0.992,451

