inst#,actual,predicted,error,prediction,ID
1,1:0,1:0,,0.987,4
2,1:0,1:0,,0.998,11
3,1:0,1:0,,0.977,15
4,1:0,1:0,,0.984,17
5,1:0,1:0,,1,18
6,1:0,1:0,,1,19
7,3:2,3:2,,0.954,22
8,1:0,1:0,,1,35
9,1:0,1:0,,0.999,36
10,1:0,1:0,,0.984,42
11,1:0,1:0,,0.999,46
12,1:0,1:0,,1,50
13,1:0,1:0,,0.649,52
14,1:0,1:0,,0.986,57
15,1:0,1:0,,0.92,61
16,1:0,1:0,,1,68
17,1:0,1:0,,1,74
18,1:0,1:0,,0.945,75
19,1:0,1:0,,1,85
20,1:0,1:0,,1,89
21,1:0,1:0,,0.998,93
22,1:0,1:0,,0.997,99
23,1:0,1:0,,0.999,102
24,1:0,1:0,,0.999,105
25,1:0,1:0,,0.994,114
26,1:0,1:0,,0.989,116
27,1:0,1:0,,0.999,117
28,1:0,1:0,,0.999,119
29,1:0,1:0,,0.999,126
30,1:0,1:0,,1,127
31,1:0,1:0,,0.998,149
32,1:0,1:0,,0.908,153
33,1:0,1:0,,1,154
34,1:0,1:0,,0.959,159
35,2:1,2:1,,0.511,167
36,1:0,1:0,,0.999,176
37,1:0,1:0,,0.999,179
38,1:0,1:0,,0.972,180
39,3:2,1:0,+,0.748,188
40,1:0,1:0,,0.998,190
41,1:0,1:0,,0.945,191
42,1:0,1:0,,0.996,195
43,1:0,1:0,,0.999,203
44,1:0,1:0,,1,217
45,1:0,1:0,,0.999,222
46,1:0,1:0,,0.999,232
47,1:0,1:0,,1,236
48,1:0,1:0,,0.999,245
49,1:0,1:0,,0.945,257
50,1:0,1:0,,0.999,263
51,1:0,1:0,,1,264
52,1:0,1:0,,0.805,267
53,1:0,1:0,,0.973,268
54,1:0,1:0,,0.998,271
55,1:0,1:0,,0.998,272
56,1:0,1:0,,1,278
57,1:0,1:0,,0.997,284
58,1:0,1:0,,0.956,301
59,3:2,1:0,+,0.94,304
60,1:0,1:0,,0.999,313
61,1:0,1:0,,0.998,320
62,1:0,1:0,,1,324
63,1:0,1:0,,1,335
64,1:0,1:0,,0.948,340
65,1:0,1:0,,0.96,341
66,1:0,1:0,,1,349
67,1:0,1:0,,0.754,356
68,1:0,1:0,,0.99,366
69,1:0,1:0,,0.966,368
70,1:0,1:0,,0.994,369
71,1:0,1:0,,0.999,375
72,1:0,1:0,,0.997,383
73,1:0,1:0,,0.952,393
74,1:0,1:0,,0.999,395
75,1:0,1:0,,0.922,396
76,2:1,2:1,,0.809,399
77,1:0,1:0,,0.978,407
78,1:0,1:0,,0.869,412
79,1:0,1:0,,1,416
80,1:0,1:0,,0.92,417
81,1:0,1:0,,0.997,419
82,1:0,1:0,,0.999,426
83,1:0,1:0,,1,431
84,1:0,1:0,,0.926,434
85,1:0,1:0,,0.899,443
86,1:0,1:0,,1,444
87,1:0,1:0,,1,446
88,1:0,1:0,,0.999,454
89,1:0,1:0,,0.802,456
90,1:0,1:0,,0.996,470
91,1:0,1:0,,0.685,473
92,1:0,1:0,,0.79,487
93,1:0,1:0,,0.986,489
94,1:0,1:0,,0.976,496
95,1:0,1:0,,0.999,498
96,1:0,1:0,,0.99,500
97,1:0,1:0,,0.984,505
98,1:0,1:0,,0.996,511
99,1:0,1:0,,0.956,512
100,1:0,1:0,,0.997,515
101,2:1,3:2,+,0.587,517
102,1:0,1:0,,0.999,521
103,1:0,1:0,,1,537
104,1:0,1:0,,1,544
105,1:0,1:0,,0.997,547
106,1:0,1:0,,1,555
107,1:0,1:0,,0.973,559
108,1:0,1:0,,1,569
109,1:0,1:0,,0.829,571
110,1:0,1:0,,0.997,574
111,1:0,1:0,,0.983,576
112,1:0,1:0,,1,580
113,1:0,1:0,,0.995,595
114,1:0,1:0,,0.993,601
115,1:0,1:0,,0.998,603
116,1:0,1:0,,0.743,604
117,1:0,1:0,,0.985,606
118,1:0,1:0,,0.985,607
119,1:0,1:0,,0.998,611
120,1:0,1:0,,0.992,616
121,1:0,1:0,,1,619
122,2:1,2:1,,0.951,625
123,3:2,3:2,,0.896,633
124,1:0,1:0,,0.999,635
125,1:0,1:0,,0.977,637
126,1:0,1:0,,1,653
127,3:2,2:1,+,0.529,655
128,1:0,1:0,,1,656
129,1:0,1:0,,0.989,662
130,1:0,1:0,,0.919,669
131,1:0,1:0,,0.998,674
132,1:0,1:0,,0.999,675
133,1:0,1:0,,1,684
134,1:0,1:0,,1,685
135,1:0,1:0,,0.904,688
136,1:0,1:0,,0.957,689
137,1:0,1:0,,0.961,690
138,1:0,1:0,,0.999,691
139,1:0,1:0,,0.999,694
140,1:0,1:0,,0.985,696
141,1:0,1:0,,0.999,703
142,1:0,1:0,,0.984,717
143,1:0,1:0,,0.768,726
144,1:0,1:0,,0.997,728
145,1:0,1:0,,1,733
146,1:0,1:0,,1,734
147,1:0,1:0,,0.993,735
148,1:0,1:0,,0.996,738
149,1:0,1:0,,0.991,740
150,1:0,1:0,,0.999,750
151,1:0,1:0,,1,753
152,1:0,1:0,,0.986,757
153,2:1,2:1,,0.992,758
154,1:0,1:0,,1,760
155,1:0,1:0,,0.997,761
156,1:0,1:0,,0.998,768
157,1:0,1:0,,0.982,773
158,1:0,1:0,,1,782
159,2:1,2:1,,0.54,784
160,1:0,1:0,,0.997,786
161,1:0,1:0,,0.982,789
162,1:0,1:0,,0.961,790
163,1:0,1:0,,0.999,801
164,1:0,1:0,,1,819
165,1:0,1:0,,0.968,822
166,1:0,1:0,,0.76,825
167,1:0,1:0,,0.967,827
168,1:0,1:0,,1,829
169,1:0,1:0,,1,830
170,1:0,1:0,,0.999,833
171,1:0,1:0,,0.999,834
172,1:0,1:0,,0.979,836
173,1:0,1:0,,1,837
174,1:0,1:0,,0.998,841
175,1:0,1:0,,0.986,848
176,1:0,1:0,,1,851
177,1:0,1:0,,1,853
178,1:0,1:0,,0.999,866
179,1:0,1:0,,0.861,876
180,1:0,3:2,+,0.69,884
181,1:0,1:0,,0.991,894
182,1:0,1:0,,0.997,895
183,1:0,1:0,,1,898
184,1:0,1:0,,1,902
185,1:0,1:0,,0.976,905
186,1:0,1:0,,0.561,907
187,1:0,1:0,,0.993,911
188,1:0,1:0,,0.999,920
189,1:0,1:0,,0.997,926
190,1:0,1:0,,0.998,927
191,1:0,1:0,,0.996,935
192,2:1,1:0,+,0.754,940
193,1:0,1:0,,1,946
194,1:0,1:0,,1,950
195,1:0,1:0,,1,961
196,1:0,1:0,,1,963
197,1:0,1:0,,0.962,964
198,1:0,1:0,,0.992,971
199,1:0,1:0,,0.97,976
200,1:0,1:0,,0.999,980
201,1:0,1:0,,0.999,986
202,1:0,1:0,,0.973,991
203,1:0,1:0,,0.991,992
204,1:0,1:0,,0.996,997
205,1:0,1:0,,0.615,1002
206,1:0,1:0,,0.997,1003
207,1:0,1:0,,0.999,1007
208,1:0,1:0,,0.999,1011
209,1:0,1:0,,0.983,1041
210,1:0,1:0,,0.974,1043
211,1:0,1:0,,0.565,1052
212,1:0,1:0,,0.994,1054
213,3:2,1:0,+,0.494,1062
214,1:0,1:0,,0.983,1066
215,1:0,1:0,,0.988,1067
216,1:0,1:0,,1,1070
217,1:0,1:0,,0.962,1078
218,1:0,1:0,,1,1081
219,1:0,1:0,,1,1085
220,1:0,2:1,+,0.456,1092
221,1:0,1:0,,0.999,1093
222,1:0,1:0,,1,1108
223,1:0,1:0,,0.997,1111
224,1:0,1:0,,0.995,1113
225,1:0,1:0,,1,1117
226,1:0,1:0,,0.999,1125
227,1:0,1:0,,1,1128
228,1:0,1:0,,1,1133
229,1:0,1:0,,0.972,1134
230,1:0,1:0,,0.997,1138
231,1:0,1:0,,1,1141
232,1:0,1:0,,1,1158
233,1:0,1:0,,0.991,1159
