inst#,actual,predicted,error,prediction,ID
1,2:2,2:2,,0.582,3
2,2:2,2:2,,0.582,5
3,1:1,2:2,+,0.582,9
4,1:1,2:2,+,0.582,16
5,1:1,2:2,+,0.582,25
6,1:1,2:2,+,0.582,33
7,2:2,2:2,,0.582,39
8,2:2,2:2,,0.582,42
9,2:2,2:2,,0.582,45
10,2:2,2:2,,0.582,46
11,2:2,2:2,,0.582,55
12,2:2,2:2,,0.582,57
13,2:2,2:2,,0.582,63
14,1:1,2:2,+,0.582,72
15,1:1,2:2,+,0.582,73
16,1:1,2:2,+,0.582,75
17,2:2,2:2,,0.582,76
18,2:2,2:2,,0.582,77
19,2:2,2:2,,0.582,82
20,2:2,2:2,,0.582,84
21,1:1,2:2,+,0.582,90
22,2:2,2:2,,0.582,101
23,1:1,2:2,+,0.582,104
24,2:2,2:2,,0.582,109
25,2:2,2:2,,0.582,110
26,2:2,2:2,,0.582,113
27,2:2,2:2,,0.582,114
28,2:2,2:2,,0.582,118
29,2:2,2:2,,0.582,119
30,2:2,2:2,,0.582,124
31,2:2,2:2,,0.582,137
32,1:1,2:2,+,0.582,148
33,2:2,2:2,,0.582,153
34,2:2,2:2,,0.582,157
35,2:2,2:2,,0.582,158
36,1:1,2:2,+,0.582,167
37,1:1,2:2,+,0.582,172
38,1:1,2:2,+,0.582,173
39,1:1,2:2,+,0.582,175
40,2:2,2:2,,0.582,180
41,2:2,2:2,,0.582,183
42,1:1,2:2,+,0.582,193
43,1:1,2:2,+,0.582,194
44,1:1,2:2,+,0.582,195
45,1:1,2:2,+,0.582,198
46,1:1,2:2,+,0.582,208
47,1:1,2:2,+,0.582,210
48,2:2,2:2,,0.582,219
49,2:2,2:2,,0.582,220
50,2:2,2:2,,0.582,224
51,2:2,2:2,,0.582,225
52,2:2,2:2,,0.582,231
53,2:2,2:2,,0.582,240
54,1:1,2:2,+,0.582,255
55,1:1,2:2,+,0.582,261
56,2:2,2:2,,0.582,265
57,2:2,2:2,,0.582,268
58,2:2,2:2,,0.582,281
59,2:2,2:2,,0.582,290
60,2:2,2:2,,0.582,301
61,1:1,2:2,+,0.582,311
62,2:2,2:2,,0.582,319
63,2:2,2:2,,0.582,320
64,2:2,2:2,,0.582,322
65,1:1,2:2,+,0.582,326
66,1:1,2:2,+,0.582,334
67,1:1,2:2,+,0.582,335
68,2:2,2:2,,0.582,337
69,1:1,2:2,+,0.582,342

