inst#,actual,predicted,error,prediction,ID
1,2:2,1:1,+,0.714,3
2,2:2,2:2,,0.794,5
3,1:1,1:1,,0.95,9
4,1:1,1:1,,0.95,16
5,1:1,2:2,+,1,25
6,1:1,2:2,+,0.815,33
7,2:2,2:2,,0.815,39
8,2:2,1:1,+,0.9,42
9,2:2,2:2,,0.794,45
10,2:2,2:2,,0.794,46
11,2:2,2:2,,0.667,55
12,2:2,2:2,,0.857,57
13,2:2,2:2,,0.794,63
14,1:1,1:1,,0.958,72
15,1:1,1:1,,1,73
16,1:1,1:1,,1,75
17,2:2,2:2,,0.8,76
18,2:2,2:2,,1,77
19,2:2,1:1,+,0.958,82
20,2:2,2:2,,1,84
21,1:1,2:2,+,0.891,90
22,2:2,2:2,,0.891,101
23,1:1,1:1,,1,104
24,2:2,2:2,,0.891,109
25,2:2,2:2,,0.667,110
26,2:2,2:2,,0.667,113
27,2:2,2:2,,0.891,114
28,2:2,2:2,,0.891,118
29,2:2,2:2,,0.794,119
30,2:2,2:2,,0.891,124
31,2:2,2:2,,0.891,137
32,1:1,2:2,+,0.857,148
33,2:2,2:2,,0.794,153
34,2:2,2:2,,0.719,157
35,2:2,2:2,,0.719,158
36,1:1,2:2,+,0.719,167
37,1:1,2:2,+,1,172
38,1:1,1:1,,0.9,173
39,1:1,2:2,+,0.719,175
40,2:2,2:2,,0.719,180
41,2:2,2:2,,1,183
42,1:1,1:1,,0.958,193
43,1:1,2:2,+,0.794,194
44,1:1,1:1,,0.95,195
45,1:1,2:2,+,1,198
46,1:1,1:1,,0.958,208
47,1:1,1:1,,0.958,210
48,2:2,2:2,,0.815,219
49,2:2,2:2,,0.815,220
50,2:2,2:2,,0.794,224
51,2:2,2:2,,0.794,225
52,2:2,2:2,,0.815,231
53,2:2,2:2,,0.815,240
54,1:1,2:2,+,0.8,255
55,1:1,2:2,+,1,261
56,2:2,2:2,,1,265
57,2:2,2:2,,0.8,268
58,2:2,1:1,+,0.958,281
59,2:2,2:2,,0.891,290
60,2:2,2:2,,0.794,301
61,1:1,2:2,+,0.719,311
62,2:2,2:2,,0.719,319
63,2:2,2:2,,1,320
64,2:2,2:2,,0.719,322
65,1:1,1:1,,1,326
66,1:1,2:2,+,0.719,334
67,1:1,2:2,+,0.719,335
68,2:2,2:2,,0.719,337
69,1:1,1:1,,1,342

