inst#,actual,predicted,error,prediction,ID
1,2:2,1:1,+,0.652,3
2,2:2,2:2,,0.749,5
3,1:1,1:1,,0.797,9
4,1:1,1:1,,0.797,16
5,1:1,2:2,+,0.749,25
6,1:1,1:1,,0.652,33
7,2:2,2:2,,0.749,39
8,2:2,1:1,+,0.652,42
9,2:2,2:2,,0.749,45
10,2:2,2:2,,0.749,46
11,2:2,1:1,+,0.797,55
12,2:2,1:1,+,0.797,57
13,2:2,2:2,,0.749,63
14,1:1,1:1,,0.797,72
15,1:1,2:2,+,0.749,73
16,1:1,2:2,+,0.749,75
17,2:2,2:2,,0.749,76
18,2:2,2:2,,0.749,77
19,2:2,1:1,+,0.797,82
20,2:2,2:2,,0.749,84
21,1:1,2:2,+,0.749,90
22,2:2,2:2,,0.749,101
23,1:1,1:1,,0.797,104
24,2:2,2:2,,0.749,109
25,2:2,1:1,+,0.797,110
26,2:2,1:1,+,0.797,113
27,2:2,2:2,,0.749,114
28,2:2,2:2,,0.749,118
29,2:2,2:2,,0.749,119
30,2:2,2:2,,0.749,124
31,2:2,2:2,,0.749,137
32,1:1,1:1,,0.797,148
33,2:2,2:2,,0.749,153
34,2:2,2:2,,0.749,157
35,2:2,2:2,,0.749,158
36,1:1,2:2,+,0.749,167
37,1:1,2:2,+,0.749,172
38,1:1,2:2,+,0.749,173
39,1:1,2:2,+,0.749,175
40,2:2,2:2,,0.749,180
41,2:2,2:2,,0.749,183
42,1:1,1:1,,0.797,193
43,1:1,2:2,+,0.749,194
44,1:1,1:1,,0.797,195
45,1:1,1:1,,0.652,198
46,1:1,1:1,,0.797,208
47,1:1,1:1,,0.797,210
48,2:2,1:1,+,0.652,219
49,2:2,1:1,+,0.652,220
50,2:2,2:2,,0.749,224
51,2:2,2:2,,0.749,225
52,2:2,2:2,,0.749,231
53,2:2,2:2,,0.749,240
54,1:1,2:2,+,0.749,255
55,1:1,2:2,+,0.749,261
56,2:2,2:2,,0.749,265
57,2:2,2:2,,0.749,268
58,2:2,1:1,+,0.797,281
59,2:2,2:2,,0.749,290
60,2:2,2:2,,0.749,301
61,1:1,2:2,+,0.749,311
62,2:2,2:2,,0.749,319
63,2:2,2:2,,0.749,320
64,2:2,2:2,,0.749,322
65,1:1,2:2,+,0.749,326
66,1:1,2:2,+,0.749,334
67,1:1,2:2,+,0.749,335
68,2:2,2:2,,0.749,337
69,1:1,2:2,+,0.749,342

