inst#,actual,predicted,error,prediction,ID
1,2:2,2:2,,0.509,3
2,2:2,2:2,,0.614,5
3,1:1,1:1,,0.55,9
4,1:1,1:1,,0.61,16
5,1:1,1:1,,0.666,25
6,1:1,1:1,,0.551,33
7,2:2,2:2,,0.658,39
8,2:2,2:2,,0.539,42
9,2:2,2:2,,0.652,45
10,2:2,2:2,,0.571,46
11,2:2,2:2,,0.794,55
12,2:2,2:2,,0.75,57
13,2:2,2:2,,0.745,63
14,1:1,1:1,,0.504,72
15,1:1,1:1,,0.638,73
16,1:1,1:1,,0.541,75
17,2:2,2:2,,0.906,76
18,2:2,1:1,+,0.605,77
19,2:2,1:1,+,0.617,82
20,2:2,2:2,,0.999,84
21,1:1,2:2,+,0.524,90
22,2:2,2:2,,0.724,101
23,1:1,1:1,,0.726,104
24,2:2,1:1,+,0.651,109
25,2:2,2:2,,0.978,110
26,2:2,2:2,,0.553,113
27,2:2,2:2,,0.995,114
28,2:2,1:1,+,0.561,118
29,2:2,2:2,,0.543,119
30,2:2,2:2,,0.529,124
31,2:2,2:2,,0.656,137
32,1:1,2:2,+,0.62,148
33,2:2,2:2,,0.714,153
34,2:2,1:1,+,0.847,157
35,2:2,2:2,,0.605,158
36,1:1,2:2,+,0.697,167
37,1:1,2:2,+,0.528,172
38,1:1,1:1,,0.78,173
39,1:1,1:1,,0.501,175
40,2:2,2:2,,0.83,180
41,2:2,2:2,,0.622,183
42,1:1,1:1,,0.707,193
43,1:1,1:1,,0.663,194
44,1:1,1:1,,0.647,195
45,1:1,1:1,,0.791,198
46,1:1,2:2,+,0.641,208
47,1:1,1:1,,0.669,210
48,2:2,1:1,+,0.576,219
49,2:2,2:2,,0.618,220
50,2:2,2:2,,0.62,224
51,2:2,2:2,,0.782,225
52,2:2,2:2,,0.786,231
53,2:2,2:2,,0.557,240
54,1:1,1:1,,0.615,255
55,1:1,1:1,,0.592,261
56,2:2,1:1,+,0.56,265
57,2:2,2:2,,0.654,268
58,2:2,2:2,,0.508,281
59,2:2,1:1,+,0.531,290
60,2:2,2:2,,0.65,301
61,1:1,2:2,+,0.851,311
62,2:2,2:2,,0.651,319
63,2:2,1:1,+,0.532,320
64,2:2,2:2,,1,322
65,1:1,1:1,,0.6,326
66,1:1,1:1,,0.939,334
67,1:1,1:1,,0.512,335
68,2:2,2:2,,0.562,337
69,1:1,2:2,+,0.524,342

