inst#,actual,predicted,error,prediction,ID
1,1:1,2:2,+,0.538,6
2,1:1,1:1,,0.703,7
3,1:1,2:2,+,0.889,10
4,1:1,2:2,+,0.882,15
5,1:1,2:2,+,0.558,17
6,1:1,2:2,+,0.724,18
7,1:1,2:2,+,0.875,19
8,1:1,2:2,+,0.763,22
9,1:1,2:2,+,0.947,24
10,1:1,1:1,,0.643,30
11,1:1,2:2,+,0.725,31
12,2:2,2:2,,0.713,56
13,2:2,2:2,,0.758,59
14,2:2,2:2,,0.909,60
15,2:2,2:2,,0.795,66
16,2:2,2:2,,0.735,69
17,2:2,2:2,,0.904,78
18,2:2,2:2,,0.603,79
19,2:2,2:2,,0.566,81
20,1:1,1:1,,0.574,92
21,1:1,1:1,,0.73,93
22,1:1,2:2,+,0.562,94
23,1:1,1:1,,0.89,108
24,2:2,2:2,,0.507,111
25,2:2,2:2,,0.688,116
26,2:2,2:2,,0.674,126
27,2:2,2:2,,0.971,132
28,2:2,1:1,+,0.614,139
29,1:1,2:2,+,0.818,140
30,1:1,1:1,,0.675,143
31,1:1,1:1,,0.672,145
32,1:1,2:2,+,0.751,147
33,2:2,2:2,,0.861,152
34,2:2,2:2,,0.828,165
35,2:2,2:2,,0.822,176
36,2:2,2:2,,0.737,179
37,1:1,2:2,+,0.965,181
38,1:1,2:2,+,0.596,197
39,1:1,2:2,+,0.552,202
40,1:1,1:1,,0.736,209
41,2:2,2:2,,0.502,221
42,2:2,2:2,,0.794,222
43,2:2,2:2,,0.929,223
44,2:2,2:2,,0.883,229
45,2:2,2:2,,0.822,232
46,2:2,2:2,,0.598,238
47,2:2,2:2,,0.885,239
48,2:2,2:2,,0.883,242
49,1:1,2:2,+,0.56,244
50,1:1,1:1,,0.521,245
51,2:2,2:2,,0.758,250
52,1:1,2:2,+,0.754,254
53,1:1,2:2,+,0.528,256
54,1:1,1:1,,0.649,258
55,2:2,2:2,,0.577,267
56,1:1,2:2,+,0.731,272
57,1:1,2:2,+,0.695,278
58,2:2,2:2,,0.712,282
59,2:2,2:2,,0.663,284
60,2:2,2:2,,0.703,288
61,2:2,1:1,+,0.624,302
62,2:2,2:2,,0.822,303
63,2:2,1:1,+,0.875,304
64,2:2,2:2,,0.662,305
65,1:1,1:1,,0.699,324
66,1:1,1:1,,0.724,327
67,2:2,2:2,,0.892,329
68,2:2,2:2,,0.873,333
69,1:1,1:1,,0.638,340

