inst#,actual,predicted,error,prediction,ID
1,1:1,2:2,+,0.767,0
2,2:2,1:1,+,1,4
3,1:1,1:1,,1,8
4,1:1,2:2,+,1,11
5,1:1,1:1,,0.824,12
6,1:1,1:1,,1,14
7,1:1,1:1,,1,26
8,1:1,2:2,+,0.618,27
9,1:1,1:1,,1,28
10,1:1,1:1,,0.851,32
11,2:2,2:2,,1,35
12,2:2,2:2,,0.765,36
13,2:2,2:2,,0.704,40
14,2:2,2:2,,0.768,41
15,2:2,2:2,,0.766,47
16,2:2,2:2,,0.621,51
17,2:2,1:1,+,1,61
18,2:2,2:2,,0.932,62
19,1:1,1:1,,1,64
20,1:1,2:2,+,0.686,89
21,1:1,1:1,,1,95
22,2:2,1:1,+,1,98
23,2:2,1:1,+,1,100
24,1:1,2:2,+,1,103
25,2:2,2:2,,1,123
26,2:2,2:2,,0.947,128
27,1:1,1:1,,0.924,131
28,2:2,1:1,+,0.913,135
29,2:2,2:2,,0.912,136
30,2:2,2:2,,0.884,138
31,1:1,2:2,+,0.845,141
32,1:1,1:1,,1,142
33,2:2,1:1,+,0.863,150
34,2:2,1:1,+,1,156
35,2:2,1:1,+,1,159
36,2:2,2:2,,0.917,162
37,1:1,1:1,,1,170
38,1:1,1:1,,0.936,171
39,2:2,2:2,,1,178
40,2:2,1:1,+,0.698,192
41,1:1,2:2,+,1,200
42,1:1,2:2,+,1,204
43,1:1,2:2,+,0.616,206
44,1:1,1:1,,0.785,213
45,1:1,1:1,,0.879,215
46,1:1,1:1,,1,216
47,2:2,1:1,+,0.828,218
48,2:2,2:2,,0.763,226
49,2:2,1:1,+,0.904,230
50,1:1,1:1,,1,246
51,1:1,1:1,,0.81,248
52,1:1,2:2,+,0.799,260
53,1:1,1:1,,0.8,271
54,2:2,1:1,+,1,280
55,2:2,2:2,,1,283
56,2:2,2:2,,1,285
57,2:2,1:1,+,1,287
58,2:2,2:2,,1,289
59,2:2,2:2,,0.694,294
60,2:2,2:2,,0.919,295
61,2:2,2:2,,0.747,296
62,2:2,2:2,,1,299
63,2:2,1:1,+,1,300
64,1:1,2:2,+,0.82,307
65,1:1,1:1,,1,309
66,1:1,2:2,+,1,316
67,2:2,2:2,,0.95,323
68,2:2,1:1,+,1,338
69,2:2,1:1,+,0.909,341

