inst#,actual,predicted,error,prediction,ID
1,1:1,1:1,,0.543,0
2,2:2,2:2,,0.785,4
3,1:1,2:2,+,0.529,8
4,1:1,2:2,+,0.623,11
5,1:1,1:1,,0.695,12
6,1:1,1:1,,0.604,14
7,1:1,1:1,,0.544,26
8,1:1,2:2,+,0.582,27
9,1:1,1:1,,0.618,28
10,1:1,1:1,,0.586,32
11,2:2,1:1,+,0.77,35
12,2:2,2:2,,0.608,36
13,2:2,1:1,+,0.558,40
14,2:2,2:2,,0.896,41
15,2:2,2:2,,0.757,47
16,2:2,2:2,,0.585,51
17,2:2,2:2,,0.552,61
18,2:2,2:2,,0.557,62
19,1:1,1:1,,0.525,64
20,1:1,2:2,+,0.579,89
21,1:1,2:2,+,0.559,95
22,2:2,2:2,,0.557,98
23,2:2,2:2,,0.591,100
24,1:1,2:2,+,0.538,103
25,2:2,2:2,,0.642,123
26,2:2,2:2,,0.655,128
27,1:1,1:1,,0.601,131
28,2:2,1:1,+,0.585,135
29,2:2,2:2,,0.635,136
30,2:2,2:2,,0.904,138
31,1:1,2:2,+,0.515,141
32,1:1,2:2,+,0.549,142
33,2:2,2:2,,0.767,150
34,2:2,2:2,,0.515,156
35,2:2,2:2,,0.514,159
36,2:2,2:2,,0.726,162
37,1:1,1:1,,0.707,170
38,1:1,2:2,+,0.608,171
39,2:2,2:2,,0.938,178
40,2:2,1:1,+,0.631,192
41,1:1,2:2,+,0.591,200
42,1:1,2:2,+,0.893,204
43,1:1,2:2,+,0.541,206
44,1:1,2:2,+,0.559,213
45,1:1,2:2,+,0.652,215
46,1:1,1:1,,0.561,216
47,2:2,2:2,,0.598,218
48,2:2,2:2,,0.542,226
49,2:2,1:1,+,0.514,230
50,1:1,1:1,,0.539,246
51,1:1,1:1,,0.539,248
52,1:1,1:1,,0.692,260
53,1:1,1:1,,0.563,271
54,2:2,2:2,,0.535,280
55,2:2,2:2,,0.623,283
56,2:2,2:2,,0.545,285
57,2:2,2:2,,0.568,287
58,2:2,2:2,,0.677,289
59,2:2,2:2,,0.769,294
60,2:2,2:2,,0.932,295
61,2:2,2:2,,0.73,296
62,2:2,2:2,,0.716,299
63,2:2,1:1,+,0.565,300
64,1:1,2:2,+,0.512,307
65,1:1,1:1,,0.596,309
66,1:1,2:2,+,0.693,316
67,2:2,2:2,,0.615,323
68,2:2,1:1,+,0.518,338
69,2:2,2:2,,0.981,341

