inst#,actual,predicted,error,prediction,ID
1,2:2,2:2,,0.58,1
2,1:1,1:1,,0.576,13
3,1:1,1:1,,0.528,20
4,1:1,1:1,,0.844,21
5,1:1,1:1,,0.63,34
6,2:2,2:2,,0.649,43
7,2:2,1:1,+,0.692,48
8,2:2,1:1,+,0.582,49
9,2:2,1:1,+,0.644,50
10,2:2,2:2,,0.953,52
11,2:2,1:1,+,0.644,53
12,2:2,1:1,+,0.593,54
13,2:2,1:1,+,0.783,58
14,1:1,1:1,,0.639,71
15,2:2,1:1,+,0.611,80
16,2:2,1:1,+,0.518,87
17,1:1,1:1,,0.54,88
18,1:1,2:2,+,0.671,91
19,2:2,1:1,+,0.647,99
20,1:1,2:2,+,0.55,102
21,1:1,1:1,,0.554,105
22,1:1,1:1,,0.686,106
23,2:2,2:2,,0.779,121
24,1:1,2:2,+,0.532,130
25,2:2,2:2,,0.683,134
26,1:1,1:1,,0.614,149
27,2:2,1:1,+,0.722,151
28,2:2,1:1,+,0.521,160
29,2:2,1:1,+,0.606,161
30,1:1,2:2,+,0.902,166
31,1:1,1:1,,0.794,169
32,1:1,2:2,+,0.999,174
33,2:2,1:1,+,0.981,187
34,1:1,1:1,,0.952,188
35,1:1,2:2,+,1,189
36,1:1,1:1,,0.663,190
37,1:1,1:1,,0.592,191
38,1:1,2:2,+,0.701,201
39,1:1,1:1,,0.521,205
40,1:1,1:1,,0.715,207
41,1:1,1:1,,0.84,212
42,1:1,1:1,,0.523,214
43,2:2,1:1,+,0.828,217
44,2:2,1:1,+,0.76,235
45,2:2,1:1,+,0.672,236
46,2:2,2:2,,0.581,241
47,1:1,2:2,+,0.558,243
48,2:2,2:2,,0.991,251
49,2:2,1:1,+,0.702,252
50,1:1,1:1,,0.541,257
51,1:1,1:1,,0.609,259
52,2:2,1:1,+,0.534,263
53,2:2,2:2,,0.655,264
54,2:2,1:1,+,0.618,269
55,2:2,2:2,,0.784,270
56,1:1,2:2,+,0.508,273
57,2:2,2:2,,0.92,276
58,2:2,2:2,,0.993,293
59,2:2,2:2,,0.991,306
60,1:1,2:2,+,0.689,308
61,1:1,1:1,,0.587,313
62,1:1,1:1,,0.706,314
63,1:1,2:2,+,1,315
64,2:2,2:2,,1,330
65,2:2,1:1,+,0.708,331
66,2:2,1:1,+,0.951,336
67,2:2,2:2,,0.86,339
68,1:1,1:1,,1,343
69,1:1,1:1,,1,344

