inst#,actual,predicted,error,prediction,ID
1,2:2,2:2,,0.599,1
2,1:1,2:2,+,0.537,13
3,1:1,1:1,,0.699,20
4,1:1,2:2,+,0.694,21
5,1:1,1:1,,0.582,34
6,2:2,1:1,+,0.56,43
7,2:2,1:1,+,0.522,48
8,2:2,2:2,,0.916,49
9,2:2,2:2,,0.636,50
10,2:2,2:2,,0.81,52
11,2:2,2:2,,0.855,53
12,2:2,2:2,,0.779,54
13,2:2,2:2,,0.609,58
14,1:1,1:1,,0.531,71
15,2:2,2:2,,0.566,80
16,2:2,2:2,,0.648,87
17,1:1,1:1,,0.624,88
18,1:1,2:2,+,0.735,91
19,2:2,2:2,,0.557,99
20,1:1,2:2,+,0.701,102
21,1:1,2:2,+,0.861,105
22,1:1,1:1,,0.646,106
23,2:2,2:2,,0.761,121
24,1:1,1:1,,0.521,130
25,2:2,2:2,,0.679,134
26,1:1,2:2,+,0.607,149
27,2:2,1:1,+,0.524,151
28,2:2,1:1,+,0.598,160
29,2:2,2:2,,0.714,161
30,1:1,1:1,,0.594,166
31,1:1,1:1,,0.576,169
32,1:1,2:2,+,0.763,174
33,2:2,1:1,+,0.581,187
34,1:1,2:2,+,0.841,188
35,1:1,2:2,+,0.701,189
36,1:1,2:2,+,0.56,190
37,1:1,2:2,+,0.625,191
38,1:1,2:2,+,0.641,201
39,1:1,1:1,,0.58,205
40,1:1,2:2,+,0.574,207
41,1:1,1:1,,0.739,212
42,1:1,1:1,,0.622,214
43,2:2,1:1,+,0.791,217
44,2:2,2:2,,0.647,235
45,2:2,1:1,+,0.58,236
46,2:2,2:2,,0.788,241
47,1:1,2:2,+,0.922,243
48,2:2,2:2,,0.895,251
49,2:2,2:2,,0.514,252
50,1:1,2:2,+,0.692,257
51,1:1,2:2,+,0.776,259
52,2:2,2:2,,0.721,263
53,2:2,2:2,,0.631,264
54,2:2,2:2,,0.644,269
55,2:2,2:2,,0.698,270
56,1:1,2:2,+,0.649,273
57,2:2,2:2,,0.855,276
58,2:2,2:2,,0.981,293
59,2:2,2:2,,0.928,306
60,1:1,1:1,,0.605,308
61,1:1,1:1,,0.626,313
62,1:1,1:1,,0.586,314
63,1:1,2:2,+,0.947,315
64,2:2,2:2,,0.985,330
65,2:2,1:1,+,0.548,331
66,2:2,1:1,+,0.698,336
67,2:2,2:2,,0.889,339
68,1:1,1:1,,0.572,343
69,1:1,1:1,,0.681,344

