inst#,actual,predicted,error,prediction,ID
1,2:2,1:1,+,0.54,1
2,1:1,1:1,,0.74,13
3,1:1,1:1,,0.68,20
4,1:1,1:1,,0.54,21
5,1:1,1:1,,0.74,34
6,2:2,1:1,+,0.7,43
7,2:2,1:1,+,0.88,48
8,2:2,2:2,,0.93,49
9,2:2,2:2,,0.52,50
10,2:2,2:2,,0.68,52
11,2:2,2:2,,0.69,53
12,2:2,2:2,,0.77,54
13,2:2,2:2,,0.71,58
14,1:1,1:1,,0.76,71
15,2:2,2:2,,0.69,80
16,2:2,1:1,+,0.59,87
17,1:1,1:1,,0.8,88
18,1:1,1:1,,0.6,91
19,2:2,2:2,,0.82,99
20,1:1,2:2,+,0.58,102
21,1:1,2:2,+,0.85,105
22,1:1,2:2,+,0.62,106
23,2:2,2:2,,0.91,121
24,1:1,2:2,+,0.79,130
25,2:2,2:2,,0.96,134
26,1:1,1:1,,0.8,149
27,2:2,2:2,,0.73,151
28,2:2,1:1,+,0.51,160
29,2:2,2:2,,0.73,161
30,1:1,1:1,,0.66,166
31,1:1,1:1,,0.85,169
32,1:1,2:2,+,0.58,174
33,2:2,1:1,+,0.52,187
34,1:1,2:2,+,0.52,188
35,1:1,1:1,,0.55,189
36,1:1,1:1,,0.62,190
37,1:1,1:1,,0.53,191
38,1:1,1:1,,0.82,201
39,1:1,1:1,,0.54,205
40,1:1,1:1,,0.5,207
41,1:1,1:1,,0.81,212
42,1:1,1:1,,0.91,214
43,2:2,1:1,+,0.72,217
44,2:2,2:2,,0.77,235
45,2:2,2:2,,0.68,236
46,2:2,2:2,,0.88,241
47,1:1,2:2,+,0.89,243
48,2:2,2:2,,0.54,251
49,2:2,1:1,+,0.66,252
50,1:1,2:2,+,0.59,257
51,1:1,2:2,+,0.78,259
52,2:2,2:2,,0.78,263
53,2:2,1:1,+,0.59,264
54,2:2,2:2,,0.64,269
55,2:2,2:2,,0.84,270
56,1:1,2:2,+,0.58,273
57,2:2,2:2,,0.69,276
58,2:2,2:2,,0.98,293
59,2:2,2:2,,0.88,306
60,1:1,1:1,,0.5,308
61,1:1,1:1,,0.73,313
62,1:1,1:1,,0.64,314
63,1:1,1:1,,0.56,315
64,2:2,2:2,,0.77,330
65,2:2,2:2,,0.54,331
66,2:2,2:2,,0.67,336
67,2:2,2:2,,0.82,339
68,1:1,1:1,,0.8,343
69,1:1,2:2,+,0.78,344

