inst#,actual,predicted,error,prediction,ID
1,1:1,1:1,,0.857,3
2,1:1,1:1,,0.459,5
3,1:1,1:1,,0.769,10
4,1:1,1:1,,0.859,12
5,1:1,1:1,,0.426,31
6,1:1,1:1,,0.509,39
7,1:1,3:3,+,0.38,48
8,1:1,1:1,,0.493,54
9,1:1,1:1,,0.672,83
10,1:1,3:3,+,0.504,86
11,1:1,3:3,+,0.567,88
12,1:1,1:1,,0.805,96
13,1:1,1:1,,0.528,100
14,1:1,1:1,,0.534,109
15,1:1,3:3,+,0.804,113
16,1:1,1:1,,0.832,124
17,1:1,1:1,,0.833,126
18,1:1,1:1,,0.529,129
19,1:1,1:1,,0.618,135
20,1:1,3:3,+,0.727,136
21,1:1,3:3,+,0.458,138
22,1:1,2:2,+,0.436,139
23,1:1,1:1,,0.487,140
24,1:1,2:2,+,0.366,147
25,1:1,1:1,,0.987,155
26,1:1,3:3,+,0.61,156
27,1:1,1:1,,0.463,158
28,1:1,2:2,+,0.701,170
29,1:1,1:1,,0.896,171
30,1:1,3:3,+,0.434,174
31,1:1,1:1,,0.484,178
32,1:1,1:1,,0.624,179
33,1:1,1:1,,0.475,188
34,1:1,1:1,,0.467,199
35,1:1,1:1,,0.509,209
36,1:1,1:1,,0.832,210
37,1:1,1:1,,0.827,221
38,1:1,2:2,+,0.701,224
39,1:1,1:1,,0.507,242
40,1:1,3:3,+,0.537,243
41,1:1,1:1,,0.989,254
42,1:1,1:1,,0.86,260
43,1:1,2:2,+,0.452,265
44,1:1,1:1,,0.609,266
45,1:1,1:1,,0.404,282
46,1:1,2:2,+,0.491,285
47,1:1,1:1,,0.695,286
48,1:1,3:3,+,0.668,287
49,1:1,2:2,+,0.429,290
50,1:1,2:2,+,0.477,291
51,1:1,1:1,,0.968,292
52,1:1,3:3,+,0.453,294
53,1:1,1:1,,0.666,296
54,1:1,2:2,+,0.433,298
55,1:1,3:3,+,0.38,299
56,1:1,1:1,,0.71,308
57,1:1,3:3,+,0.424,312
58,1:1,1:1,,0.934,314
59,1:1,1:1,,0.48,318
60,1:1,3:3,+,0.707,319
61,1:1,3:3,+,0.466,321
62,1:1,1:1,,0.555,323
63,1:1,2:2,+,0.664,325
64,1:1,3:3,+,0.647,327
65,1:1,2:2,+,0.578,328
66,1:1,3:3,+,0.904,331
67,1:1,1:1,,0.864,333
68,1:1,2:2,+,0.417,346
69,1:1,3:3,+,0.697,348
70,1:1,1:1,,0.518,352
71,1:1,1:1,,0.674,355
72,1:1,2:2,+,0.581,370
73,1:1,1:1,,0.881,376
74,1:1,3:3,+,0.638,377
75,1:1,1:1,,0.554,380
76,1:1,1:1,,0.467,382
77,1:1,1:1,,0.675,390
78,1:1,3:3,+,0.604,409
79,1:1,3:3,+,0.452,410
80,1:1,3:3,+,0.53,413
81,2:2,1:1,+,0.38,420
82,2:2,2:2,,0.559,435
83,2:2,1:1,+,0.609,438
84,2:2,1:1,+,0.492,442
85,2:2,3:3,+,0.499,447
86,2:2,3:3,+,0.543,453
87,2:2,2:2,,0.745,458
88,2:2,3:3,+,0.444,461
89,2:2,2:2,,0.575,467
90,2:2,3:3,+,0.589,471
91,2:2,2:2,,0.463,477
92,2:2,1:1,+,0.633,481
93,2:2,1:1,+,0.634,485
94,2:2,3:3,+,0.899,490
95,2:2,3:3,+,0.658,503
96,2:2,3:3,+,0.532,513
97,2:2,3:3,+,0.455,514
98,2:2,1:1,+,0.604,527
99,2:2,1:1,+,0.891,529
100,2:2,2:2,,0.558,532
101,2:2,1:1,+,0.533,542
102,2:2,2:2,,0.56,544
103,2:2,2:2,,0.673,548
104,2:2,3:3,+,0.521,552
105,2:2,2:2,,0.442,554
106,2:2,2:2,,0.568,558
107,2:2,1:1,+,0.561,561
108,2:2,1:1,+,0.4,566
109,2:2,3:3,+,0.522,571
110,2:2,3:3,+,0.618,575
111,2:2,2:2,,0.959,576
112,2:2,2:2,,0.532,581
113,2:2,2:2,,0.678,585
114,2:2,2:2,,0.455,589
115,2:2,3:3,+,0.611,590
116,2:2,2:2,,0.591,597
117,2:2,2:2,,0.608,598
118,2:2,2:2,,0.523,599
119,2:2,2:2,,0.544,607
120,2:2,1:1,+,0.451,610
121,2:2,2:2,,0.449,614
122,2:2,3:3,+,0.524,615
123,2:2,3:3,+,0.545,617
124,2:2,2:2,,0.607,619
125,2:2,3:3,+,0.509,621
126,2:2,3:3,+,0.749,626
127,2:2,2:2,,0.754,630
128,2:2,3:3,+,0.423,631
129,2:2,2:2,,0.697,634
130,3:3,3:3,,0.78,643
131,3:3,2:2,+,0.382,650
132,3:3,2:2,+,0.498,661
133,3:3,3:3,,0.643,664
134,3:3,3:3,,0.622,665
135,3:3,1:1,+,0.516,669
136,3:3,1:1,+,0.701,670
137,3:3,1:1,+,0.62,672
