inst#,actual,predicted,error,prediction,ID
1,1:1,1:1,,0.834,3
2,1:1,3:3,+,0.477,5
3,1:1,1:1,,0.881,10
4,1:1,2:2,+,0.736,12
5,1:1,3:3,+,0.538,31
6,1:1,1:1,,0.543,39
7,1:1,2:2,+,0.517,48
8,1:1,3:3,+,0.478,54
9,1:1,2:2,+,0.697,83
10,1:1,3:3,+,0.422,86
11,1:1,3:3,+,0.519,88
12,1:1,1:1,,0.788,96
13,1:1,1:1,,0.854,100
14,1:1,1:1,,0.535,109
15,1:1,3:3,+,0.607,113
16,1:1,1:1,,0.923,124
17,1:1,2:2,+,0.593,126
18,1:1,1:1,,0.466,129
19,1:1,3:3,+,0.478,135
20,1:1,3:3,+,0.616,136
21,1:1,3:3,+,0.522,138
22,1:1,2:2,+,0.429,139
23,1:1,2:2,+,0.542,140
24,1:1,2:2,+,0.752,147
25,1:1,1:1,,0.987,155
26,1:1,2:2,+,0.509,156
27,1:1,1:1,,0.895,158
28,1:1,2:2,+,0.819,170
29,1:1,1:1,,0.971,171
30,1:1,3:3,+,0.502,174
31,1:1,1:1,,0.675,178
32,1:1,1:1,,0.982,179
33,1:1,1:1,,0.514,188
34,1:1,3:3,+,0.575,199
35,1:1,1:1,,0.567,209
36,1:1,1:1,,0.462,210
37,1:1,1:1,,0.501,221
38,1:1,2:2,+,0.819,224
39,1:1,1:1,,0.618,242
40,1:1,3:3,+,0.453,243
41,1:1,1:1,,0.945,254
42,1:1,1:1,,0.947,260
43,1:1,3:3,+,0.398,265
44,1:1,1:1,,0.465,266
45,1:1,2:2,+,0.388,282
46,1:1,2:2,+,0.769,285
47,1:1,2:2,+,0.434,286
48,1:1,3:3,+,0.658,287
49,1:1,3:3,+,0.474,290
50,1:1,2:2,+,0.744,291
51,1:1,1:1,,0.901,292
52,1:1,2:2,+,0.434,294
53,1:1,1:1,,0.6,296
54,1:1,2:2,+,0.754,298
55,1:1,2:2,+,0.517,299
56,1:1,1:1,,0.735,308
57,1:1,1:1,,0.769,312
58,1:1,1:1,,0.685,314
59,1:1,1:1,,0.505,318
60,1:1,3:3,+,0.586,319
61,1:1,1:1,,0.894,321
62,1:1,1:1,,0.908,323
63,1:1,3:3,+,0.491,325
64,1:1,2:2,+,0.582,327
65,1:1,2:2,+,0.596,328
66,1:1,1:1,,0.867,331
67,1:1,2:2,+,0.847,333
68,1:1,2:2,+,0.57,346
69,1:1,3:3,+,0.624,348
70,1:1,1:1,,0.797,352
71,1:1,1:1,,0.829,355
72,1:1,3:3,+,0.343,370
73,1:1,1:1,,0.832,376
74,1:1,3:3,+,0.55,377
75,1:1,1:1,,0.592,380
76,1:1,1:1,,0.468,382
77,1:1,1:1,,0.433,390
78,1:1,1:1,,0.549,409
79,1:1,1:1,,0.736,410
80,1:1,1:1,,0.608,413
81,2:2,2:2,,0.423,420
82,2:2,2:2,,0.797,435
83,2:2,3:3,+,0.594,438
84,2:2,2:2,,0.793,442
85,2:2,2:2,,0.873,447
86,2:2,2:2,,0.589,453
87,2:2,2:2,,0.818,458
88,2:2,2:2,,0.676,461
89,2:2,2:2,,0.488,467
90,2:2,3:3,+,0.527,471
91,2:2,2:2,,0.444,477
92,2:2,1:1,+,0.891,481
93,2:2,1:1,+,0.961,485
94,2:2,3:3,+,0.688,490
95,2:2,3:3,+,0.505,503
96,2:2,2:2,,0.561,513
97,2:2,2:2,,0.703,514
98,2:2,1:1,+,0.653,527
99,2:2,1:1,+,0.841,529
100,2:2,2:2,,0.833,532
101,2:2,1:1,+,0.54,542
102,2:2,3:3,+,0.396,544
103,2:2,2:2,,0.794,548
104,2:2,3:3,+,0.501,552
105,2:2,2:2,,0.515,554
106,2:2,2:2,,0.501,558
107,2:2,1:1,+,0.948,561
108,2:2,2:2,,0.741,566
109,2:2,1:1,+,0.556,571
110,2:2,2:2,,0.685,575
111,2:2,2:2,,0.783,576
112,2:2,2:2,,0.897,581
113,2:2,2:2,,0.763,585
114,2:2,2:2,,0.813,589
115,2:2,3:3,+,0.451,590
116,2:2,2:2,,0.799,597
117,2:2,2:2,,0.479,598
118,2:2,1:1,+,0.505,599
119,2:2,2:2,,0.424,607
120,2:2,2:2,,0.777,610
121,2:2,2:2,,0.675,614
122,2:2,3:3,+,0.428,615
123,2:2,3:3,+,0.525,617
124,2:2,2:2,,0.756,619
