inst#,actual,predicted,error,prediction,ID
1,1:1,3:3,+,0.548,3
2,1:1,3:3,+,0.545,5
3,1:1,1:1,,0.878,10
4,1:1,1:1,,0.579,12
5,1:1,1:1,,0.376,31
6,1:1,1:1,,0.674,39
7,1:1,3:3,+,0.389,48
8,1:1,1:1,,0.526,54
9,1:1,2:2,+,0.384,83
10,1:1,3:3,+,0.394,86
11,1:1,3:3,+,0.528,88
12,1:1,1:1,,0.891,96
13,1:1,1:1,,0.64,100
14,1:1,1:1,,0.547,109
15,1:1,3:3,+,0.483,113
16,1:1,1:1,,0.886,124
17,1:1,1:1,,0.617,126
18,1:1,1:1,,0.598,129
19,1:1,1:1,,0.448,135
20,1:1,3:3,+,0.542,136
21,1:1,3:3,+,0.391,138
22,1:1,3:3,+,0.524,139
23,1:1,1:1,,0.363,140
24,1:1,1:1,,0.448,147
25,1:1,1:1,,0.867,155
26,1:1,1:1,,0.469,156
27,1:1,1:1,,0.799,158
28,1:1,2:2,+,0.478,170
29,1:1,1:1,,0.728,171
30,1:1,1:1,,0.508,174
31,1:1,1:1,,0.86,178
32,1:1,1:1,,0.53,179
33,1:1,3:3,+,0.558,188
34,1:1,1:1,,0.632,199
35,1:1,1:1,,0.668,209
36,1:1,1:1,,0.695,210
37,1:1,1:1,,0.651,221
38,1:1,2:2,+,0.478,224
39,1:1,1:1,,0.701,242
40,1:1,3:3,+,0.51,243
41,1:1,1:1,,0.885,254
42,1:1,1:1,,0.706,260
43,1:1,3:3,+,0.408,265
44,1:1,1:1,,0.527,266
45,1:1,3:3,+,0.428,282
46,1:1,2:2,+,0.467,285
47,1:1,3:3,+,0.377,286
48,1:1,3:3,+,0.651,287
49,1:1,3:3,+,0.403,290
50,1:1,2:2,+,0.449,291
51,1:1,1:1,,0.918,292
52,1:1,1:1,,0.373,294
53,1:1,2:2,+,0.483,296
54,1:1,3:3,+,0.471,298
55,1:1,3:3,+,0.389,299
56,1:1,1:1,,0.612,308
57,1:1,1:1,,0.659,312
58,1:1,1:1,,0.819,314
59,1:1,3:3,+,0.583,318
60,1:1,3:3,+,0.503,319
61,1:1,1:1,,0.899,321
62,1:1,1:1,,0.695,323
63,1:1,3:3,+,0.479,325
64,1:1,3:3,+,0.366,327
65,1:1,1:1,,0.464,328
66,1:1,1:1,,0.879,331
67,1:1,1:1,,0.489,333
68,1:1,1:1,,0.352,346
69,1:1,3:3,+,0.561,348
70,1:1,1:1,,0.698,352
71,1:1,1:1,,0.785,355
72,1:1,1:1,,0.427,370
73,1:1,1:1,,0.832,376
74,1:1,3:3,+,0.443,377
75,1:1,1:1,,0.458,380
76,1:1,1:1,,0.677,382
77,1:1,1:1,,0.585,390
78,1:1,3:3,+,0.492,409
79,1:1,1:1,,0.78,410
80,1:1,1:1,,0.624,413
81,2:2,1:1,+,0.581,420
82,2:2,2:2,,0.578,435
83,2:2,1:1,+,0.549,438
84,2:2,1:1,+,0.528,442
85,2:2,2:2,,0.531,447
86,2:2,1:1,+,0.371,453
87,2:2,2:2,,0.479,458
88,2:2,2:2,,0.384,461
89,2:2,3:3,+,0.463,467
90,2:2,1:1,+,0.686,471
91,2:2,3:3,+,0.502,477
92,2:2,1:1,+,0.544,481
93,2:2,2:2,,0.425,485
94,2:2,3:3,+,0.642,490
95,2:2,1:1,+,0.451,503
96,2:2,1:1,+,0.406,513
97,2:2,2:2,,0.4,514
98,2:2,1:1,+,0.424,527
99,2:2,1:1,+,0.626,529
100,2:2,2:2,,0.583,532
101,2:2,3:3,+,0.396,542
102,2:2,3:3,+,0.417,544
103,2:2,2:2,,0.473,548
104,2:2,3:3,+,0.426,552
105,2:2,3:3,+,0.464,554
106,2:2,3:3,+,0.41,558
107,2:2,2:2,,0.473,561
108,2:2,2:2,,0.401,566
109,2:2,3:3,+,0.419,571
110,2:2,3:3,+,0.426,575
111,2:2,2:2,,0.449,576
112,2:2,2:2,,0.645,581
113,2:2,2:2,,0.432,585
114,2:2,2:2,,0.518,589
115,2:2,3:3,+,0.623,590
116,2:2,2:2,,0.433,597
117,2:2,3:3,+,0.457,598
118,2:2,1:1,+,0.621,599
119,2:2,1:1,+,0.428,607
120,2:2,2:2,,0.516,610
121,2:2,2:2,,0.403,614
122,2:2,3:3,+,0.588,615
123,2:2,3:3,+,0.572,617
124,2:2,2:2,,0.456,619
125,2:2,1:1,+,0.621,621
126,2:2,2:2,,0.352,626
127,2:2,2:2,,0.479,630
128,2:2,2:2,,0.407,631
129,2:2,3:3,+,0.512,634
130,3:3,3:3,,0.55,643
131,3:3,1:1,+,0.564,650
132,3:3,2:2,+,0.434,661
133,3:3,1:1,+,0.614,664
134,3:3,3:3,,0.61,665
135,3:3,3:3,,0.454,669
136,3:3,3:3,,0.541,670
137,3:3,3:3,,0.464,672
138,3:3,1:1,+,0.477,691
139,3:3,3:3,,0.471,700
140,3:3,1:1,+,0.597,704
141,3:3,1:1,+,0.495,706
142,3:3,1:1,+,0.469,707
143,3:3,1:1,+,0.687,711
144,3:3,3:3,,0.658,714
145,3:3,1:1,+,0.614,715
146,3:3,2:2,+,0.479,721
147,3:3,1:1,+,0.537,727
148,3:3,3:3,,0.473,733
149,3:3,3:3,,0.608,736
150,3:3,1:1,+,0.601,743
151,3:3,2:2,+,0.352,744
152,3:3,3:3,,0.486,745
153,3:3,2:2,+,0.468,756
154,3:3,1:1,+,0.414,757
155,3:3,3:3,,0.439,765
156,3:3,2:2,+,0.442,772
157,3:3,1:1,+,0.368,774
158,3:3,2:2,+,0.47,782
159,3:3,1:1,+,0.521,788
160,3:3,1:1,+,0.543,792
161,3:3,1:1,+,0.399,799
162,3:3,2:2,+,0.407,806
163,3:3,1:1,+,0.452,808
164,3:3,1:1,+,0.574,809
165,3:3,1:1,+,0.541,816
166,3:3,3:3,,0.502,819
167,3:3,3:3,,0.426,824
168,3:3,3:3,,0.453,829
169,3:3,1:1,+,0.476,834
170,3:3,3:3,,0.517,836
171,3:3,1:1,+,0.599,845
172,3:3,1:1,+,0.716,847
173,3:3,3:3,,0.471,855
174,3:3,1:1,+,0.522,867
175,3:3,1:1,+,0.479,892
176,3:3,1:1,+,0.42,898
177,3:3,2:2,+,0.514,899
178,3:3,3:3,,0.508,906
179,3:3,1:1,+,0.509,907
180,3:3,3:3,,0.442,908
181,3:3,1:1,+,0.74,909
182,3:3,3:3,,0.607,917
183,3:3,1:1,+,0.709,921
184,3:3,1:1,+,0.426,930
185,3:3,1:1,+,0.694,936
186,3:3,1:1,+,0.493,938
187,3:3,1:1,+,0.538,942
188,3:3,1:1,+,0.469,943
189,3:3,2:2,+,0.451,964
190,3:3,2:2,+,0.423,967
191,3:3,3:3,,0.569,973
192,3:3,2:2,+,0.393,974
193,3:3,2:2,+,0.431,979
194,3:3,3:3,,0.583,989
195,3:3,3:3,,0.672,998
196,3:3,1:1,+,0.572,999
197,1:1,3:3,+,0.535,1010
198,1:1,3:3,+,0.794,1013
199,1:1,1:1,,0.719,1018
200,1:1,3:3,+,0.455,1023
201,1:1,1:1,,0.605,1027
202,1:1,1:1,,0.426,1030
203,1:1,2:2,+,0.39,1037
204,1:1,1:1,,0.73,1040
205,1:1,1:1,,0.863,1048
206,1:1,2:2,+,0.525,1049
207,1:1,1:1,,0.445,1050
208,1:1,3:3,+,0.411,1054
209,1:1,1:1,,0.66,1055
210,1:1,3:3,+,0.533,1063
211,1:1,3:3,+,0.515,1074
212,1:1,1:1,,0.857,1075
213,1:1,1:1,,0.471,1099
214,1:1,3:3,+,0.532,1112
215,1:1,1:1,,0.683,1114
216,1:1,3:3,+,0.53,1116
217,1:1,3:3,+,0.676,1120
218,1:1,1:1,,0.731,1121
219,1:1,2:2,+,0.45,1128
220,1:1,2:2,+,0.493,1132
221,1:1,3:3,+,0.679,1142
222,1:1,1:1,,0.698,1146
223,1:1,3:3,+,0.508,1155
224,1:1,1:1,,0.42,1156
225,1:1,2:2,+,0.405,1165
226,1:1,1:1,,0.407,1167
227,1:1,1:1,,0.52,1174
228,1:1,1:1,,0.727,1175
229,1:1,1:1,,0.687,1176
230,1:1,1:1,,0.832,1192
231,1:1,3:3,+,0.694,1196
232,1:1,1:1,,0.918,1206
233,1:1,1:1,,0.443,1213
234,2:2,2:2,,0.519,1217
235,2:2,1:1,+,0.696,1218
236,2:2,3:3,+,0.485,1219
237,2:2,3:3,+,0.511,1223
238,2:2,1:1,+,0.373,1244
239,2:2,3:3,+,0.443,1245
240,2:2,1:1,+,0.391,1250
241,2:2,1:1,+,0.43,1258
242,2:2,2:2,,0.446,1260
243,2:2,3:3,+,0.526,1269
244,2:2,3:3,+,0.444,1272
245,2:2,1:1,+,0.552,1286
246,2:2,1:1,+,0.444,1288
247,2:2,1:1,+,0.697,1289
248,2:2,3:3,+,0.399,1299
249,2:2,1:1,+,0.645,1301
250,2:2,2:2,,0.354,1302
251,2:2,1:1,+,0.509,1305
252,2:2,1:1,+,0.538,1312
253,2:2,2:2,,0.534,1317
254,2:2,2:2,,0.423,1318
255,3:3,3:3,,0.567,1324
256,3:3,3:3,,0.558,1328
257,3:3,3:3,,0.483,1331
258,3:3,2:2,+,0.432,1341
259,3:3,3:3,,0.543,1344
260,3:3,1:1,+,0.386,1353
261,3:3,3:3,,0.434,1355
262,3:3,1:1,+,0.569,1361
263,3:3,1:1,+,0.459,1364
264,3:3,3:3,,0.436,1365
265,3:3,3:3,,0.41,1366
266,3:3,3:3,,0.518,1372
267,3:3,2:2,+,0.403,1373
268,3:3,3:3,,0.527,1376
269,3:3,1:1,+,0.63,1377
270,3:3,1:1,+,0.495,1387
271,3:3,2:2,+,0.419,1388
272,3:3,1:1,+,0.455,1394
273,3:3,1:1,+,0.514,1397
274,3:3,3:3,,0.537,1400
275,3:3,1:1,+,0.466,1401
276,3:3,3:3,,0.471,1411
277,3:3,1:1,+,0.428,1412
278,3:3,3:3,,0.587,1413
279,3:3,3:3,,0.437,1416
280,3:3,1:1,+,0.753,1417
281,3:3,1:1,+,0.673,1419
282,3:3,3:3,,0.445,1427
283,3:3,3:3,,0.536,1429
284,3:3,3:3,,0.538,1436
285,3:3,3:3,,0.378,1440
286,3:3,1:1,+,0.567,1441
287,3:3,2:2,+,0.395,1442
288,3:3,3:3,,0.572,1450
289,3:3,3:3,,0.627,1452
290,3:3,3:3,,0.432,1454
291,3:3,3:3,,0.571,1457
292,3:3,3:3,,0.471,1460
293,3:3,1:1,+,0.55,1464
294,3:3,1:1,+,0.534,1466
295,3:3,1:1,+,0.576,1471

