inst#,actual,predicted,error,prediction,ID
1,1:1,3:3,+,0.625,0
2,1:1,2:2,+,1,2
3,1:1,1:1,,0.9,6
4,1:1,3:3,+,0.833,7
5,1:1,1:1,,0.979,9
6,1:1,1:1,,0.667,25
7,1:1,1:1,,1,27
8,1:1,1:1,,0.8,33
9,1:1,1:1,,0.821,42
10,1:1,1:1,,0.476,45
11,1:1,1:1,,1,47
12,1:1,1:1,,0.786,52
13,1:1,3:3,+,0.778,55
14,1:1,2:2,+,1,57
15,1:1,1:1,,0.667,60
16,1:1,1:1,,0.8,62
17,1:1,1:1,,0.5,66
18,1:1,3:3,+,0.818,71
19,1:1,1:1,,0.833,72
20,1:1,1:1,,0.786,77
21,1:1,1:1,,0.8,79
22,1:1,1:1,,1,80
23,1:1,1:1,,0.667,82
24,1:1,2:2,+,0.429,84
25,1:1,2:2,+,0.429,85
26,1:1,1:1,,0.875,90
27,1:1,1:1,,0.8,92
28,1:1,1:1,,0.979,94
29,1:1,1:1,,0.476,97
30,1:1,3:3,+,0.667,102
31,1:1,2:2,+,1,104
32,1:1,2:2,+,0.692,105
33,1:1,1:1,,1,106
34,1:1,1:1,,0.821,110
35,1:1,1:1,,0.821,117
36,1:1,3:3,+,0.8,118
37,1:1,1:1,,0.979,120
38,1:1,2:2,+,1,125
39,1:1,1:1,,0.692,133
40,1:1,3:3,+,0.667,137
41,1:1,1:1,,0.821,142
42,1:1,2:2,+,1,144
43,1:1,2:2,+,0.567,145
44,1:1,1:1,,1,148
45,1:1,1:1,,0.692,165
46,1:1,3:3,+,0.6,172
47,1:1,3:3,+,0.714,177
48,1:1,3:3,+,0.667,181
49,1:1,1:1,,0.979,182
50,1:1,1:1,,0.667,183
51,1:1,1:1,,1,194
52,1:1,1:1,,0.821,204
53,1:1,1:1,,0.8,211
54,1:1,3:3,+,0.95,212
55,1:1,1:1,,0.979,213
56,1:1,1:1,,1,215
57,1:1,1:1,,0.909,223
58,1:1,2:2,+,0.5,226
59,1:1,1:1,,0.979,227
60,1:1,1:1,,0.979,228
61,1:1,1:1,,0.667,235
62,1:1,2:2,+,0.692,238
63,1:1,2:2,+,0.6,248
64,1:1,1:1,,0.5,249
65,1:1,2:2,+,0.786,250
66,1:1,3:3,+,0.636,255
67,1:1,3:3,+,0.9,256
68,1:1,1:1,,1,258
69,1:1,2:2,+,1,267
70,1:1,2:2,+,1,273
71,1:1,3:3,+,0.909,280
72,1:1,1:1,,0.833,281
73,1:1,3:3,+,0.708,302
74,1:1,3:3,+,1,305
75,1:1,3:3,+,0.6,307
76,1:1,2:2,+,0.5,311
77,1:1,1:1,,1,329
78,1:1,1:1,,0.5,334
79,1:1,1:1,,0.909,336
80,1:1,3:3,+,0.731,347
81,1:1,3:3,+,0.708,349
82,1:1,3:3,+,0.6,357
83,1:1,1:1,,0.875,359
84,1:1,1:1,,0.692,360
85,1:1,1:1,,0.979,362
86,1:1,1:1,,1,372
87,1:1,3:3,+,0.9,373
88,1:1,2:2,+,0.8,386
89,1:1,2:2,+,1,388
90,1:1,1:1,,0.889,389
91,1:1,3:3,+,0.667,404
92,1:1,3:3,+,0.667,408
93,2:2,2:2,,1,424
94,2:2,1:1,+,0.692,434
95,2:2,1:1,+,0.667,436
96,2:2,2:2,,1,440
97,2:2,1:1,+,0.5,445
98,2:2,2:2,,0.567,446
99,2:2,2:2,,0.789,448
100,2:2,1:1,+,0.692,449
101,2:2,1:1,+,0.5,450
102,2:2,2:2,,0.567,457
103,2:2,2:2,,0.609,460
104,2:2,3:3,+,0.9,465
105,2:2,2:2,,0.567,475
106,2:2,3:3,+,1,480
107,2:2,2:2,,0.6,501
108,2:2,1:1,+,0.9,504
109,2:2,1:1,+,0.8,507
110,2:2,1:1,+,0.667,519
111,2:2,3:3,+,0.708,523
112,2:2,1:1,+,0.692,525
113,2:2,1:1,+,0.5,530
114,2:2,1:1,+,0.667,531
115,2:2,1:1,+,0.821,533
116,2:2,2:2,,0.6,536
117,2:2,1:1,+,0.8,539
118,2:2,1:1,+,1,541
119,2:2,1:1,+,0.8,545
120,2:2,2:2,,0.8,553
121,2:2,1:1,+,0.75,555
122,2:2,2:2,,0.556,557
123,2:2,3:3,+,1,572
124,2:2,3:3,+,0.714,579
125,2:2,2:2,,0.6,593
126,2:2,2:2,,0.567,594
127,2:2,3:3,+,0.625,603
128,2:2,2:2,,1,609
129,2:2,2:2,,0.567,622
130,2:2,2:2,,1,624
131,2:2,3:3,+,0.778,636
132,2:2,3:3,+,1,637
133,2:2,1:1,+,0.979,638
134,3:3,1:1,+,0.786,644
135,3:3,3:3,,0.667,651
136,3:3,3:3,,1,666
137,3:3,3:3,,0.714,667
138,3:3,3:3,,0.6,671
139,3:3,1:1,+,0.979,673
140,3:3,2:2,+,0.567,676
141,3:3,1:1,+,0.8,679
142,3:3,3:3,,0.625,693
143,3:3,3:3,,1,695
144,3:3,1:1,+,0.5,697
145,3:3,1:1,+,0.8,708
146,3:3,3:3,,0.733,712
147,3:3,3:3,,0.95,713
148,3:3,1:1,+,1,716
149,3:3,2:2,+,0.567,718
150,3:3,3:3,,1,723
151,3:3,1:1,+,0.667,730
152,3:3,3:3,,0.731,731
153,3:3,1:1,+,1,739
154,3:3,3:3,,0.909,746
155,3:3,1:1,+,1,759
156,3:3,3:3,,1,762
157,3:3,2:2,+,1,777
158,3:3,3:3,,0.625,781
159,3:3,2:2,+,1,783
160,3:3,3:3,,0.714,785
161,3:3,3:3,,1,793
162,3:3,1:1,+,0.8,796
163,3:3,3:3,,0.733,798
164,3:3,3:3,,0.731,811
165,3:3,1:1,+,0.786,813
166,3:3,1:1,+,0.692,814
167,3:3,1:1,+,0.846,820
168,3:3,3:3,,0.708,823
169,3:3,3:3,,0.636,826
170,3:3,2:2,+,0.567,828
171,3:3,3:3,,0.733,839
172,3:3,3:3,,0.731,841
173,3:3,3:3,,0.625,849
174,3:3,1:1,+,0.5,857
175,3:3,3:3,,0.667,858
176,3:3,1:1,+,0.714,862
177,3:3,3:3,,0.731,864
178,3:3,1:1,+,0.846,881
179,3:3,1:1,+,0.714,885
180,3:3,1:1,+,0.8,887
181,3:3,3:3,,0.667,888
182,3:3,3:3,,0.8,894
183,3:3,3:3,,0.667,900
184,3:3,1:1,+,0.5,901
185,3:3,1:1,+,0.5,903
186,3:3,3:3,,0.731,905
187,3:3,3:3,,0.731,910
188,3:3,1:1,+,0.667,915
189,3:3,3:3,,1,932
190,3:3,3:3,,0.6,940
191,3:3,3:3,,0.731,941
192,3:3,1:1,+,0.667,945
193,3:3,3:3,,0.667,950
194,3:3,1:1,+,0.5,952
195,3:3,3:3,,0.9,953
196,3:3,2:2,+,1,958
197,3:3,1:1,+,1,963
198,3:3,3:3,,0.6,968
199,3:3,2:2,+,0.636,982
200,3:3,2:2,+,0.786,985
201,3:3,3:3,,0.909,988
202,3:3,3:3,,0.625,990
203,3:3,1:1,+,0.786,993
204,3:3,1:1,+,0.476,994
205,1:1,1:1,,0.5,1001
206,1:1,3:3,+,0.538,1004
207,1:1,1:1,,0.846,1005
208,1:1,1:1,,1,1006
