inst#,actual,predicted,error,prediction,ID
1,1:1,3:3,+,0.715,0
2,1:1,1:1,,0.637,2
3,1:1,1:1,,0.687,6
4,1:1,3:3,+,0.806,7
5,1:1,1:1,,1,9
6,1:1,1:1,,0.433,25
7,1:1,1:1,,0.99,27
8,1:1,1:1,,0.623,33
9,1:1,1:1,,0.769,42
10,1:1,1:1,,0.774,45
11,1:1,1:1,,0.979,47
12,1:1,1:1,,0.414,52
13,1:1,3:3,+,0.735,55
14,1:1,1:1,,0.421,57
15,1:1,1:1,,0.513,60
16,1:1,1:1,,0.831,62
17,1:1,2:2,+,0.448,66
18,1:1,1:1,,0.587,71
19,1:1,1:1,,0.842,72
20,1:1,1:1,,0.785,77
21,1:1,1:1,,0.9,79
22,1:1,1:1,,0.92,80
23,1:1,1:1,,0.488,82
24,1:1,1:1,,0.451,84
25,1:1,3:3,+,0.461,85
26,1:1,1:1,,0.9,90
27,1:1,1:1,,0.635,92
28,1:1,1:1,,0.866,94
29,1:1,2:2,+,0.515,97
30,1:1,3:3,+,0.783,102
31,1:1,3:3,+,0.506,104
32,1:1,1:1,,0.547,105
33,1:1,1:1,,0.913,106
34,1:1,1:1,,0.495,110
35,1:1,1:1,,0.774,117
36,1:1,3:3,+,0.384,118
37,1:1,1:1,,0.919,120
38,1:1,2:2,+,0.515,125
39,1:1,1:1,,0.638,133
40,1:1,1:1,,0.5,137
41,1:1,1:1,,0.85,142
42,1:1,2:2,+,0.464,144
43,1:1,3:3,+,0.573,145
44,1:1,1:1,,0.786,148
45,1:1,1:1,,0.732,165
46,1:1,3:3,+,0.632,172
47,1:1,1:1,,0.541,177
48,1:1,1:1,,0.537,181
49,1:1,1:1,,0.77,182
50,1:1,1:1,,0.669,183
51,1:1,1:1,,0.986,194
52,1:1,1:1,,0.583,204
53,1:1,1:1,,0.842,211
54,1:1,3:3,+,0.877,212
55,1:1,1:1,,0.974,213
56,1:1,1:1,,0.555,215
57,1:1,1:1,,0.704,223
58,1:1,1:1,,0.436,226
59,1:1,1:1,,0.945,227
60,1:1,1:1,,0.942,228
61,1:1,1:1,,0.757,235
62,1:1,1:1,,0.465,238
63,1:1,3:3,+,0.383,248
64,1:1,1:1,,0.542,249
65,1:1,2:2,+,0.452,250
66,1:1,3:3,+,0.511,255
67,1:1,1:1,,0.417,256
68,1:1,1:1,,0.96,258
69,1:1,2:2,+,0.519,267
70,1:1,2:2,+,0.43,273
71,1:1,1:1,,0.452,280
