inst#,actual,predicted,error,prediction,ID
1,1:1,1:1,,0.667,4
2,1:1,1:1,,0.902,11
3,1:1,1:1,,0.902,16
4,1:1,3:3,+,0.6,17
5,1:1,3:3,+,0.6,18
6,1:1,1:1,,0.6,19
7,1:1,1:1,,0.935,22
8,1:1,1:1,,1,24
9,1:1,1:1,,0.986,28
10,1:1,1:1,,0.902,35
11,1:1,1:1,,0.833,36
12,1:1,3:3,+,0.615,38
13,1:1,1:1,,0.986,41
14,1:1,3:3,+,0.667,46
15,1:1,1:1,,0.986,50
16,1:1,1:1,,0.727,61
17,1:1,3:3,+,0.667,68
18,1:1,2:2,+,0.462,69
19,1:1,1:1,,1,73
20,1:1,1:1,,0.986,74
21,1:1,3:3,+,0.667,75
22,1:1,1:1,,0.667,89
23,1:1,1:1,,0.935,93
24,1:1,1:1,,1,108
25,1:1,1:1,,0.986,114
26,1:1,2:2,+,0.846,116
27,1:1,3:3,+,0.833,119
28,1:1,1:1,,1,127
29,1:1,1:1,,0.986,131
30,1:1,1:1,,0.902,132
31,1:1,2:2,+,0.724,149
32,1:1,3:3,+,0.538,153
33,1:1,1:1,,0.902,154
34,1:1,3:3,+,0.722,157
35,1:1,1:1,,0.875,159
36,1:1,1:1,,0.986,162
37,1:1,2:2,+,0.846,164
38,1:1,1:1,,0.667,167
39,1:1,1:1,,0.986,169
40,1:1,3:3,+,0.75,173
41,1:1,1:1,,0.986,176
42,1:1,2:2,+,0.462,180
43,1:1,1:1,,0.857,185
44,1:1,3:3,+,0.833,190
45,1:1,3:3,+,0.882,191
46,1:1,3:3,+,0.75,193
47,1:1,1:1,,0.902,195
48,1:1,1:1,,0.902,214
49,1:1,3:3,+,0.833,217
50,1:1,3:3,+,1,222
51,1:1,1:1,,0.986,232
52,1:1,1:1,,0.833,234
53,1:1,3:3,+,0.9,245
54,1:1,3:3,+,0.471,251
55,1:1,1:1,,0.902,257
56,1:1,1:1,,0.986,263
57,1:1,3:3,+,0.722,264
58,1:1,3:3,+,1,268
59,1:1,1:1,,0.889,272
60,1:1,3:3,+,0.6,278
61,1:1,2:2,+,0.462,284
62,1:1,3:3,+,0.833,300
63,1:1,1:1,,0.986,301
64,1:1,3:3,+,0.75,304
65,1:1,2:2,+,0.5,313
66,1:1,3:3,+,0.684,320
67,1:1,1:1,,0.902,326
68,1:1,3:3,+,0.833,335
69,1:1,1:1,,0.986,338
70,1:1,1:1,,0.8,340
71,1:1,2:2,+,0.667,341
72,1:1,1:1,,1,356
73,1:1,1:1,,0.986,364
74,1:1,1:1,,0.714,366
75,1:1,3:3,+,1,368
76,1:1,3:3,+,0.833,369
77,1:1,3:3,+,0.917,375
78,1:1,3:3,+,0.714,383
79,1:1,1:1,,0.986,393
80,1:1,1:1,,0.833,395
81,1:1,1:1,,0.902,396
82,1:1,1:1,,0.902,399
83,1:1,1:1,,0.9,407
84,1:1,1:1,,0.902,412
85,1:1,1:1,,1,414
86,2:2,2:2,,0.375,417
87,2:2,2:2,,0.556,419
88,2:2,1:1,+,0.913,421
89,2:2,3:3,+,0.667,431
90,2:2,2:2,,0.462,443
91,2:2,1:1,+,0.714,444
92,2:2,3:3,+,0.538,454
93,2:2,2:2,,0.375,456
94,2:2,1:1,+,0.833,468
95,2:2,3:3,+,0.75,470
96,2:2,2:2,,0.786,473
97,2:2,3:3,+,0.5,476
98,2:2,3:3,+,0.5,483
99,2:2,2:2,,0.846,487
100,2:2,3:3,+,0.882,489
101,2:2,2:2,,0.786,491
102,2:2,2:2,,0.75,495
103,2:2,3:3,+,0.75,496
104,2:2,2:2,,0.462,498
105,2:2,3:3,+,0.75,499
106,2:2,1:1,+,0.6,500
107,2:2,2:2,,0.375,505
108,2:2,2:2,,0.556,511
109,2:2,2:2,,0.462,512
110,2:2,2:2,,1,515
111,2:2,2:2,,1,516
112,2:2,2:2,,0.5,517
113,2:2,3:3,+,0.882,518
114,2:2,2:2,,0.846,521
115,2:2,2:2,,0.5,537
116,2:2,1:1,+,0.667,546
117,2:2,3:3,+,0.5,547
118,2:2,3:3,+,0.667,559
119,2:2,3:3,+,0.667,568
120,2:2,2:2,,0.786,569
121,2:2,2:2,,1,574
122,2:2,2:2,,0.724,580
123,2:2,3:3,+,0.667,587
124,2:2,2:2,,0.724,595
125,2:2,3:3,+,0.684,604
126,2:2,3:3,+,0.684,606
127,2:2,3:3,+,0.684,611
128,2:2,2:2,,1,616
129,2:2,3:3,+,0.538,625
130,2:2,2:2,,0.462,633
131,2:2,1:1,+,1,635
132,3:3,3:3,,0.6,652
133,3:3,2:2,+,1,653
134,3:3,2:2,+,0.5,655
135,3:3,1:1,+,0.667,656
136,3:3,2:2,+,0.5,657
137,3:3,3:3,,0.538,662
138,3:3,1:1,+,0.714,675
139,3:3,2:2,+,0.462,684
140,3:3,3:3,,0.643,685
141,3:3,2:2,+,0.786,688
142,3:3,1:1,+,0.935,689
143,3:3,2:2,+,0.571,690
144,3:3,1:1,+,1,692
145,3:3,3:3,,0.625,694
146,3:3,3:3,,0.538,696
147,3:3,3:3,,0.714,703
148,3:3,2:2,+,0.724,717
149,3:3,1:1,+,0.6,726
150,3:3,1:1,+,0.583,728
151,3:3,3:3,,1,732
152,3:3,1:1,+,0.667,734
153,3:3,1:1,+,0.857,735
154,3:3,2:2,+,0.462,738
155,3:3,3:3,,0.583,740
156,3:3,1:1,+,1,750
157,3:3,3:3,,0.882,753
158,3:3,1:1,+,0.9,758
159,3:3,1:1,+,0.583,760
160,3:3,1:1,+,0.75,761
161,3:3,2:2,+,0.5,768
162,3:3,3:3,,0.882,773
163,3:3,2:2,+,0.375,784
164,3:3,3:3,,0.583,786
165,3:3,3:3,,0.722,789
166,3:3,2:2,+,0.375,790
167,3:3,2:2,+,0.667,801
168,3:3,3:3,,0.75,803
169,3:3,1:1,+,0.8,822
170,3:3,3:3,,0.583,825
171,3:3,3:3,,0.833,827
172,3:3,3:3,,0.538,830
173,3:3,1:1,+,1,832
174,3:3,3:3,,0.643,833
175,3:3,3:3,,0.833,837
176,3:3,3:3,,0.75,842
177,3:3,3:3,,0.714,848
178,3:3,1:1,+,0.857,850
179,3:3,2:2,+,0.724,851
180,3:3,3:3,,0.7,853
181,3:3,1:1,+,0.833,866
182,3:3,3:3,,0.889,868
183,3:3,3:3,,0.833,872
184,3:3,1:1,+,0.571,875
185,3:3,1:1,+,0.833,876
186,3:3,3:3,,0.6,879
187,3:3,3:3,,0.7,884
188,3:3,2:2,+,0.571,890
189,3:3,3:3,,0.722,895
190,3:3,1:1,+,0.667,902
191,3:3,3:3,,0.625,911
192,3:3,3:3,,1,912
