inst#,actual,predicted,error,prediction,ID
1,1:yes,1:yes,,0.861,6
2,1:yes,1:yes,,0.911,7
3,1:yes,1:yes,,0.851,10
4,2:no,1:yes,+,0.976,16
5,2:no,2:no,,0.564,17
6,1:yes,1:yes,,0.874,18
7,2:no,2:no,,0.503,19
8,1:yes,1:yes,,0.725,24
9,1:yes,2:no,+,0.871,31
10,2:no,2:no,,0.604,36
11,1:yes,1:yes,,0.735,59
12,2:no,2:no,,0.514,60
13,1:yes,2:no,+,0.54,66
14,1:yes,1:yes,,0.91,75
15,1:yes,1:yes,,0.845,79
16,1:yes,1:yes,,0.715,81
17,1:yes,1:yes,,0.966,84
18,1:yes,1:yes,,0.78,103
19,1:yes,1:yes,,0.986,104
20,1:yes,1:yes,,0.912,110
21,1:yes,2:no,+,0.743,111
22,1:yes,1:yes,,0.66,113
23,1:yes,1:yes,,0.725,116
24,1:yes,1:yes,,0.779,118
25,1:yes,1:yes,,0.741,132
26,2:no,2:no,,0.515,139
27,2:no,1:yes,+,0.84,140
28,1:yes,2:no,+,0.735,145
29,1:yes,1:yes,,0.716,147
30,1:yes,1:yes,,0.827,148
31,1:yes,1:yes,,0.87,157
32,2:no,1:yes,+,0.503,158
33,1:yes,1:yes,,0.803,163
34,2:no,2:no,,0.751,167
35,1:yes,1:yes,,0.901,168
36,1:yes,1:yes,,0.99,173
37,2:no,2:no,,0.654,181
38,1:yes,1:yes,,0.969,182
39,2:no,2:no,,0.774,183
40,1:yes,1:yes,,0.73,192
41,2:no,2:no,,0.917,198
42,2:no,2:no,,0.815,199
43,2:no,2:no,,0.964,209
44,1:yes,1:yes,,0.922,210
45,1:yes,1:yes,,0.802,218
46,1:yes,1:yes,,0.854,222
47,1:yes,1:yes,,0.693,223
48,1:yes,1:yes,,0.896,233
49,2:no,2:no,,0.73,234
50,1:yes,1:yes,,0.944,248
51,2:no,1:yes,+,0.645,249
52,2:no,2:no,,0.535,262
53,2:no,2:no,,0.779,266
54,1:yes,1:yes,,0.959,275
55,2:no,2:no,,0.93,278
56,1:yes,1:yes,,0.912,282
57,2:no,2:no,,0.606,284
58,2:no,2:no,,0.52,287
59,1:yes,1:yes,,0.797,289
60,2:no,2:no,,0.708,301
61,1:yes,1:yes,,0.782,302
62,2:no,2:no,,0.63,307
63,1:yes,1:yes,,0.897,316
64,1:yes,1:yes,,0.895,321
65,1:yes,1:yes,,0.987,323
66,1:yes,1:yes,,0.991,324
67,2:no,2:no,,0.577,326
68,2:no,1:yes,+,0.756,334
69,1:yes,1:yes,,0.643,349
70,2:no,2:no,,0.969,352
71,1:yes,2:no,+,0.596,356
72,1:yes,1:yes,,0.724,357
73,1:yes,1:yes,,0.846,359
74,1:yes,2:no,+,0.736,363

