inst#,actual,predicted,error,prediction,ID
1,2:no,2:no,,1,2
2,1:yes,2:no,+,0.963,11
3,1:yes,1:yes,,1,23
4,2:no,2:no,,1,29
5,1:yes,1:yes,,0.997,37
6,2:no,2:no,,1,38
7,1:yes,1:yes,,0.977,44
8,2:no,2:no,,1,67
9,2:no,2:no,,1,68
10,2:no,2:no,,0.893,69
11,1:yes,1:yes,,0.514,74
12,1:yes,1:yes,,1,83
13,1:yes,1:yes,,1,86
14,2:no,2:no,,0.942,92
15,1:yes,2:no,+,0.999,96
16,2:no,1:yes,+,0.998,97
17,2:no,2:no,,0.999,107
18,1:yes,1:yes,,0.647,112
19,2:no,2:no,,0.982,115
20,1:yes,2:no,+,0.996,117
21,1:yes,1:yes,,0.977,120
22,2:no,2:no,,0.996,122
23,1:yes,2:no,+,0.855,125
24,1:yes,1:yes,,0.912,127
25,1:yes,1:yes,,0.983,129
26,1:yes,2:no,+,0.997,133
27,2:no,2:no,,0.992,143
28,2:no,1:yes,+,0.74,144
29,1:yes,1:yes,,0.852,146
30,1:yes,2:no,+,0.91,154
31,1:yes,1:yes,,0.909,164
32,1:yes,1:yes,,0.999,172
33,1:yes,1:yes,,0.972,176
34,2:no,2:no,,0.694,179
35,1:yes,1:yes,,1,180
36,2:no,2:no,,0.979,184
37,1:yes,2:no,+,0.995,185
38,2:no,2:no,,0.862,194
39,2:no,1:yes,+,0.656,195
40,1:yes,1:yes,,0.997,197
41,1:yes,1:yes,,1,211
42,2:no,1:yes,+,0.783,220
43,1:yes,2:no,+,1,224
44,1:yes,1:yes,,0.988,239
45,1:yes,1:yes,,0.82,245
46,1:yes,1:yes,,1,247
47,2:no,1:yes,+,0.551,253
48,2:no,2:no,,0.998,261
49,1:yes,2:no,+,0.884,265
50,2:no,2:no,,0.671,268
51,1:yes,1:yes,,1,272
52,2:no,1:yes,+,0.833,277
53,2:no,2:no,,0.996,280
54,1:yes,2:no,+,0.724,283
55,2:no,2:no,,0.997,290
56,1:yes,1:yes,,0.909,292
57,2:no,2:no,,1,294
58,1:yes,1:yes,,0.997,297
59,1:yes,1:yes,,1,298
60,2:no,1:yes,+,0.677,303
61,1:yes,1:yes,,0.971,305
62,1:yes,1:yes,,0.999,310
63,2:no,1:yes,+,0.852,311
64,2:no,2:no,,0.952,314
65,2:no,2:no,,0.745,317
66,1:yes,1:yes,,0.967,320
67,1:yes,1:yes,,0.999,333
68,2:no,2:no,,0.822,339
69,1:yes,1:yes,,0.988,342
70,1:yes,1:yes,,0.717,350
71,1:yes,1:yes,,0.618,351
72,1:yes,2:no,+,0.998,354
73,1:yes,1:yes,,1,362
74,2:no,2:no,,1,366

