inst#,actual,predicted,error,prediction,ID
1,2:no,1:yes,+,0.947,1
2,2:no,1:yes,+,0.796,13
3,1:yes,1:yes,,0.959,20
4,2:no,2:no,,0.895,21
5,1:yes,1:yes,,0.941,34
6,1:yes,1:yes,,0.942,43
7,1:yes,1:yes,,0.949,48
8,2:no,2:no,,1,49
9,2:no,2:no,,0.895,50
10,2:no,2:no,,0.892,52
11,2:no,2:no,,0.894,53
12,1:yes,1:yes,,0.886,54
13,1:yes,1:yes,,0.955,58
14,2:no,1:yes,+,0.945,71
15,1:yes,1:yes,,0.959,80
16,1:yes,1:yes,,0.876,87
17,2:no,2:no,,0.857,88
18,1:yes,1:yes,,0.943,91
19,2:no,2:no,,0.846,99
20,2:no,2:no,,0.891,102
21,1:yes,1:yes,,0.956,105
22,1:yes,1:yes,,0.969,106
23,1:yes,1:yes,,1,121
24,1:yes,2:no,+,0.745,130
25,1:yes,1:yes,,0.955,134
26,2:no,2:no,,0.971,149
27,1:yes,1:yes,,0.943,151
28,1:yes,1:yes,,0.934,160
29,1:yes,2:no,+,1,161
30,2:no,2:no,,1,166
31,1:yes,1:yes,,0.514,169
32,1:yes,1:yes,,1,174
33,1:yes,1:yes,,0.953,187
34,1:yes,1:yes,,0.961,188
35,1:yes,1:yes,,0.956,189
36,1:yes,1:yes,,0.964,190
37,2:no,2:no,,0.842,191
38,1:yes,1:yes,,0.958,201
39,2:no,1:yes,+,0.845,205
40,1:yes,1:yes,,0.953,207
41,2:no,1:yes,+,0.954,212
42,2:no,2:no,,0.956,214
43,1:yes,1:yes,,0.905,217
44,1:yes,1:yes,,0.964,235
45,2:no,1:yes,+,0.958,241
46,1:yes,1:yes,,0.953,243
47,1:yes,1:yes,,0.911,251
48,1:yes,1:yes,,0.968,252
49,1:yes,1:yes,,0.952,257
50,1:yes,1:yes,,0.962,259
51,1:yes,1:yes,,0.947,263
52,1:yes,1:yes,,0.961,264
53,1:yes,1:yes,,0.965,269
54,1:yes,1:yes,,0.966,270
55,1:yes,1:yes,,0.966,273
56,2:no,2:no,,1,276
57,2:no,1:yes,+,0.958,293
58,2:no,1:yes,+,0.937,295
59,2:no,2:no,,0.881,306
60,1:yes,2:no,+,0.96,308
61,1:yes,1:yes,,0.953,313
62,2:no,2:no,,0.971,315
63,1:yes,1:yes,,0.939,319
64,1:yes,1:yes,,0.806,330
65,1:yes,1:yes,,0.963,335
66,1:yes,1:yes,,0.962,336
67,1:yes,1:yes,,0.964,343
68,1:yes,1:yes,,0.947,348
69,1:yes,1:yes,,0.964,353
70,1:yes,1:yes,,0.956,358
71,2:no,2:no,,0.897,361
72,1:yes,1:yes,,0.958,365
73,1:yes,1:yes,,0.838,367

