inst#,actual,predicted,error,prediction,ID
1,2:no,1:yes,+,0.871,1
2,2:no,2:no,,0.767,13
3,1:yes,1:yes,,0.972,20
4,2:no,2:no,,0.802,21
5,1:yes,1:yes,,0.965,34
6,1:yes,1:yes,,0.971,43
7,1:yes,1:yes,,0.936,48
8,2:no,2:no,,0.622,49
9,2:no,2:no,,0.906,50
10,2:no,2:no,,0.881,52
11,2:no,2:no,,0.89,53
12,1:yes,1:yes,,0.709,54
13,1:yes,1:yes,,0.988,58
14,2:no,1:yes,+,0.759,71
15,1:yes,1:yes,,0.975,80
16,1:yes,1:yes,,0.721,87
17,2:no,2:no,,0.646,88
18,1:yes,1:yes,,0.825,91
19,2:no,1:yes,+,0.626,99
20,2:no,2:no,,0.564,102
21,1:yes,1:yes,,0.896,105
22,1:yes,1:yes,,0.861,106
23,1:yes,1:yes,,0.947,121
24,1:yes,1:yes,,0.964,130
25,1:yes,1:yes,,0.981,134
26,2:no,2:no,,0.713,149
27,1:yes,1:yes,,0.954,151
28,1:yes,1:yes,,0.907,160
29,1:yes,1:yes,,0.965,161
30,2:no,1:yes,+,0.548,166
31,1:yes,1:yes,,0.909,169
32,1:yes,1:yes,,0.692,174
33,1:yes,1:yes,,0.923,187
34,1:yes,1:yes,,0.798,188
35,1:yes,1:yes,,0.692,189
36,1:yes,1:yes,,0.754,190
37,2:no,2:no,,0.887,191
38,1:yes,1:yes,,0.983,201
39,2:no,1:yes,+,0.805,205
40,1:yes,1:yes,,0.984,207
41,2:no,1:yes,+,0.958,212
42,2:no,2:no,,0.818,214
43,1:yes,1:yes,,0.699,217
44,1:yes,1:yes,,0.972,235
45,2:no,1:yes,+,0.85,241
46,1:yes,1:yes,,0.91,243
47,1:yes,1:yes,,0.661,251
48,1:yes,1:yes,,0.962,252
49,1:yes,1:yes,,0.973,257
50,1:yes,1:yes,,0.961,259
51,1:yes,1:yes,,0.974,263
52,1:yes,1:yes,,0.95,264
53,1:yes,1:yes,,0.838,269
54,1:yes,1:yes,,0.959,270
55,1:yes,1:yes,,0.977,273
56,2:no,1:yes,+,0.869,276
57,2:no,1:yes,+,0.93,293
58,2:no,1:yes,+,0.946,295
59,2:no,2:no,,0.662,306
60,1:yes,2:no,+,0.505,308
61,1:yes,1:yes,,0.984,313
62,2:no,2:no,,0.783,315
63,1:yes,1:yes,,0.872,319
64,1:yes,1:yes,,0.786,330
65,1:yes,1:yes,,0.854,335
66,1:yes,1:yes,,0.963,336
67,1:yes,1:yes,,0.859,343
68,1:yes,2:no,+,0.509,348
69,1:yes,1:yes,,0.598,353
70,1:yes,1:yes,,0.756,358
71,2:no,2:no,,0.896,361
72,1:yes,1:yes,,0.82,365
73,1:yes,1:yes,,0.537,367

