inst#,actual,predicted,error,prediction,ID
1,2:no,1:yes,+,0.944,1
2,2:no,2:no,,0.812,13
3,1:yes,1:yes,,0.934,20
4,2:no,2:no,,0.959,21
5,1:yes,1:yes,,0.877,34
6,1:yes,1:yes,,0.955,43
7,1:yes,1:yes,,0.922,48
8,2:no,1:yes,+,0.518,49
9,2:no,2:no,,0.767,50
10,2:no,2:no,,0.767,52
11,2:no,2:no,,0.863,53
12,1:yes,1:yes,,0.668,54
13,1:yes,1:yes,,0.944,58
14,2:no,2:no,,0.516,71
15,1:yes,1:yes,,0.96,80
16,1:yes,1:yes,,0.559,87
17,2:no,2:no,,0.822,88
18,1:yes,1:yes,,0.668,91
19,2:no,2:no,,0.512,99
20,2:no,2:no,,0.701,102
21,1:yes,1:yes,,0.891,105
22,1:yes,1:yes,,0.97,106
23,1:yes,1:yes,,0.964,121
24,1:yes,1:yes,,0.933,130
25,1:yes,1:yes,,0.933,134
26,2:no,2:no,,0.851,149
27,1:yes,1:yes,,0.949,151
28,1:yes,1:yes,,0.861,160
29,1:yes,1:yes,,0.949,161
30,2:no,1:yes,+,0.685,166
31,1:yes,1:yes,,0.949,169
32,1:yes,1:yes,,0.604,174
33,1:yes,1:yes,,0.877,187
34,1:yes,1:yes,,0.877,188
35,1:yes,1:yes,,0.837,189
36,1:yes,1:yes,,0.556,190
37,2:no,2:no,,0.808,191
38,1:yes,1:yes,,0.967,201
39,2:no,1:yes,+,0.708,205
40,1:yes,1:yes,,0.967,207
41,2:no,1:yes,+,0.877,212
42,2:no,2:no,,0.826,214
43,1:yes,1:yes,,0.647,217
44,1:yes,1:yes,,0.949,235
45,2:no,1:yes,+,0.637,241
46,1:yes,1:yes,,0.658,243
47,1:yes,2:no,+,0.688,251
48,1:yes,1:yes,,0.96,252
49,1:yes,1:yes,,0.953,257
50,1:yes,1:yes,,0.965,259
51,1:yes,1:yes,,0.96,263
52,1:yes,1:yes,,0.852,264
53,1:yes,1:yes,,0.966,269
54,1:yes,1:yes,,0.971,270
55,1:yes,1:yes,,0.953,273
56,2:no,1:yes,+,0.939,276
57,2:no,1:yes,+,0.949,293
58,2:no,1:yes,+,0.982,295
59,2:no,2:no,,0.678,306
60,1:yes,2:no,+,0.575,308
61,1:yes,1:yes,,0.977,313
62,2:no,2:no,,0.839,315
63,1:yes,1:yes,,0.778,319
64,1:yes,1:yes,,0.817,330
65,1:yes,1:yes,,0.877,335
66,1:yes,1:yes,,0.955,336
67,1:yes,1:yes,,0.871,343
68,1:yes,1:yes,,0.615,348
69,1:yes,1:yes,,0.955,353
70,1:yes,1:yes,,0.939,358
71,2:no,2:no,,0.873,361
72,1:yes,1:yes,,0.933,365
73,1:yes,1:yes,,0.668,367

