inst#,actual,predicted,error,prediction,ID
1,1:+,1:+,,0.904,0
2,1:+,1:+,,0.876,7
3,1:+,1:+,,0.812,9
4,1:+,1:+,,0.841,11
5,1:+,1:+,,0.569,15
6,1:+,1:+,,0.807,18
7,1:+,1:+,,0.976,22
8,1:+,1:+,,0.969,23
9,1:+,2:-,+,1,28
10,1:+,1:+,,0.999,29
11,1:+,2:-,+,1,33
12,1:+,1:+,,0.928,42
13,1:+,1:+,,0.954,43
14,1:+,1:+,,0.664,51
15,1:+,1:+,,0.907,61
16,1:+,1:+,,0.969,66
17,1:+,1:+,,0.99,68
18,2:-,1:+,+,0.77,73
19,2:-,1:+,+,0.863,75
20,2:-,1:+,+,0.678,79
21,2:-,1:+,+,0.667,82
22,2:-,1:+,+,0.568,83
23,2:-,1:+,+,0.62,84
24,2:-,1:+,+,0.604,88
25,2:-,1:+,+,0.882,89
26,2:-,1:+,+,0.744,92
27,2:-,1:+,+,0.807,93
28,2:-,1:+,+,0.768,104
29,2:-,1:+,+,0.871,110
30,2:-,1:+,+,0.843,114
31,1:+,1:+,,1,117
32,1:+,1:+,,0.996,125
33,1:+,1:+,,0.928,137
34,1:+,1:+,,0.965,140
35,1:+,1:+,,0.98,153
36,1:+,2:-,+,1,163
37,1:+,1:+,,0.998,167
38,1:+,1:+,,0.806,174
39,1:+,1:+,,0.593,177
40,1:+,1:+,,0.903,178
41,1:+,1:+,,0.601,181
42,1:+,1:+,,0.98,184
43,1:+,1:+,,0.918,188
44,1:+,1:+,,0.886,196
45,1:+,1:+,,0.837,203
46,1:+,1:+,,0.906,204
47,1:+,1:+,,0.928,208
48,1:+,1:+,,0.977,209
49,1:+,1:+,,0.71,215
50,1:+,2:-,+,1,218
51,1:+,1:+,,0.794,221
52,1:+,1:+,,0.996,234
53,1:+,2:-,+,0.552,236
54,1:+,1:+,,0.858,238
55,2:-,2:-,,0.983,259
56,2:-,2:-,,0.94,260
57,2:-,2:-,,0.971,265
58,2:-,2:-,,0.961,271
59,2:-,2:-,,0.964,275
60,2:-,2:-,,0.998,278
61,2:-,2:-,,0.977,290
62,2:-,2:-,,0.904,291
63,2:-,2:-,,0.858,292
64,2:-,2:-,,0.893,299
65,2:-,2:-,,0.953,300
66,2:-,2:-,,0.979,311
67,2:-,2:-,,0.981,314
68,2:-,2:-,,0.975,326
69,2:-,2:-,,0.974,328
70,2:-,2:-,,0.972,331
71,2:-,2:-,,0.971,332
72,2:-,2:-,,0.986,338
73,2:-,2:-,,0.975,340
74,2:-,2:-,,0.976,346
75,2:-,2:-,,0.829,349
76,2:-,2:-,,0.87,352
77,2:-,2:-,,0.981,357
78,2:-,2:-,,0.994,363
79,2:-,2:-,,0.989,367
80,2:-,1:+,+,1,369
81,2:-,2:-,,0.993,375
82,2:-,2:-,,0.987,377
83,2:-,2:-,,0.985,380
84,2:-,2:-,,0.995,382
85,2:-,2:-,,1,390
86,2:-,2:-,,0.951,393
87,2:-,2:-,,0.955,395
88,2:-,2:-,,0.987,398
89,2:-,2:-,,0.85,409
90,2:-,2:-,,0.982,412
91,2:-,2:-,,0.979,420
92,2:-,1:+,+,0.636,424
93,2:-,2:-,,0.94,425
94,2:-,2:-,,0.96,426
95,2:-,2:-,,0.967,431
96,2:-,2:-,,0.99,432
97,2:-,2:-,,0.949,446
98,2:-,2:-,,0.997,447
99,2:-,2:-,,0.937,449
100,2:-,2:-,,0.96,453
101,2:-,2:-,,0.709,467
102,2:-,2:-,,0.976,477
103,2:-,2:-,,0.861,482
104,2:-,2:-,,0.987,487
105,1:+,1:+,,0.942,490
106,1:+,1:+,,0.981,501
107,1:+,1:+,,0.62,513
108,1:+,1:+,,0.943,515
109,1:+,1:+,,0.884,522
110,2:-,1:+,+,0.634,529
111,2:-,2:-,,0.708,533
112,2:-,1:+,+,0.538,534
113,2:-,1:+,+,0.893,539
114,1:+,1:+,,0.995,548
115,1:+,1:+,,0.59,550
116,1:+,1:+,,1,552
117,1:+,1:+,,0.979,559
118,1:+,1:+,,0.877,567
119,1:+,1:+,,0.995,578
120,1:+,2:-,+,1,581
121,1:+,1:+,,0.985,588
122,1:+,1:+,,0.982,599
123,2:-,2:-,,0.976,601
124,2:-,2:-,,0.954,603
125,2:-,2:-,,0.992,608
126,2:-,2:-,,0.943,618
127,2:-,2:-,,0.947,623
128,2:-,2:-,,0.958,629
129,2:-,2:-,,0.894,631
130,2:-,2:-,,0.958,637
131,2:-,2:-,,0.982,644
132,2:-,2:-,,0.961,647
133,2:-,2:-,,0.979,650
134,2:-,2:-,,0.897,651
135,2:-,2:-,,0.898,656
136,2:-,2:-,,0.97,674
137,2:-,2:-,,0.962,675
138,2:-,2:-,,0.982,682

