inst#,actual,predicted,error,prediction,ID
1,1:+,1:+,,0.925,3
2,1:+,2:-,+,0.745,5
3,1:+,1:+,,0.843,12
4,1:+,1:+,,0.928,16
5,1:+,1:+,,0.926,17
6,1:+,1:+,,0.935,19
7,1:+,1:+,,0.932,25
8,1:+,1:+,,0.929,26
9,1:+,1:+,,0.932,37
10,1:+,1:+,,0.931,45
11,1:+,1:+,,0.961,46
12,1:+,2:-,+,0.973,48
13,1:+,2:-,+,0.696,50
14,1:+,2:-,+,0.713,57
15,1:+,1:+,,0.934,67
16,2:-,1:+,+,0.891,94
17,2:-,1:+,+,0.977,100
18,2:-,2:-,,0.71,107
19,2:-,1:+,+,0.926,113
20,2:-,1:+,+,0.931,116
21,1:+,1:+,,0.965,124
22,1:+,1:+,,0.931,126
23,1:+,1:+,,0.934,141
24,1:+,1:+,,0.918,142
25,1:+,1:+,,0.937,144
26,1:+,1:+,,0.969,149
27,1:+,1:+,,0.933,154
28,1:+,1:+,,0.935,157
29,1:+,1:+,,0.977,168
30,1:+,2:-,+,0.955,169
31,1:+,1:+,,1,171
32,1:+,2:-,+,0.681,172
33,1:+,1:+,,0.905,173
34,1:+,1:+,,0.978,175
35,1:+,1:+,,0.934,179
36,1:+,1:+,,0.936,180
37,1:+,1:+,,0.937,185
38,1:+,1:+,,0.893,190
39,1:+,1:+,,0.96,194
40,1:+,1:+,,0.964,195
41,1:+,1:+,,0.84,222
42,1:+,2:-,+,0.715,225
43,1:+,1:+,,0.925,228
44,1:+,1:+,,0.923,229
45,1:+,1:+,,0.934,237
46,1:+,1:+,,0.961,245
47,2:-,2:-,,0.968,255
48,2:-,2:-,,0.957,261
49,2:-,2:-,,0.955,263
50,1:+,2:-,+,0.722,268
51,2:-,2:-,,0.954,272
52,2:-,2:-,,0.964,274
53,2:-,2:-,,0.948,280
54,2:-,2:-,,0.977,283
55,2:-,2:-,,0.947,285
56,2:-,2:-,,0.949,287
57,2:-,2:-,,0.95,298
58,2:-,2:-,,0.849,301
59,2:-,2:-,,0.973,304
60,2:-,1:+,+,0.845,305
61,2:-,2:-,,0.971,306
62,2:-,2:-,,0.95,312
63,2:-,2:-,,0.948,316
64,1:+,2:-,+,0.952,319
65,1:+,2:-,+,0.948,322
66,2:-,2:-,,0.958,329
67,2:-,2:-,,0.948,344
68,2:-,2:-,,0.972,350
69,2:-,2:-,,0.97,362
70,2:-,2:-,,0.948,364
71,2:-,2:-,,0.954,370
72,2:-,2:-,,0.946,374
73,2:-,2:-,,0.972,388
74,2:-,2:-,,0.969,399
75,2:-,2:-,,0.95,408
76,2:-,2:-,,0.947,411
77,2:-,2:-,,0.945,417
78,2:-,2:-,,0.944,422
79,2:-,2:-,,0.971,428
80,2:-,2:-,,0.954,429
81,2:-,2:-,,0.956,430
82,2:-,2:-,,0.945,434
83,2:-,2:-,,0.95,436
84,2:-,2:-,,1,437
85,2:-,2:-,,0.953,439
86,2:-,2:-,,0.948,443
87,2:-,2:-,,0.949,445
88,2:-,2:-,,0.951,448
89,2:-,2:-,,0.952,457
90,2:-,2:-,,0.949,464
91,2:-,2:-,,0.956,465
92,2:-,2:-,,0.944,468
93,2:-,2:-,,0.957,473
94,1:+,2:-,+,0.687,494
95,1:+,1:+,,0.935,503
96,1:+,1:+,,0.968,506
97,1:+,1:+,,0.878,512
98,1:+,1:+,,1,514
99,1:+,1:+,,0.93,519
100,2:-,1:+,+,0.929,528
101,2:-,1:+,+,0.648,532
102,2:-,2:-,,0.73,538
103,2:-,1:+,+,0.969,541
104,2:-,2:-,,0.626,542
105,2:-,1:+,+,1,545
106,1:+,1:+,,0.935,547
107,1:+,1:+,,0.93,557
108,1:+,1:+,,0.927,570
109,1:+,1:+,,0.962,571
110,1:+,1:+,,0.933,574
111,1:+,2:-,+,0.744,582
112,1:+,1:+,,1,584
113,1:+,1:+,,1,589
114,1:+,1:+,,0.935,590
115,1:+,1:+,,0.929,591
116,1:+,2:-,+,0.948,593
117,1:+,1:+,,0.968,596
118,2:-,2:-,,0.958,605
119,2:-,2:-,,0.948,607
120,2:-,2:-,,0.945,615
121,1:+,1:+,,1,622
122,2:-,2:-,,0.978,626
123,2:-,2:-,,0.971,627
124,2:-,2:-,,0.947,630
125,2:-,2:-,,0.948,632
126,2:-,2:-,,0.954,633
127,2:-,2:-,,0.955,634
128,2:-,2:-,,0.972,635
129,2:-,2:-,,0.954,641
130,2:-,2:-,,1,653
131,2:-,2:-,,0.947,660
132,2:-,2:-,,0.954,665
133,2:-,2:-,,0.95,666
134,2:-,2:-,,0.951,672
135,2:-,2:-,,0.949,678
136,2:-,2:-,,0.944,680
137,2:-,2:-,,0.946,688
138,2:-,2:-,,0.965,689

