inst#,actual,predicted,error,prediction,ID
1,1:+,1:+,,0.8,8
2,1:+,1:+,,1,36
3,1:+,1:+,,0.824,38
4,1:+,1:+,,0.52,53
5,1:+,1:+,,1,59
6,2:-,2:-,,0.955,74
7,2:-,2:-,,1,96
8,2:-,1:+,+,1,97
9,2:-,1:+,+,1,103
10,2:-,1:+,+,0.824,111
11,2:-,1:+,+,0.52,112
12,2:-,1:+,+,1,115
13,1:+,1:+,,0.909,119
14,1:+,1:+,,0.909,122
15,1:+,1:+,,0.909,123
16,1:+,1:+,,1,127
17,1:+,1:+,,0.52,129
18,1:+,1:+,,1,139
19,1:+,1:+,,1,143
20,1:+,1:+,,1,146
21,1:+,1:+,,0.824,147
22,1:+,2:-,+,1,150
23,1:+,1:+,,1,151
24,1:+,1:+,,1,152
25,1:+,1:+,,1,162
26,1:+,1:+,,1,183
27,1:+,1:+,,1,186
28,1:+,1:+,,0.824,193
29,1:+,1:+,,1,197
30,1:+,1:+,,0.824,198
31,1:+,1:+,,1,202
32,1:+,1:+,,1,207
33,1:+,1:+,,0.824,219
34,1:+,1:+,,0.52,224
35,1:+,1:+,,0.52,226
36,1:+,1:+,,1,232
37,1:+,1:+,,0.52,233
38,1:+,1:+,,1,239
39,1:+,1:+,,1,246
40,1:+,1:+,,1,253
41,2:-,2:-,,0.955,254
42,2:-,2:-,,0.955,258
43,2:-,2:-,,0.955,262
44,2:-,2:-,,0.955,266
45,2:-,2:-,,0.955,267
46,2:-,1:+,+,0.52,279
47,2:-,2:-,,0.955,282
48,2:-,2:-,,0.955,293
49,2:-,2:-,,0.955,297
50,2:-,2:-,,0.955,303
51,2:-,2:-,,0.955,307
52,2:-,2:-,,0.955,309
53,1:+,2:-,+,0.955,317
54,1:+,1:+,,0.824,323
55,2:-,2:-,,0.955,324
56,2:-,2:-,,0.955,325
57,2:-,2:-,,0.955,347
58,2:-,1:+,+,1,348
59,2:-,2:-,,0.955,351
60,2:-,2:-,,0.955,358
61,2:-,2:-,,0.955,359
62,2:-,2:-,,0.955,365
63,2:-,2:-,,0.955,368
64,2:-,2:-,,0.955,371
65,2:-,2:-,,0.955,373
66,2:-,2:-,,0.955,376
67,2:-,2:-,,0.955,383
68,2:-,2:-,,0.955,384
69,2:-,2:-,,0.955,386
70,2:-,2:-,,0.955,394
71,2:-,2:-,,0.955,400
72,2:-,2:-,,0.955,402
73,2:-,2:-,,0.955,403
74,2:-,2:-,,0.955,407
75,2:-,2:-,,0.955,410
76,2:-,2:-,,0.955,414
77,2:-,2:-,,0.955,415
78,2:-,2:-,,0.667,416
79,2:-,2:-,,0.955,419
80,2:-,2:-,,0.955,421
81,2:-,2:-,,0.955,423
82,2:-,2:-,,0.955,433
83,2:-,2:-,,0.955,438
84,2:-,2:-,,0.667,440
85,2:-,2:-,,0.955,441
86,2:-,2:-,,0.955,442
87,2:-,2:-,,1,444
88,2:-,2:-,,0.955,450
89,2:-,2:-,,0.955,451
90,2:-,2:-,,0.667,456
91,2:-,2:-,,0.955,463
92,2:-,2:-,,0.955,469
93,2:-,2:-,,0.955,470
94,2:-,2:-,,0.955,472
95,2:-,2:-,,0.955,479
96,2:-,2:-,,0.955,480
97,2:-,2:-,,0.955,481
98,2:-,2:-,,0.955,483
99,2:-,2:-,,0.955,485
100,2:-,2:-,,0.667,486
101,2:-,2:-,,0.955,488
102,1:+,1:+,,1,495
103,1:+,1:+,,1,496
104,1:+,1:+,,1,505
105,1:+,1:+,,0.824,509
106,1:+,1:+,,1,516
107,1:+,1:+,,1,517
108,1:+,1:+,,0.909,521
109,2:-,1:+,+,1,523
110,2:-,1:+,+,0.8,530
111,2:-,1:+,+,0.8,531
112,2:-,1:+,+,0.5,535
113,2:-,1:+,+,0.52,543
114,2:-,1:+,+,0.824,544
115,1:+,1:+,,1,551
116,1:+,1:+,,1,558
117,1:+,1:+,,0.824,575
118,1:+,1:+,,1,577
119,1:+,1:+,,0.8,583
120,1:+,1:+,,1,597
121,1:+,2:-,+,0.667,598
122,2:-,2:-,,0.955,609
123,2:-,2:-,,0.955,610
124,2:-,2:-,,0.955,612
125,2:-,2:-,,1,619
126,2:-,2:-,,0.955,620
127,2:-,2:-,,0.955,625
128,2:-,2:-,,0.955,628
129,2:-,2:-,,0.955,636
130,2:-,2:-,,0.955,638
131,2:-,2:-,,0.955,642
132,2:-,2:-,,0.955,649
133,2:-,2:-,,0.955,654
134,2:-,2:-,,0.955,659
135,2:-,2:-,,0.955,664
136,2:-,2:-,,0.955,667
137,2:-,2:-,,0.955,679
138,2:-,2:-,,0.955,683

