inst#,actual,predicted,error,prediction,ID
1,1:+,1:+,,0.812,1
2,1:+,1:+,,0.812,4
3,1:+,2:-,+,0.962,13
4,1:+,1:+,,0.812,14
5,1:+,1:+,,0.812,20
6,1:+,1:+,,0.812,21
7,1:+,1:+,,0.812,27
8,1:+,1:+,,0.812,32
9,1:+,1:+,,0.812,34
10,1:+,1:+,,0.812,35
11,1:+,1:+,,0.812,40
12,1:+,1:+,,0.812,47
13,1:+,1:+,,0.812,52
14,1:+,2:-,+,0.962,58
15,1:+,1:+,,0.812,62
16,1:+,1:+,,0.812,64
17,2:-,1:+,+,0.812,71
18,2:-,1:+,+,0.812,80
19,2:-,1:+,+,0.812,85
20,2:-,1:+,+,0.812,87
21,2:-,1:+,+,0.812,91
22,2:-,1:+,+,0.812,95
23,2:-,1:+,+,0.812,98
24,2:-,1:+,+,0.812,99
25,2:-,1:+,+,0.812,102
26,2:-,1:+,+,0.812,105
27,2:-,1:+,+,0.812,106
28,1:+,1:+,,0.812,121
29,1:+,1:+,,0.812,128
30,1:+,1:+,,0.812,130
31,1:+,1:+,,0.812,134
32,1:+,1:+,,0.812,138
33,1:+,1:+,,0.812,156
34,1:+,1:+,,0.812,159
35,1:+,1:+,,0.812,160
36,1:+,1:+,,0.812,161
37,1:+,1:+,,0.812,166
38,1:+,1:+,,0.812,170
39,1:+,1:+,,0.812,187
40,1:+,1:+,,0.812,189
41,1:+,1:+,,0.812,191
42,1:+,1:+,,0.812,200
43,1:+,1:+,,0.812,201
44,1:+,1:+,,0.812,205
45,1:+,2:-,+,0.962,206
46,1:+,1:+,,0.812,214
47,1:+,1:+,,0.812,216
48,1:+,1:+,,0.812,217
49,1:+,1:+,,0.812,230
50,1:+,1:+,,0.812,240
51,1:+,1:+,,0.812,241
52,1:+,1:+,,0.812,242
53,1:+,1:+,,0.812,243
54,1:+,1:+,,0.812,251
55,1:+,1:+,,0.812,252
56,1:+,2:-,+,0.962,269
57,1:+,2:-,+,0.962,270
58,2:-,2:-,,0.962,273
59,2:-,2:-,,0.962,276
60,2:-,2:-,,0.962,288
61,2:-,2:-,,0.962,295
62,2:-,2:-,,0.962,308
63,2:-,2:-,,0.962,313
64,2:-,1:+,+,0.812,315
65,2:-,2:-,,0.962,330
66,2:-,2:-,,0.962,337
67,2:-,2:-,,0.962,339
68,2:-,2:-,,0.962,343
69,2:-,2:-,,0.962,345
70,2:-,2:-,,0.962,366
71,2:-,2:-,,0.962,372
72,2:-,2:-,,0.962,378
73,2:-,2:-,,0.962,379
74,2:-,2:-,,0.962,385
75,2:-,2:-,,0.962,387
76,2:-,2:-,,0.962,389
77,2:-,2:-,,0.962,391
78,2:-,2:-,,0.962,392
79,2:-,2:-,,0.962,397
80,2:-,2:-,,0.962,401
81,2:-,2:-,,0.962,406
82,2:-,2:-,,0.962,413
83,2:-,2:-,,0.962,418
84,2:-,2:-,,0.962,427
85,2:-,2:-,,0.962,435
86,2:-,2:-,,0.962,454
87,2:-,2:-,,0.962,455
88,2:-,2:-,,0.962,458
89,2:-,2:-,,0.962,459
90,2:-,2:-,,0.962,460
91,2:-,2:-,,0.962,461
92,2:-,2:-,,0.962,466
93,2:-,2:-,,0.962,471
94,2:-,2:-,,0.962,474
95,2:-,2:-,,0.962,475
96,2:-,2:-,,0.962,476
97,2:-,2:-,,0.962,484
98,2:-,2:-,,0.962,489
99,1:+,1:+,,0.812,491
100,1:+,1:+,,0.812,492
101,1:+,1:+,,0.812,498
102,1:+,1:+,,0.812,502
103,1:+,1:+,,0.812,504
104,1:+,1:+,,0.812,508
105,1:+,1:+,,0.812,510
106,1:+,1:+,,0.812,520
107,2:-,1:+,+,0.812,524
108,2:-,1:+,+,0.812,540
109,2:-,1:+,+,0.812,546
110,1:+,1:+,,0.812,553
111,1:+,1:+,,0.812,555
112,1:+,1:+,,0.812,560
113,1:+,1:+,,0.812,561
114,1:+,1:+,,0.812,562
115,1:+,1:+,,0.812,563
116,1:+,1:+,,0.812,564
117,1:+,1:+,,0.812,565
118,1:+,1:+,,0.812,566
119,1:+,1:+,,0.812,573
120,1:+,1:+,,0.812,579
121,1:+,1:+,,0.812,580
122,1:+,1:+,,0.812,585
123,1:+,1:+,,0.812,587
124,1:+,2:-,+,0.962,592
125,1:+,1:+,,0.812,600
126,2:-,2:-,,0.962,602
127,2:-,1:+,+,0.812,604
128,2:-,2:-,,0.962,613
129,2:-,2:-,,0.962,614
130,2:-,2:-,,0.962,643
131,2:-,2:-,,0.962,646
132,2:-,2:-,,0.962,648
133,2:-,2:-,,0.962,661
134,2:-,2:-,,0.962,663
135,2:-,2:-,,0.962,670
136,2:-,2:-,,0.962,673
137,2:-,2:-,,0.962,684
138,2:-,2:-,,0.962,687

