inst#,actual,predicted,error,prediction,ID
1,1:+,1:+,,0.991,1
2,1:+,1:+,,0.763,4
3,1:+,2:-,+,0.95,13
4,1:+,1:+,,0.992,14
5,1:+,1:+,,0.999,20
6,1:+,1:+,,0.503,21
7,1:+,1:+,,0.999,27
8,1:+,1:+,,0.999,32
9,1:+,1:+,,0.989,34
10,1:+,1:+,,0.993,35
11,1:+,1:+,,0.997,40
12,1:+,1:+,,0.98,47
13,1:+,1:+,,0.95,52
14,1:+,2:-,+,0.99,58
15,1:+,1:+,,0.915,62
16,1:+,1:+,,0.964,64
17,2:-,1:+,+,0.83,71
18,2:-,2:-,,0.943,80
19,2:-,2:-,,0.645,85
20,2:-,2:-,,0.653,87
21,2:-,1:+,+,0.72,91
22,2:-,2:-,,0.677,95
23,2:-,1:+,+,0.664,98
24,2:-,1:+,+,0.96,99
25,2:-,1:+,+,0.976,102
26,2:-,1:+,+,1,105
27,2:-,2:-,,0.614,106
28,1:+,1:+,,1,121
29,1:+,1:+,,0.645,128
30,1:+,1:+,,1,130
31,1:+,1:+,,0.998,134
32,1:+,1:+,,0.989,138
33,1:+,1:+,,0.911,156
34,1:+,1:+,,0.642,159
35,1:+,1:+,,0.999,160
36,1:+,1:+,,0.9,161
37,1:+,1:+,,0.914,166
38,1:+,2:-,+,0.827,170
39,1:+,1:+,,0.995,187
40,1:+,1:+,,0.973,189
41,1:+,2:-,+,0.633,191
42,1:+,1:+,,0.976,200
43,1:+,2:-,+,0.569,201
44,1:+,1:+,,1,205
45,1:+,2:-,+,0.949,206
46,1:+,1:+,,0.912,214
47,1:+,1:+,,0.995,216
48,1:+,1:+,,0.919,217
49,1:+,1:+,,1,230
50,1:+,2:-,+,0.602,240
51,1:+,1:+,,0.933,241
52,1:+,1:+,,0.913,242
53,1:+,1:+,,1,243
54,1:+,1:+,,0.971,251
55,1:+,1:+,,1,252
56,1:+,2:-,+,1,269
57,1:+,2:-,+,1,270
58,2:-,2:-,,0.995,273
59,2:-,2:-,,0.985,276
60,2:-,2:-,,0.978,288
61,2:-,2:-,,0.999,295
62,2:-,2:-,,0.993,308
63,2:-,2:-,,0.945,313
64,2:-,2:-,,0.55,315
65,2:-,2:-,,0.978,330
66,2:-,2:-,,0.998,337
67,2:-,2:-,,0.969,339
68,2:-,2:-,,0.995,343
69,2:-,1:+,+,1,345
70,2:-,2:-,,0.984,366
71,2:-,2:-,,0.996,372
72,2:-,2:-,,0.988,378
73,2:-,2:-,,0.999,379
74,2:-,2:-,,0.991,385
75,2:-,2:-,,0.984,387
76,2:-,2:-,,0.978,389
77,2:-,2:-,,0.998,391
78,2:-,2:-,,0.999,392
79,2:-,2:-,,1,397
80,2:-,2:-,,0.974,401
81,2:-,2:-,,0.988,406
82,2:-,2:-,,0.999,413
83,2:-,2:-,,0.931,418
84,2:-,2:-,,0.93,427
85,2:-,2:-,,0.999,435
86,2:-,2:-,,0.956,454
87,2:-,2:-,,0.908,455
88,2:-,2:-,,0.992,458
89,2:-,2:-,,0.991,459
90,2:-,2:-,,0.989,460
91,2:-,2:-,,0.753,461
92,2:-,2:-,,0.935,466
93,2:-,2:-,,0.996,471
94,2:-,2:-,,0.951,474
95,2:-,2:-,,0.959,475
96,2:-,2:-,,0.993,476
97,2:-,2:-,,0.982,484
98,2:-,2:-,,0.964,489
99,1:+,1:+,,0.959,491
100,1:+,1:+,,1,492
101,1:+,1:+,,0.932,498
102,1:+,2:-,+,0.955,502
103,1:+,1:+,,0.742,504
104,1:+,1:+,,0.833,508
105,1:+,1:+,,0.904,510
106,1:+,1:+,,0.835,520
107,2:-,1:+,+,0.792,524
108,2:-,1:+,+,0.827,540
109,2:-,1:+,+,0.954,546
110,1:+,1:+,,0.999,553
111,1:+,1:+,,0.97,555
112,1:+,1:+,,0.99,560
113,1:+,1:+,,0.992,561
114,1:+,1:+,,0.673,562
115,1:+,1:+,,0.881,563
116,1:+,1:+,,0.93,564
117,1:+,1:+,,0.626,565
118,1:+,1:+,,0.995,566
119,1:+,1:+,,0.686,573
120,1:+,1:+,,0.965,579
121,1:+,1:+,,0.997,580
122,1:+,2:-,+,0.982,585
123,1:+,1:+,,0.991,587
124,1:+,2:-,+,0.96,592
125,1:+,1:+,,0.888,600
126,2:-,2:-,,0.995,602
127,2:-,1:+,+,0.763,604
128,2:-,2:-,,0.96,613
129,2:-,2:-,,0.977,614
130,2:-,2:-,,0.986,643
131,2:-,2:-,,0.95,646
132,2:-,2:-,,0.987,648
133,2:-,2:-,,0.976,661
134,2:-,2:-,,0.968,663
135,2:-,2:-,,0.974,670
136,2:-,2:-,,0.976,673
137,2:-,2:-,,0.994,684
138,2:-,2:-,,1,687

