inst#,actual,predicted,error,prediction,ID
1,2:bad,2:bad,,0.696,10
2,1:good,1:good,,0.867,23
3,1:good,1:good,,0.667,25
4,1:good,1:good,,0.811,30
5,1:good,1:good,,0.777,39
6,2:bad,2:bad,,0.582,44
7,2:bad,1:good,+,0.528,54
8,1:good,1:good,,0.628,55
9,2:bad,1:good,+,0.552,59
10,1:good,1:good,,0.761,60
11,2:bad,2:bad,,0.644,63
12,1:good,1:good,,0.885,66
13,1:good,1:good,,0.614,67
14,1:good,1:good,,0.627,70
15,1:good,1:good,,0.712,72
16,2:bad,1:good,+,0.517,76
17,1:good,1:good,,0.672,78
18,1:good,1:good,,0.708,86
19,1:good,1:good,,0.505,88
20,1:good,1:good,,0.905,96
21,1:good,1:good,,0.59,101
22,1:good,1:good,,0.718,107
23,1:good,1:good,,0.731,110
24,2:bad,2:bad,,0.605,120
25,1:good,1:good,,0.843,136
26,2:bad,1:good,+,0.921,137
27,1:good,1:good,,0.795,139
28,1:good,1:good,,0.647,158
29,1:good,1:good,,0.723,168
30,2:bad,2:bad,,0.679,174
31,2:bad,1:good,+,0.556,184
32,1:good,1:good,,0.763,198
33,2:bad,1:good,+,0.573,199
34,1:good,1:good,,0.565,208
35,1:good,1:good,,0.955,209
36,1:good,1:good,,0.953,210
37,2:bad,1:good,+,0.775,213
38,1:good,1:good,,0.843,215
39,1:good,2:bad,+,0.557,218
40,1:good,2:bad,+,0.642,221
41,2:bad,2:bad,,0.504,235
42,2:bad,1:good,+,0.641,237
43,1:good,1:good,,0.875,244
44,1:good,1:good,,0.55,247
45,1:good,1:good,,0.619,254
46,1:good,1:good,,0.945,256
47,1:good,1:good,,0.856,259
48,1:good,1:good,,0.808,260
49,1:good,1:good,,0.591,261
50,2:bad,1:good,+,0.835,265
51,1:good,1:good,,0.949,275
52,1:good,1:good,,0.654,277
53,1:good,1:good,,0.886,280
54,1:good,1:good,,0.915,281
55,2:bad,2:bad,,0.578,289
56,1:good,1:good,,0.755,292
57,1:good,1:good,,0.653,294
58,1:good,1:good,,0.832,296
59,1:good,1:good,,0.825,298
60,1:good,1:good,,0.811,299
61,2:bad,2:bad,,0.536,307
62,1:good,2:bad,+,0.58,309
63,1:good,1:good,,0.59,310
64,1:good,1:good,,0.806,312
65,1:good,1:good,,0.744,314
66,1:good,1:good,,0.672,318
67,1:good,1:good,,0.615,319
68,2:bad,1:good,+,0.518,321
69,1:good,1:good,,0.882,327
70,1:good,1:good,,0.628,328
71,2:bad,2:bad,,0.687,332
72,1:good,1:good,,0.614,346
73,2:bad,1:good,+,0.517,351
74,2:bad,1:good,+,0.514,355
75,1:good,1:good,,0.818,361
76,1:good,1:good,,0.751,363
77,1:good,1:good,,0.905,365
78,1:good,1:good,,0.772,370
79,1:good,1:good,,0.972,371
80,1:good,1:good,,0.838,377
81,1:good,1:good,,0.698,382
82,1:good,1:good,,0.853,408
83,1:good,1:good,,0.972,411
84,1:good,1:good,,0.573,425
85,2:bad,1:good,+,0.786,429
86,1:good,1:good,,0.796,432
87,1:good,1:good,,0.763,436
88,2:bad,1:good,+,0.768,439
