inst#,actual,predicted,error,prediction,ID
1,1:good,1:good,,0.976,0
2,1:good,1:good,,0.961,2
3,1:good,2:bad,+,0.724,3
4,1:good,1:good,,0.601,5
5,1:good,1:good,,0.961,6
6,1:good,2:bad,+,0.5,7
7,2:bad,1:good,+,0.728,9
8,1:good,1:good,,0.87,28
9,2:bad,2:bad,,0.746,29
10,1:good,2:bad,+,0.599,31
11,1:good,1:good,,0.95,33
12,1:good,1:good,,0.861,41
13,1:good,1:good,,0.89,49
14,2:bad,1:good,+,0.829,56
15,1:good,1:good,,0.977,65
16,1:good,1:good,,0.894,69
17,1:good,2:bad,+,0.538,73
18,1:good,1:good,,0.8,77
19,1:good,2:bad,+,0.503,79
20,1:good,1:good,,0.973,81
21,1:good,1:good,,0.719,82
22,1:good,1:good,,0.782,84
23,1:good,1:good,,0.985,90
24,1:good,1:good,,0.57,97
25,1:good,1:good,,0.847,108
26,1:good,1:good,,0.911,109
27,2:bad,1:good,+,0.826,118
28,1:good,1:good,,0.65,125
29,2:bad,2:bad,,0.83,131
30,1:good,1:good,,0.708,132
31,1:good,1:good,,0.527,133
32,1:good,1:good,,0.995,135
33,1:good,1:good,,0.933,140
34,1:good,2:bad,+,0.81,141
35,1:good,1:good,,0.92,144
36,1:good,2:bad,+,0.789,145
37,1:good,1:good,,0.578,148
38,2:bad,2:bad,,0.69,155
39,1:good,1:good,,0.855,164
40,1:good,1:good,,0.964,165
41,2:bad,1:good,+,0.871,169
42,2:bad,1:good,+,0.604,172
43,1:good,1:good,,0.95,173
44,2:bad,2:bad,,0.701,181
45,1:good,1:good,,0.966,185
46,2:bad,1:good,+,0.621,192
47,1:good,1:good,,0.949,193
48,1:good,1:good,,0.969,196
49,1:good,1:good,,0.968,204
50,1:good,1:good,,0.963,211
51,2:bad,2:bad,,0.793,212
52,1:good,1:good,,0.718,220
53,2:bad,2:bad,,0.681,227
54,2:bad,1:good,+,0.946,228
55,1:good,1:good,,0.829,231
56,1:good,1:good,,0.985,234
57,1:good,1:good,,0.953,238
58,1:good,1:good,,0.79,239
59,2:bad,1:good,+,0.804,249
60,1:good,1:good,,0.942,250
61,1:good,1:good,,0.97,266
62,2:bad,2:bad,,0.74,274
63,1:good,1:good,,0.568,286
64,1:good,1:good,,0.977,290
65,2:bad,2:bad,,0.588,291
66,1:good,1:good,,0.813,300
67,2:bad,1:good,+,0.962,302
68,1:good,1:good,,0.97,305
69,1:good,1:good,,0.959,306
70,1:good,1:good,,0.846,311
71,1:good,1:good,,0.62,316
72,1:good,1:good,,0.789,323
73,1:good,1:good,,0.984,326
74,2:bad,1:good,+,0.936,331
75,2:bad,1:good,+,0.82,333
76,2:bad,2:bad,,0.908,334
77,1:good,1:good,,0.801,342
78,1:good,1:good,,0.717,344
79,1:good,1:good,,0.852,350
80,1:good,1:good,,0.991,352
81,2:bad,1:good,+,0.854,357
82,2:bad,1:good,+,0.516,359
83,1:good,1:good,,0.675,362
84,1:good,1:good,,0.869,380
85,2:bad,2:bad,,0.505,381
86,1:good,1:good,,0.804,388
87,1:good,1:good,,0.942,394
88,2:bad,1:good,+,0.52,398
89,1:good,1:good,,0.852,404
90,2:bad,1:good,+,0.691,405
91,1:good,1:good,,0.926,420
92,1:good,1:good,,0.863,422
93,1:good,1:good,,0.956,423
