inst#,actual,predicted,error,prediction,ID
1,1:good,1:good,,0.986,0
2,1:good,1:good,,0.98,2
3,1:good,2:bad,+,0.658,3
4,1:good,1:good,,0.691,5
5,1:good,1:good,,0.982,6
6,1:good,1:good,,0.534,7
7,2:bad,1:good,+,0.776,9
8,1:good,1:good,,0.932,28
9,2:bad,2:bad,,0.682,29
10,1:good,2:bad,+,0.552,31
11,1:good,1:good,,0.972,33
12,1:good,1:good,,0.945,41
13,1:good,1:good,,0.921,49
14,2:bad,1:good,+,0.837,56
15,1:good,1:good,,0.985,65
16,1:good,1:good,,0.941,69
17,1:good,1:good,,0.641,73
18,1:good,1:good,,0.862,77
19,1:good,1:good,,0.584,79
20,1:good,1:good,,0.988,81
21,1:good,1:good,,0.803,82
22,1:good,1:good,,0.823,84
23,1:good,1:good,,0.992,90
24,1:good,1:good,,0.68,97
25,1:good,1:good,,0.848,108
26,1:good,1:good,,0.972,109
27,2:bad,1:good,+,0.913,118
28,1:good,1:good,,0.729,125
29,2:bad,2:bad,,0.795,131
30,1:good,1:good,,0.776,132
31,1:good,1:good,,0.594,133
32,1:good,1:good,,0.998,135
33,1:good,1:good,,0.949,140
34,1:good,2:bad,+,0.809,141
35,1:good,1:good,,0.947,144
36,1:good,2:bad,+,0.714,145
37,1:good,1:good,,0.71,148
38,2:bad,2:bad,,0.674,155
39,1:good,1:good,,0.932,164
40,1:good,1:good,,0.988,165
41,2:bad,1:good,+,0.931,169
42,2:bad,1:good,+,0.577,172
43,1:good,1:good,,0.971,173
44,2:bad,2:bad,,0.548,181
45,1:good,1:good,,0.983,185
46,2:bad,1:good,+,0.746,192
47,1:good,1:good,,0.978,193
48,1:good,1:good,,0.984,196
49,1:good,1:good,,0.982,204
50,1:good,1:good,,0.979,211
51,2:bad,2:bad,,0.775,212
52,1:good,1:good,,0.847,220
53,2:bad,2:bad,,0.741,227
54,2:bad,1:good,+,0.969,228
55,1:good,1:good,,0.9,231
56,1:good,1:good,,0.994,234
57,1:good,1:good,,0.973,238
58,1:good,1:good,,0.832,239
59,2:bad,1:good,+,0.824,249
60,1:good,1:good,,0.959,250
61,1:good,1:good,,0.988,266
62,2:bad,2:bad,,0.95,274
63,1:good,1:good,,0.61,286
64,1:good,1:good,,0.991,290
65,2:bad,2:bad,,0.538,291
66,1:good,1:good,,0.838,300
67,2:bad,1:good,+,0.984,302
68,1:good,1:good,,0.982,305
69,1:good,1:good,,0.969,306
70,1:good,1:good,,0.892,311
71,1:good,1:good,,0.707,316
72,1:good,1:good,,0.81,323
73,1:good,1:good,,0.991,326
74,2:bad,1:good,+,0.961,331
75,2:bad,2:bad,,0.523,333
76,2:bad,2:bad,,0.922,334
77,1:good,1:good,,0.922,342
78,1:good,1:good,,0.814,344
79,1:good,1:good,,0.888,350
80,1:good,1:good,,0.993,352
81,2:bad,1:good,+,0.914,357
82,2:bad,1:good,+,0.566,359
83,1:good,1:good,,0.767,362
84,1:good,1:good,,0.909,380
85,2:bad,2:bad,,0.923,381
86,1:good,1:good,,0.932,388
87,1:good,1:good,,0.954,394
88,2:bad,1:good,+,0.583,398
89,1:good,1:good,,0.888,404
90,2:bad,1:good,+,0.785,405
91,1:good,1:good,,0.941,420
92,1:good,1:good,,0.921,422
93,1:good,1:good,,0.973,423
94,2:bad,1:good,+,0.797,424
95,1:good,1:good,,0.934,428
96,1:good,1:good,,0.968,430
97,1:good,1:good,,0.923,440
98,1:good,1:good,,0.547,442
99,1:good,1:good,,0.967,448
100,2:bad,1:good,+,0.861,449
101,1:good,1:good,,0.942,450
102,1:good,1:good,,0.976,453
103,1:good,1:good,,0.941,464
