inst#,actual,predicted,error,prediction,ID
1,1:good,1:good,,0.991,0
2,1:good,1:good,,0.983,2
3,1:good,2:bad,+,0.869,3
4,1:good,2:bad,+,0.705,5
5,1:good,1:good,,0.974,6
6,1:good,2:bad,+,0.557,7
7,2:bad,1:good,+,0.612,9
8,1:good,1:good,,0.925,28
9,2:bad,2:bad,,0.949,29
10,1:good,2:bad,+,0.558,31
11,1:good,1:good,,0.973,33
12,1:good,1:good,,0.9,41
13,1:good,1:good,,0.916,49
14,2:bad,1:good,+,0.852,56
15,1:good,1:good,,0.985,65
16,1:good,1:good,,0.918,69
17,1:good,2:bad,+,0.518,73
18,1:good,1:good,,0.901,77
19,1:good,2:bad,+,0.514,79
20,1:good,1:good,,0.982,81
21,1:good,1:good,,0.77,82
22,1:good,1:good,,0.896,84
23,1:good,1:good,,0.992,90
24,1:good,1:good,,0.661,97
25,1:good,1:good,,0.704,108
26,1:good,1:good,,0.964,109
27,2:bad,1:good,+,0.828,118
28,1:good,1:good,,0.77,125
29,2:bad,2:bad,,0.888,131
30,1:good,1:good,,0.842,132
31,1:good,1:good,,0.705,133
32,1:good,1:good,,0.997,135
33,1:good,1:good,,0.961,140
34,1:good,2:bad,+,0.77,141
35,1:good,1:good,,0.921,144
36,1:good,2:bad,+,0.862,145
37,1:good,1:good,,0.666,148
38,2:bad,2:bad,,0.569,155
39,1:good,1:good,,0.899,164
40,1:good,1:good,,0.986,165
41,2:bad,1:good,+,0.891,169
42,2:bad,1:good,+,0.625,172
43,1:good,1:good,,0.964,173
44,2:bad,2:bad,,0.529,181
45,1:good,1:good,,0.979,185
46,2:bad,1:good,+,0.569,192
47,1:good,1:good,,0.973,193
48,1:good,1:good,,0.989,196
49,1:good,1:good,,0.98,204
50,1:good,1:good,,0.982,211
51,2:bad,2:bad,,0.733,212
52,1:good,1:good,,0.761,220
53,2:bad,2:bad,,0.802,227
54,2:bad,1:good,+,0.955,228
55,1:good,1:good,,0.929,231
56,1:good,1:good,,0.996,234
57,1:good,1:good,,0.974,238
58,1:good,1:good,,0.854,239
59,2:bad,1:good,+,0.807,249
60,1:good,1:good,,0.968,250
61,1:good,1:good,,0.966,266
62,2:bad,2:bad,,0.99,274
63,1:good,2:bad,+,0.692,286
64,1:good,1:good,,0.985,290
65,2:bad,2:bad,,0.836,291
66,1:good,1:good,,0.944,300
67,2:bad,1:good,+,0.962,302
68,1:good,1:good,,0.977,305
69,1:good,1:good,,0.928,306
70,1:good,1:good,,0.756,311
71,1:good,1:good,,0.757,316
72,1:good,1:good,,0.812,323
73,1:good,1:good,,0.988,326
74,2:bad,1:good,+,0.956,331
75,2:bad,2:bad,,0.922,333
76,2:bad,2:bad,,0.91,334
77,1:good,1:good,,0.897,342
78,1:good,1:good,,0.857,344
79,1:good,1:good,,0.929,350
80,1:good,1:good,,0.993,352
81,2:bad,1:good,+,0.887,357
82,2:bad,2:bad,,0.578,359
83,1:good,1:good,,0.831,362
84,1:good,1:good,,0.888,380
85,2:bad,2:bad,,0.991,381
86,1:good,1:good,,0.884,388
87,1:good,1:good,,0.968,394
88,2:bad,1:good,+,0.812,398
89,1:good,1:good,,0.871,404
90,2:bad,1:good,+,0.801,405
91,1:good,1:good,,0.942,420
