inst#,actual,predicted,error,prediction,ID
1,1:good,1:good,,0.92,0
2,1:good,1:good,,0.981,2
3,1:good,2:bad,+,0.923,3
4,1:good,1:good,,0.846,5
5,1:good,1:good,,1,6
6,1:good,1:good,,0.889,7
7,2:bad,2:bad,,1,9
8,1:good,1:good,,0.893,28
9,2:bad,2:bad,,0.923,29
10,1:good,2:bad,+,0.714,31
11,1:good,1:good,,0.981,33
12,1:good,2:bad,+,0.727,41
13,1:good,1:good,,0.988,49
14,2:bad,1:good,+,0.92,56
15,1:good,1:good,,0.92,65
16,1:good,1:good,,0.988,69
17,1:good,1:good,,0.846,73
18,1:good,1:good,,1,77
19,1:good,1:good,,1,79
20,1:good,1:good,,1,81
21,1:good,1:good,,0.714,82
22,1:good,1:good,,1,84
23,1:good,1:good,,0.988,90
24,1:good,1:good,,0.714,97
25,1:good,1:good,,0.9,108
26,1:good,1:good,,0.714,109
27,2:bad,2:bad,,0.789,118
28,1:good,1:good,,1,125
29,2:bad,2:bad,,0.923,131
30,1:good,2:bad,+,0.846,132
31,1:good,1:good,,1,133
32,1:good,1:good,,0.988,135
33,1:good,1:good,,0.9,140
34,1:good,1:good,,1,141
35,1:good,1:good,,0.981,144
36,1:good,2:bad,+,1,145
37,1:good,2:bad,+,0.923,148
38,2:bad,2:bad,,0.789,155
39,1:good,1:good,,0.889,164
40,1:good,1:good,,1,165
41,2:bad,1:good,+,0.714,169
42,2:bad,2:bad,,1,172
43,1:good,1:good,,0.9,173
44,2:bad,2:bad,,0.778,181
45,1:good,1:good,,0.988,185
46,2:bad,1:good,+,0.692,192
47,1:good,1:good,,0.988,193
48,1:good,1:good,,0.988,196
49,1:good,1:good,,0.981,204
50,1:good,1:good,,0.988,211
51,2:bad,1:good,+,1,212
52,1:good,1:good,,0.893,220
53,2:bad,2:bad,,0.923,227
54,2:bad,1:good,+,0.988,228
55,1:good,2:bad,+,0.8,231
56,1:good,1:good,,0.988,234
57,1:good,1:good,,0.988,238
58,1:good,1:good,,0.893,239
59,2:bad,1:good,+,0.988,249
60,1:good,1:good,,0.864,250
61,1:good,1:good,,0.714,266
62,2:bad,2:bad,,0.846,274
63,1:good,2:bad,+,0.923,286
64,1:good,1:good,,0.9,290
65,2:bad,2:bad,,1,291
66,1:good,1:good,,1,300
67,2:bad,1:good,+,0.692,302
68,1:good,1:good,,0.8,305
69,1:good,1:good,,0.967,306
70,1:good,1:good,,1,311
71,1:good,1:good,,0.893,316
72,1:good,1:good,,0.8,323
73,1:good,1:good,,0.981,326
74,2:bad,1:good,+,0.981,331
75,2:bad,1:good,+,0.967,333
76,2:bad,2:bad,,1,334
77,1:good,2:bad,+,1,342
78,1:good,1:good,,0.893,344
79,1:good,1:good,,0.857,350
80,1:good,1:good,,0.981,352
81,2:bad,1:good,+,0.988,357
82,2:bad,1:good,+,0.75,359
83,1:good,2:bad,+,0.778,362
84,1:good,1:good,,0.92,380
85,2:bad,2:bad,,0.923,381
86,1:good,1:good,,0.714,388
87,1:good,1:good,,0.981,394
88,2:bad,1:good,+,1,398
89,1:good,1:good,,0.889,404
90,2:bad,1:good,+,1,405
91,1:good,1:good,,0.9,420
92,1:good,1:good,,0.846,422
93,1:good,1:good,,0.9,423
94,2:bad,1:good,+,0.92,424
95,1:good,1:good,,1,428
96,1:good,1:good,,0.9,430
97,1:good,1:good,,1,440
98,1:good,2:bad,+,0.778,442
99,1:good,1:good,,0.92,448
100,2:bad,1:good,+,0.8,449
101,1:good,1:good,,0.967,450
102,1:good,1:good,,0.967,453
103,1:good,1:good,,0.9,464
104,1:good,1:good,,0.893,465
105,1:good,2:bad,+,0.778,468
106,1:good,2:bad,+,0.727,477
107,1:good,1:good,,0.714,478
108,1:good,1:good,,1,481
109,1:good,1:good,,0.8,482
110,2:bad,2:bad,,0.778,485
111,1:good,1:good,,0.988,490
112,2:bad,2:bad,,0.714,495
113,2:bad,1:good,+,1,500
114,1:good,2:bad,+,0.923,501
115,1:good,1:good,,1,506
116,1:good,1:good,,1,514
117,1:good,1:good,,0.988,519
118,1:good,1:good,,0.967,523
119,1:good,1:good,,1,530
120,1:good,1:good,,0.967,532
121,2:bad,1:good,+,0.857,535
122,1:good,1:good,,0.92,536
123,1:good,2:bad,+,1,541
124,1:good,1:good,,0.981,544
125,1:good,1:good,,0.9,547
126,2:bad,2:bad,,0.923,552
127,2:bad,1:good,+,0.92,557
128,1:good,1:good,,0.988,567
129,1:good,1:good,,0.9,575
130,1:good,1:good,,1,576
131,2:bad,1:good,+,0.893,580
132,1:good,1:good,,0.846,581
133,1:good,1:good,,0.893,587
134,2:bad,1:good,+,0.786,588
135,2:bad,1:good,+,0.92,594
136,2:bad,2:bad,,1,596
137,2:bad,2:bad,,0.789,603
138,1:good,1:good,,1,628
139,1:good,1:good,,0.846,629
140,2:bad,2:bad,,0.909,631
141,1:good,1:good,,1,655
142,1:good,1:good,,0.864,664
143,1:good,1:good,,0.967,695
144,1:good,1:good,,0.9,696
145,1:good,2:bad,+,0.778,703
146,1:good,1:good,,1,705
147,2:bad,1:good,+,1,706
148,2:bad,2:bad,,1,707
149,1:good,1:good,,1,708
150,2:bad,2:bad,,1,711
151,1:good,1:good,,0.988,717
152,2:bad,2:bad,,1,722
153,2:bad,2:bad,,1,728
154,2:bad,1:good,+,0.846,731
155,1:good,1:good,,0.981,734
156,1:good,2:bad,+,0.846,745
157,2:bad,1:good,+,0.92,757
158,1:good,1:good,,1,773
159,1:good,1:good,,1,774
160,1:good,1:good,,0.893,777
161,1:good,1:good,,0.967,778
162,2:bad,2:bad,,0.846,783
