inst#,actual,predicted,error,prediction,ID
1,1:good,1:good,,0.983,0
2,1:good,1:good,,0.953,2
3,1:good,1:good,,0.536,3
4,1:good,1:good,,0.736,5
5,1:good,1:good,,0.922,6
6,1:good,1:good,,0.729,7
7,2:bad,2:bad,,0.528,9
8,1:good,1:good,,0.887,28
9,2:bad,2:bad,,0.672,29
10,1:good,2:bad,+,0.599,31
11,1:good,1:good,,0.97,33
12,1:good,1:good,,0.841,41
13,1:good,1:good,,0.831,49
14,2:bad,1:good,+,0.947,56
15,1:good,1:good,,0.882,65
16,1:good,1:good,,0.816,69
17,1:good,1:good,,0.579,73
18,1:good,1:good,,0.868,77
19,1:good,2:bad,+,0.569,79
20,1:good,1:good,,0.938,81
21,1:good,1:good,,0.758,82
22,1:good,1:good,,0.815,84
23,1:good,1:good,,0.974,90
24,1:good,1:good,,0.593,97
25,1:good,1:good,,0.876,108
26,1:good,1:good,,0.962,109
27,2:bad,1:good,+,0.754,118
28,1:good,2:bad,+,0.535,125
29,2:bad,2:bad,,0.846,131
30,1:good,1:good,,0.745,132
31,1:good,1:good,,0.581,133
32,1:good,1:good,,0.99,135
33,1:good,1:good,,0.94,140
34,1:good,2:bad,+,0.781,141
35,1:good,1:good,,0.854,144
36,1:good,2:bad,+,0.682,145
37,1:good,1:good,,0.667,148
38,2:bad,2:bad,,0.528,155
39,1:good,1:good,,0.714,164
40,1:good,1:good,,0.982,165
41,2:bad,1:good,+,0.81,169
42,2:bad,1:good,+,0.745,172
43,1:good,1:good,,0.92,173
44,2:bad,1:good,+,0.542,181
45,1:good,1:good,,0.906,185
46,2:bad,2:bad,,0.593,192
47,1:good,1:good,,0.961,193
48,1:good,1:good,,0.98,196
49,1:good,1:good,,0.865,204
50,1:good,1:good,,0.972,211
51,2:bad,1:good,+,0.548,212
52,1:good,1:good,,0.705,220
53,2:bad,1:good,+,0.552,227
54,2:bad,1:good,+,0.911,228
55,1:good,1:good,,0.91,231
56,1:good,1:good,,0.981,234
57,1:good,1:good,,0.873,238
58,1:good,1:good,,0.775,239
59,2:bad,1:good,+,0.841,249
60,1:good,1:good,,0.945,250
61,1:good,1:good,,0.956,266
62,2:bad,2:bad,,0.655,274
63,1:good,2:bad,+,0.621,286
64,1:good,1:good,,0.981,290
65,2:bad,1:good,+,0.718,291
66,1:good,1:good,,0.945,300
67,2:bad,1:good,+,0.881,302
68,1:good,1:good,,0.946,305
69,1:good,1:good,,0.937,306
70,1:good,1:good,,0.666,311
71,1:good,1:good,,0.753,316
72,1:good,1:good,,0.683,323
73,1:good,1:good,,0.991,326
74,2:bad,1:good,+,0.84,331
75,2:bad,1:good,+,0.755,333
76,2:bad,2:bad,,0.897,334
77,1:good,1:good,,0.838,342
78,1:good,1:good,,0.817,344
79,1:good,1:good,,0.859,350
80,1:good,1:good,,0.997,352
81,2:bad,1:good,+,0.804,357
82,2:bad,2:bad,,0.647,359
83,1:good,1:good,,0.719,362
84,1:good,1:good,,0.894,380
85,2:bad,1:good,+,0.705,381
86,1:good,1:good,,0.859,388
87,1:good,1:good,,0.979,394
88,2:bad,1:good,+,0.645,398
89,1:good,1:good,,0.665,404
90,2:bad,1:good,+,0.766,405
91,1:good,1:good,,0.881,420
92,1:good,1:good,,0.832,422
93,1:good,1:good,,0.947,423
94,2:bad,1:good,+,0.894,424
95,1:good,1:good,,0.953,428
96,1:good,1:good,,0.983,430
97,1:good,1:good,,0.848,440
98,1:good,1:good,,0.696,442
99,1:good,1:good,,0.977,448
100,2:bad,1:good,+,0.793,449
101,1:good,1:good,,0.976,450
102,1:good,1:good,,0.953,453
103,1:good,1:good,,0.858,464
104,1:good,1:good,,0.761,465
105,1:good,1:good,,0.849,468
106,1:good,1:good,,0.657,477
107,1:good,1:good,,0.887,478
108,1:good,2:bad,+,0.791,481
109,1:good,1:good,,0.584,482
110,2:bad,1:good,+,0.775,485
111,1:good,1:good,,0.955,490
112,2:bad,1:good,+,0.797,495
113,2:bad,2:bad,,0.891,500
114,1:good,1:good,,0.552,501
115,1:good,1:good,,0.993,506
116,1:good,1:good,,0.801,514
117,1:good,1:good,,0.981,519
118,1:good,1:good,,0.946,523
119,1:good,2:bad,+,0.751,530
120,1:good,1:good,,0.957,532
121,2:bad,1:good,+,0.704,535
