inst#,actual,predicted,error,prediction,ID
1,2:bad,2:bad,,0.84,11
2,1:good,1:good,,0.779,12
3,2:bad,1:good,+,0.557,15
4,2:bad,2:bad,,0.553,18
5,1:good,1:good,,0.944,19
6,1:good,1:good,,0.919,22
7,1:good,1:good,,0.995,24
8,1:good,1:good,,0.819,38
9,1:good,1:good,,0.693,42
10,1:good,1:good,,0.904,43
11,1:good,1:good,,0.888,46
12,1:good,1:good,,0.652,50
13,1:good,1:good,,0.894,51
14,1:good,1:good,,0.658,57
15,1:good,1:good,,0.98,61
16,2:bad,2:bad,,0.594,68
17,2:bad,2:bad,,0.627,74
18,1:good,1:good,,0.912,75
19,1:good,1:good,,0.919,83
20,2:bad,1:good,+,0.512,89
21,2:bad,1:good,+,0.984,92
22,1:good,1:good,,0.591,93
23,1:good,1:good,,0.906,94
24,1:good,1:good,,0.812,100
25,1:good,1:good,,0.983,104
26,2:bad,2:bad,,0.55,113
27,1:good,1:good,,0.751,114
28,2:bad,1:good,+,0.643,116
29,1:good,1:good,,0.861,117
30,2:bad,1:good,+,0.553,124
31,1:good,1:good,,0.666,126
32,1:good,1:good,,0.52,142
33,1:good,1:good,,0.992,149
34,1:good,1:good,,0.893,153
35,1:good,1:good,,0.749,154
36,1:good,2:bad,+,0.686,163
37,1:good,1:good,,0.842,167
38,2:bad,1:good,+,0.674,175
39,1:good,2:bad,+,0.544,176
40,1:good,1:good,,0.899,177
41,1:good,1:good,,0.955,178
42,1:good,1:good,,0.655,179
43,2:bad,2:bad,,0.764,182
44,2:bad,1:good,+,0.794,188
45,2:bad,1:good,+,0.85,195
46,2:bad,1:good,+,1,203
47,1:good,1:good,,0.847,222
48,1:good,1:good,,0.961,223
49,2:bad,1:good,+,0.732,236
50,1:good,1:good,,0.967,245
51,1:good,1:good,,0.828,248
52,2:bad,2:bad,,0.942,257
53,1:good,1:good,,0.868,263
54,1:good,1:good,,0.992,264
55,2:bad,1:good,+,0.689,268
56,1:good,1:good,,0.98,271
57,1:good,2:bad,+,0.989,272
58,2:bad,1:good,+,0.904,278
59,1:good,2:bad,+,0.552,284
60,1:good,2:bad,+,0.852,285
61,1:good,1:good,,0.561,287
62,2:bad,2:bad,,0.504,304
63,2:bad,2:bad,,0.603,320
64,1:good,1:good,,0.865,324
65,1:good,1:good,,0.78,329
66,2:bad,1:good,+,0.779,335
67,1:good,1:good,,0.885,336
68,1:good,2:bad,+,0.671,338
69,1:good,2:bad,+,0.637,340
70,1:good,1:good,,0.695,341
71,2:bad,1:good,+,0.91,349
72,2:bad,2:bad,,0.826,353
73,1:good,1:good,,0.886,354
74,1:good,1:good,,0.991,356
75,1:good,1:good,,0.567,360
76,1:good,2:bad,+,0.643,367
77,2:bad,2:bad,,0.653,368
78,1:good,1:good,,0.695,369
79,2:bad,2:bad,,0.824,375
80,1:good,1:good,,0.697,383
81,1:good,1:good,,0.889,390
82,1:good,1:good,,0.943,393
83,1:good,2:bad,+,0.863,395
84,1:good,2:bad,+,0.601,396
85,1:good,1:good,,0.989,399
86,1:good,1:good,,0.767,407
87,2:bad,1:good,+,0.952,409
88,2:bad,1:good,+,0.949,412
89,2:bad,2:bad,,0.533,416
90,1:good,2:bad,+,0.662,417
91,1:good,1:good,,0.927,426
92,2:bad,2:bad,,0.66,431
93,1:good,1:good,,0.842,433
94,1:good,1:good,,0.595,434
95,2:bad,1:good,+,0.862,443
96,2:bad,1:good,+,0.583,444
97,2:bad,2:bad,,0.831,446
98,1:good,1:good,,0.908,447
99,1:good,1:good,,0.563,456
100,2:bad,1:good,+,0.795,457
101,1:good,1:good,,0.772,467
102,2:bad,2:bad,,0.53,470
103,1:good,1:good,,1,473
104,1:good,1:good,,0.988,483
105,1:good,2:bad,+,0.584,487
106,1:good,1:good,,0.967,497
107,2:bad,2:bad,,0.739,507
108,1:good,1:good,,0.949,512
109,1:good,1:good,,0.953,516
110,1:good,1:good,,0.702,518
111,1:good,1:good,,0.674,525
112,2:bad,2:bad,,0.585,531
113,1:good,1:good,,0.955,533
114,1:good,1:good,,0.784,537
115,2:bad,2:bad,,0.95,538
116,1:good,1:good,,0.771,539
117,2:bad,2:bad,,0.618,545
118,1:good,1:good,,0.88,551
119,2:bad,2:bad,,0.85,558
120,1:good,1:good,,0.769,568
121,2:bad,2:bad,,0.822,569
122,1:good,1:good,,0.969,572
