inst#,actual,predicted,error,prediction,ID
1,1:good,1:good,,0.996,8
2,1:good,1:good,,0.996,16
3,1:good,2:bad,+,0.897,17
4,1:good,1:good,,0.835,26
5,1:good,2:bad,+,0.827,36
6,2:bad,1:good,+,0.842,37
7,1:good,1:good,,0.92,45
8,1:good,1:good,,0.924,48
9,1:good,1:good,,0.991,53
10,1:good,1:good,,0.879,103
11,1:good,2:bad,+,0.583,111
12,1:good,2:bad,+,0.522,112
13,1:good,1:good,,0.966,115
14,1:good,1:good,,0.912,119
15,1:good,1:good,,0.921,122
16,1:good,1:good,,0.911,123
17,2:bad,1:good,+,0.641,127
18,2:bad,1:good,+,0.702,129
19,2:bad,1:good,+,0.67,143
20,1:good,1:good,,0.757,146
21,1:good,1:good,,0.987,147
22,1:good,1:good,,0.929,150
23,1:good,1:good,,0.995,151
24,1:good,1:good,,0.635,152
25,1:good,2:bad,+,0.647,157
26,1:good,1:good,,0.987,162
27,1:good,1:good,,0.938,171
28,2:bad,2:bad,,0.884,180
29,1:good,1:good,,0.995,183
30,2:bad,2:bad,,0.675,186
31,2:bad,1:good,+,0.995,190
32,2:bad,2:bad,,0.546,194
33,2:bad,1:good,+,0.881,197
34,1:good,1:good,,0.926,202
35,1:good,1:good,,0.865,207
36,1:good,1:good,,0.952,219
37,1:good,1:good,,0.969,224
38,1:good,2:bad,+,0.515,225
39,2:bad,2:bad,,0.984,226
40,1:good,2:bad,+,0.889,229
41,1:good,1:good,,0.978,232
42,1:good,1:good,,0.91,233
43,1:good,1:good,,0.998,246
44,1:good,1:good,,0.956,253
45,1:good,2:bad,+,0.942,255
46,1:good,1:good,,0.956,258
47,1:good,1:good,,0.689,262
48,1:good,1:good,,0.829,267
49,1:good,1:good,,0.928,279
50,1:good,1:good,,0.914,282
51,1:good,1:good,,0.994,283
52,1:good,1:good,,0.659,293
53,1:good,1:good,,0.987,297
54,2:bad,2:bad,,0.78,301
55,1:good,1:good,,0.837,303
56,1:good,1:good,,0.821,317
57,1:good,1:good,,0.608,322
58,1:good,1:good,,0.981,325
59,1:good,1:good,,0.657,347
60,1:good,1:good,,0.983,348
61,1:good,1:good,,0.97,358
62,2:bad,1:good,+,0.582,364
63,1:good,2:bad,+,1,373
64,2:bad,2:bad,,1,374
65,1:good,1:good,,0.978,376
66,1:good,1:good,,0.912,384
67,1:good,1:good,,0.952,386
68,1:good,1:good,,0.961,400
69,2:bad,2:bad,,0.588,402
70,1:good,1:good,,0.925,403
71,1:good,1:good,,0.721,410
72,2:bad,1:good,+,0.637,414
73,1:good,1:good,,0.964,415
74,2:bad,1:good,+,0.767,419
75,1:good,1:good,,0.95,421
76,1:good,1:good,,0.993,437
77,1:good,2:bad,+,0.685,438
78,1:good,2:bad,+,0.562,441
79,1:good,1:good,,0.875,452
