inst#,actual,predicted,error,prediction,ID
1,1:good,1:good,,1,8
2,1:good,1:good,,1,16
3,1:good,2:bad,+,1,17
4,1:good,1:good,,1,26
5,1:good,1:good,,1,36
6,2:bad,1:good,+,1,37
7,1:good,1:good,,1,45
8,1:good,1:good,,1,48
9,1:good,1:good,,1,53
10,1:good,1:good,,1,103
11,1:good,1:good,,1,111
12,1:good,2:bad,+,1,112
13,1:good,1:good,,1,115
14,1:good,1:good,,1,119
15,1:good,1:good,,1,122
16,1:good,1:good,,1,123
17,2:bad,1:good,+,1,127
18,2:bad,2:bad,,1,129
19,2:bad,1:good,+,1,143
20,1:good,2:bad,+,1,146
21,1:good,1:good,,1,147
22,1:good,1:good,,1,150
23,1:good,1:good,,1,151
24,1:good,1:good,,1,152
25,1:good,2:bad,+,1,157
26,1:good,1:good,,1,162
27,1:good,1:good,,1,171
28,2:bad,1:good,+,1,180
29,1:good,1:good,,1,183
30,2:bad,1:good,+,1,186
31,2:bad,1:good,+,1,190
32,2:bad,1:good,+,1,194
33,2:bad,1:good,+,1,197
34,1:good,1:good,,1,202
35,1:good,1:good,,1,207
36,1:good,1:good,,1,219
37,1:good,1:good,,1,224
38,1:good,2:bad,+,1,225
39,2:bad,1:good,+,1,226
40,1:good,2:bad,+,1,229
41,1:good,1:good,,1,232
42,1:good,1:good,,1,233
43,1:good,1:good,,1,246
44,1:good,1:good,,1,253
45,1:good,1:good,,1,255
46,1:good,1:good,,1,258
47,1:good,1:good,,1,262
48,1:good,1:good,,1,267
49,1:good,1:good,,1,279
50,1:good,1:good,,1,282
51,1:good,1:good,,1,283
52,1:good,1:good,,1,293
53,1:good,1:good,,1,297
54,2:bad,2:bad,,1,301
55,1:good,1:good,,1,303
56,1:good,1:good,,1,317
57,1:good,1:good,,1,322
58,1:good,1:good,,1,325
59,1:good,2:bad,+,1,347
60,1:good,1:good,,1,348
61,1:good,1:good,,1,358
62,2:bad,1:good,+,1,364
63,1:good,1:good,,1,373
64,2:bad,2:bad,,1,374
65,1:good,1:good,,1,376
66,1:good,1:good,,1,384
67,1:good,1:good,,1,386
68,1:good,1:good,,1,400
69,2:bad,1:good,+,1,402
70,1:good,1:good,,1,403
71,1:good,1:good,,1,410
72,2:bad,2:bad,,1,414
73,1:good,1:good,,1,415
74,2:bad,1:good,+,1,419
75,1:good,1:good,,1,421
76,1:good,1:good,,1,437
77,1:good,2:bad,+,1,438
78,1:good,2:bad,+,1,441
79,1:good,1:good,,1,452
80,1:good,1:good,,1,463
81,1:good,1:good,,1,469
82,2:bad,2:bad,,1,472
83,1:good,1:good,,1,480
84,1:good,1:good,,1,488
85,2:bad,2:bad,,1,496
86,2:bad,1:good,+,1,503
87,2:bad,1:good,+,1,505
88,1:good,1:good,,1,509
89,1:good,1:good,,1,511
90,1:good,1:good,,1,515
91,2:bad,1:good,+,1,517
92,1:good,1:good,,1,550
93,1:good,1:good,,1,571
