inst#,actual,predicted,error,prediction,ID
1,2:bad,1:good,+,1,1
2,2:bad,1:good,+,1,4
3,2:bad,1:good,+,1,13
4,1:good,1:good,,1,14
5,1:good,1:good,,1,20
6,1:good,1:good,,1,21
7,1:good,1:good,,1,27
8,1:good,1:good,,1,32
9,1:good,1:good,,1,34
10,2:bad,1:good,+,1,35
11,1:good,1:good,,1,40
12,1:good,1:good,,1,47
13,1:good,1:good,,1,52
14,1:good,1:good,,1,58
15,2:bad,1:good,+,1,62
16,1:good,1:good,,1,64
17,1:good,1:good,,1,71
18,2:bad,1:good,+,1,80
19,1:good,1:good,,1,85
20,2:bad,2:bad,,1,87
21,1:good,1:good,,1,91
22,2:bad,2:bad,,1,95
23,1:good,1:good,,1,98
24,1:good,2:bad,+,1,99
25,1:good,1:good,,1,102
26,2:bad,2:bad,,1,105
27,2:bad,1:good,+,1,106
28,1:good,1:good,,1,121
29,1:good,1:good,,1,128
30,1:good,1:good,,1,130
31,1:good,1:good,,1,134
32,1:good,1:good,,1,138
33,1:good,1:good,,1,156
34,1:good,1:good,,1,159
35,1:good,1:good,,1,160
36,1:good,1:good,,1,161
37,2:bad,1:good,+,1,166
38,2:bad,1:good,+,1,170
39,1:good,1:good,,1,187
40,1:good,1:good,,1,189
41,2:bad,1:good,+,1,191
42,1:good,1:good,,1,200
43,1:good,1:good,,1,201
44,1:good,1:good,,1,205
45,1:good,1:good,,1,206
46,1:good,1:good,,1,214
47,1:good,1:good,,1,216
48,1:good,1:good,,1,217
49,2:bad,2:bad,,1,230
50,2:bad,1:good,+,1,240
51,1:good,1:good,,1,241
52,2:bad,1:good,+,1,242
53,1:good,1:good,,1,243
54,1:good,1:good,,1,251
55,2:bad,1:good,+,1,252
56,1:good,1:good,,1,269
57,1:good,1:good,,1,270
58,2:bad,1:good,+,1,273
59,1:good,1:good,,1,276
60,1:good,1:good,,1,288
61,2:bad,1:good,+,1,295
62,2:bad,1:good,+,1,308
63,2:bad,1:good,+,1,313
64,2:bad,1:good,+,1,315
65,1:good,1:good,,1,330
66,2:bad,1:good,+,1,337
67,1:good,1:good,,1,339
68,1:good,1:good,,1,343
69,1:good,1:good,,1,345
70,1:good,1:good,,1,366
71,1:good,1:good,,1,372
72,2:bad,2:bad,,1,378
73,1:good,1:good,,1,379
74,1:good,1:good,,1,385
75,1:good,1:good,,1,387
76,1:good,1:good,,1,389
77,1:good,1:good,,1,391
78,1:good,1:good,,1,392
79,1:good,1:good,,1,397
80,1:good,1:good,,1,401
81,1:good,1:good,,1,406
82,1:good,1:good,,1,413
83,1:good,1:good,,1,418
84,1:good,1:good,,1,427
85,2:bad,1:good,+,1,435
86,2:bad,1:good,+,1,454
87,1:good,1:good,,1,455
88,1:good,1:good,,1,458
89,1:good,1:good,,1,459
90,1:good,1:good,,1,460
91,1:good,1:good,,1,461
92,2:bad,1:good,+,1,466
93,2:bad,1:good,+,1,471
94,2:bad,1:good,+,1,474
95,2:bad,1:good,+,1,475
96,1:good,1:good,,1,476
97,1:good,1:good,,1,484
98,1:good,1:good,,1,489
99,2:bad,1:good,+,1,491
100,1:good,1:good,,1,492
101,1:good,1:good,,1,498
102,1:good,1:good,,1,502
103,2:bad,1:good,+,1,504
104,1:good,1:good,,1,508
105,2:bad,1:good,+,1,510
106,1:good,1:good,,1,520
107,1:good,1:good,,1,524
108,2:bad,1:good,+,1,540
109,1:good,1:good,,1,546
110,1:good,1:good,,1,553
111,2:bad,1:good,+,1,555
