inst#,actual,predicted,error,prediction,ID
1,2:2,2:2,,0.333,0
2,1:1,1:1,,0.333,3
3,2:2,2:2,,0.333,5
4,4:4,4:4,,0.333,9
5,4:4,4:4,,0.333,15
6,5:5,5:5,,0.333,22
7,1:1,1:1,,0.333,25
8,1:1,1:1,,0.333,30
9,1:1,1:1,,0.333,33
10,1:1,1:1,,0.333,39
11,1:1,1:1,,0.333,42
12,3:3,3:3,,0.333,45
13,4:4,4:4,,0.333,46
14,1:1,1:1,,0.333,55
15,2:2,2:2,,0.333,56
16,3:3,3:3,,0.333,57
17,1:1,1:1,,0.333,63
18,3:3,3:3,,0.333,72
19,5:5,5:5,,0.333,73
20,2:2,2:2,,0.333,76
21,1:1,1:1,,0.333,77
22,3:3,3:3,,0.333,78
23,2:2,2:2,,0.333,82
24,2:2,2:2,,0.333,90
25,1:1,1:1,,0.333,93
26,3:3,3:3,,0.333,94
27,5:5,5:5,,0.333,101
28,3:3,3:3,,0.333,108
29,1:1,1:1,,0.333,109
30,3:3,3:3,,0.333,114
31,1:1,1:1,,0.333,119
32,1:1,1:1,,0.333,124
33,6:6,6:6,,0.333,126
34,2:2,2:2,,0.333,137
35,1:1,1:1,,0.333,152
36,1:1,1:1,,0.333,165
37,1:1,1:1,,0.333,176
38,1:1,1:1,,0.333,183
39,3:3,3:3,,0.333,192
40,1:1,1:1,,0.333,193
41,2:2,2:2,,0.333,195
42,3:3,3:3,,0.333,196
43,5:5,5:5,,0.333,203
44,1:1,1:1,,0.333,211
45,4:4,4:4,,0.333,220
46,5:5,5:5,,0.333,224
47,1:1,1:1,,0.333,233
48,1:1,1:1,,0.333,234
49,1:1,1:1,,0.333,237
50,1:1,1:1,,0.333,242
51,1:1,1:1,,0.333,248
52,3:3,3:3,,0.333,253
53,5:5,5:5,,0.333,262
54,5:5,5:5,,0.333,265
55,1:1,1:1,,0.333,275
56,1:1,1:1,,0.333,283
57,1:1,1:1,,0.333,292
58,5:5,5:5,,0.333,298
59,3:3,3:3,,0.333,301
60,1:1,1:1,,0.333,305
61,4:4,4:4,,0.333,307
62,1:1,1:1,,0.333,310
63,4:4,4:4,,0.333,332
64,5:5,5:5,,0.333,338
65,3:3,3:3,,0.333,339
66,6:6,6:6,,0.333,344
67,4:4,2:2,+,0.333,346
68,6:6,6:6,,0.333,347
69,1:1,1:1,,0.333,350
70,5:5,5:5,,0.333,353
71,1:1,1:1,,0.333,355
72,2:2,2:2,,0.333,360
73,4:4,4:4,,0.333,362
74,3:3,3:3,,0.333,364

