inst#,actual,predicted,error,prediction,ID
1,3:3,3:3,,0.95,2
2,2:2,2:2,,0.956,11
3,3:3,3:3,,0.979,23
4,3:3,3:3,,0.949,29
5,2:2,2:2,,0.913,37
6,3:3,3:3,,0.956,38
7,4:4,4:4,,0.921,67
8,5:5,5:5,,0.923,68
9,1:1,1:1,,0.916,69
10,4:4,4:4,,0.857,74
11,2:2,2:2,,0.865,83
12,1:1,1:1,,0.925,86
13,5:5,5:5,,0.927,92
14,2:2,2:2,,0.946,96
15,5:5,5:5,,0.929,97
16,1:1,1:1,,0.961,107
17,5:5,5:5,,0.914,112
18,5:5,5:5,,0.939,115
19,3:3,3:3,,0.952,117
20,2:2,2:2,,0.474,120
21,6:6,6:6,,0.829,122
22,2:2,2:2,,0.94,125
23,3:3,3:3,,0.981,127
24,4:4,4:4,,0.775,129
25,5:5,5:5,,0.933,133
26,3:3,3:3,,0.522,143
27,3:3,3:3,,0.94,144
28,2:2,2:2,,0.913,146
29,5:5,5:5,,0.961,154
30,6:6,6:6,,0.879,163
31,2:2,2:2,,0.955,164
32,1:1,1:1,,0.986,175
33,2:2,2:2,,0.949,177
34,3:3,3:3,,0.884,179
35,6:6,6:6,,0.863,184
36,2:2,2:2,,0.951,185
37,1:1,1:1,,0.983,194
38,2:2,2:2,,0.637,197
39,2:2,2:2,,0.794,199
40,1:1,1:1,,0.976,210
41,4:4,4:4,,0.842,218
42,4:4,4:4,,0.916,219
43,5:5,5:5,,0.953,223
44,5:5,5:5,,0.949,227
45,1:1,1:1,,0.914,238
46,6:6,6:6,,0.903,239
47,1:1,1:1,,0.985,244
48,1:1,1:1,,0.988,245
49,3:3,3:3,,0.969,249
50,3:3,3:3,,0.965,250
51,4:4,4:4,,0.934,258
52,6:6,6:6,,0.915,266
53,2:2,2:2,,0.757,277
54,2:2,2:2,,0.898,278
55,4:4,2:2,+,0.52,281
56,3:3,3:3,,0.979,287
57,3:3,3:3,,0.856,288
58,3:3,3:3,,0.942,289
59,1:1,1:1,,0.901,291
60,5:5,5:5,,0.953,296
61,5:5,5:5,,0.947,299
62,4:4,4:4,,0.943,303
63,1:1,1:1,,0.92,309
64,3:3,3:3,,0.983,312
65,3:3,3:3,,0.985,314
66,1:1,1:1,,0.931,320
67,3:3,3:3,,0.959,326
68,4:4,4:4,,0.912,331
69,5:5,5:5,,0.775,337
70,1:1,1:1,,0.986,340
71,4:4,4:4,,0.839,345
72,6:6,6:6,,0.881,349
73,1:1,1:1,,0.981,352

