inst#,actual,predicted,error,prediction,ID
1,1:1,1:1,,0.913,1
2,1:1,1:1,,0.949,13
3,6:6,1:1,+,0.286,20
4,2:2,1:1,+,0.466,21
5,4:4,4:4,,0.615,34
6,2:2,4:4,+,0.565,43
7,2:2,2:2,,0.456,48
8,3:3,3:3,,0.934,49
9,3:3,3:3,,0.955,50
10,1:1,1:1,,0.991,52
11,1:1,1:1,,0.952,53
12,5:5,5:5,,0.921,54
13,4:4,4:4,,0.668,58
14,6:6,6:6,,0.594,71
15,1:1,1:1,,0.914,80
16,3:3,3:3,,0.834,87
17,1:1,1:1,,0.976,88
18,2:2,2:2,,0.517,91
19,6:6,6:6,,0.607,99
20,1:1,1:1,,0.948,102
21,1:1,1:1,,0.88,105
22,4:4,4:4,,0.891,106
23,5:5,5:5,,0.795,121
24,1:1,1:1,,0.968,130
25,5:5,5:5,,0.69,134
26,2:2,2:2,,0.903,149
27,1:1,1:1,,0.866,151
28,4:4,4:4,,0.969,160
29,2:2,2:2,,0.522,161
30,1:1,1:1,,0.998,166
31,3:3,3:3,,0.987,169
32,3:3,3:3,,0.982,174
33,2:2,2:2,,0.977,187
34,2:2,2:2,,0.866,188
35,1:1,1:1,,0.799,189
36,3:3,3:3,,0.957,190
37,3:3,3:3,,1,191
38,5:5,5:5,,0.8,201
39,1:1,1:1,,1,205
40,1:1,1:1,,0.988,207
41,3:3,3:3,,0.96,212
42,3:3,3:3,,0.958,214
43,3:3,3:3,,0.99,217
44,1:1,1:1,,0.892,235
45,1:1,1:1,,0.99,241
46,1:1,1:1,,1,243
47,3:3,3:3,,1,251
48,3:3,3:3,,0.972,252
49,4:4,4:4,,0.456,257
50,4:4,4:4,,0.895,259
51,5:5,1:1,+,0.349,263
52,5:5,5:5,,0.581,264
53,4:4,4:4,,0.533,269
54,4:4,4:4,,0.908,270
55,1:1,1:1,,0.893,273
56,1:1,1:1,,0.998,276
57,1:1,1:1,,0.985,293
58,5:5,5:5,,0.916,295
59,4:4,4:4,,0.93,306
60,4:4,4:4,,0.794,308
61,3:3,3:3,,1,313
62,3:3,3:3,,1,315
63,1:1,1:1,,0.988,319
64,1:1,1:1,,0.954,330
65,5:5,5:5,,0.88,333
66,5:5,5:5,,0.783,334
67,6:6,6:6,,0.526,343
68,6:6,6:6,,0.672,348
69,1:1,1:1,,1,351
70,1:1,1:1,,0.952,356
71,2:2,2:2,,0.525,359
72,3:3,3:3,,1,363
73,1:1,1:1,,0.991,365

