inst#,actual,predicted,error,prediction,ID
1,1:0,2:1,+,0.998,12
2,3:2,2:1,+,0.994,17
3,1:0,2:1,+,1,20
4,3:2,2:1,+,0.537,30
5,1:0,2:1,+,1,37
6,3:2,1:0,+,1,41
7,3:2,3:2,,1,45
8,3:2,1:0,+,1,46
9,2:1,2:1,,1,48
10,1:0,2:1,+,0.631,57
11,2:1,1:0,+,0.934,58
12,2:1,1:0,+,0.845,59
13,2:1,2:1,,1,61
14,1:0,2:1,+,0.999,65
15,1:0,2:1,+,0.967,68
16,1:0,2:1,+,0.555,69
17,1:0,2:1,+,0.795,73
18,1:0,1:0,,0.998,79
19,3:2,3:2,,1,81
20,3:2,1:0,+,1,84
21,3:2,1:0,+,0.53,87
22,2:1,1:0,+,0.95,91
23,3:2,3:2,,0.994,99
24,1:0,1:0,,0.865,100
25,1:0,3:2,+,0.949,102
26,1:0,1:0,,0.883,104
27,3:2,3:2,,1,111
28,2:1,2:1,,0.986,118
29,1:0,2:1,+,0.991,122
30,2:1,2:1,,1,132
31,1:0,3:2,+,0.824,157
32,2:1,2:1,,1,164
33,2:1,2:1,,1,168
34,1:0,1:0,,0.985,172
35,2:1,1:0,+,0.532,176
36,1:0,1:0,,0.997,177
37,3:2,3:2,,1,179
38,3:2,3:2,,1,180
39,3:2,3:2,,1,181
40,1:0,1:0,,1,188
41,1:0,1:0,,0.926,196
42,1:0,1:0,,1,199
43,3:2,2:1,+,1,208
44,3:2,2:1,+,0.99,209
45,3:2,3:2,,1,211
46,3:2,3:2,,1,212
47,2:1,2:1,,0.999,214
48,1:0,2:1,+,0.949,221
49,1:0,2:1,+,1,222
50,3:2,3:2,,1,229
51,3:2,3:2,,1,230
52,3:2,1:0,+,0.872,231
53,3:2,3:2,,1,233
54,2:1,3:2,+,0.993,237
55,2:1,2:1,,1,239
56,1:0,1:0,,0.833,246
57,1:0,1:0,,0.987,247
58,1:0,3:2,+,0.643,254
59,3:2,3:2,,0.927,257
60,2:1,1:0,+,0.639,261
61,3:2,3:2,,1,280
62,2:1,2:1,,0.663,300
63,1:0,2:1,+,0.545,308
64,3:2,1:0,+,1,313
65,3:2,3:2,,0.999,319
66,1:0,1:0,,0.989,323
67,2:1,1:0,+,1,328
68,2:1,1:0,+,0.995,332
69,1:0,2:1,+,0.563,334
70,1:0,2:1,+,0.98,337
71,3:2,2:1,+,0.996,347
72,2:1,2:1,,0.819,350
73,2:1,2:1,,1,353
74,2:1,2:1,,1,354
75,3:2,3:2,,0.577,361
76,3:2,3:2,,1,363
77,1:0,2:1,+,0.449,372
78,2:1,2:1,,0.636,377
79,3:2,1:0,+,1,385
80,2:1,2:1,,0.992,393
81,2:1,2:1,,0.971,394
82,1:0,1:0,,0.951,397
83,2:1,2:1,,1,400
84,2:1,2:1,,0.998,401
85,2:1,1:0,+,1,402
86,1:0,1:0,,1,403
87,2:1,2:1,,0.969,411
88,3:2,1:0,+,0.737,414
89,2:1,2:1,,0.596,418
90,2:1,2:1,,1,420
91,3:2,2:1,+,0.989,428
92,3:2,1:0,+,0.954,429
93,3:2,3:2,,0.998,432
94,1:0,1:0,,0.671,433
95,2:1,2:1,,0.937,435
96,2:1,3:2,+,0.987,438
97,1:0,1:0,,1,445
98,2:1,2:1,,0.966,449
99,2:1,1:0,+,1,453
100,1:0,2:1,+,0.745,455
101,2:1,1:0,+,0.999,456
102,2:1,2:1,,0.838,462
103,3:2,3:2,,1,471
104,1:0,2:1,+,1,472
105,1:0,2:1,+,0.989,473
106,3:2,2:1,+,0.933,477
107,1:0,2:1,+,0.638,485
108,2:1,2:1,,0.961,503
109,3:2,1:0,+,0.581,509
110,3:2,1:0,+,0.999,511
111,3:2,2:1,+,0.984,524
112,3:2,3:2,,0.951,527
113,2:1,2:1,,0.634,528
114,2:1,1:0,+,0.956,535
115,1:0,2:1,+,0.957,538
116,2:1,3:2,+,1,540
117,3:2,2:1,+,0.951,544
118,3:2,1:0,+,0.919,546
119,3:2,2:1,+,0.939,550
120,3:2,1:0,+,0.744,551
121,1:0,2:1,+,1,555
122,2:1,2:1,,0.941,561
123,2:1,1:0,+,1,564
124,3:2,1:0,+,0.672,573
125,2:1,1:0,+,0.987,578
126,2:1,1:0,+,0.596,579
127,3:2,1:0,+,0.997,591
128,1:0,1:0,,0.733,595
129,2:1,2:1,,1,601
130,1:0,1:0,,0.651,603
131,1:0,1:0,,0.985,604
132,2:1,1:0,+,0.992,611
133,1:0,1:0,,0.99,613
134,2:1,2:1,,0.947,617
135,2:1,3:2,+,0.819,618
136,2:1,1:0,+,1,625
137,1:0,1:0,,0.987,639
138,1:0,2:1,+,0.985,641
139,2:1,1:0,+,0.751,642
140,2:1,3:2,+,0.82,648
141,2:1,1:0,+,0.987,653
142,2:1,3:2,+,1,654
143,2:1,2:1,,0.969,664
144,2:1,2:1,,1,665
145,1:0,1:0,,1,675
146,1:0,1:0,,1,678
147,1:0,1:0,,1,682
148,1:0,2:1,+,0.996,693
149,3:2,3:2,,1,696
150,2:1,2:1,,0.974,701
151,2:1,2:1,,0.991,702
152,2:1,2:1,,0.729,706
153,1:0,1:0,,1,711
154,1:0,1:0,,1,712
155,1:0,1:0,,1,722
156,1:0,1:0,,1,723
157,1:0,1:0,,1,724
158,1:0,1:0,,0.992,737
159,2:1,2:1,,0.967,743
160,2:1,1:0,+,0.972,744
161,2:1,2:1,,0.992,745
162,2:1,2:1,,1,748
163,2:1,2:1,,1,749
164,2:1,1:0,+,1,751
165,2:1,3:2,+,0.929,752
166,2:1,2:1,,0.935,753
167,2:1,2:1,,0.954,754
168,2:1,1:0,+,0.681,759
169,2:1,2:1,,0.995,763
170,2:1,1:0,+,0.99,766
171,3:2,2:1,+,0.967,772
172,1:0,3:2,+,0.678,773
173,1:0,1:0,,0.99,777
174,1:0,1:0,,0.942,779
175,3:2,3:2,,0.984,786
176,2:1,2:1,,0.719,792
177,2:1,1:0,+,0.659,800
178,2:1,2:1,,1,809
179,2:1,1:0,+,0.996,810
180,2:1,1:0,+,1,811
181,2:1,2:1,,0.881,812
182,1:0,1:0,,1,815
183,1:0,2:1,+,0.929,819
184,1:0,1:0,,0.999,821
185,3:2,2:1,+,0.996,828
186,1:0,1:0,,1,831
187,3:2,1:0,+,0.513,833
188,3:2,2:1,+,0.999,834
189,3:2,3:2,,0.989,835
190,1:0,1:0,,1,837
191,3:2,1:0,+,0.878,841
192,3:2,3:2,,1,842
193,2:1,1:0,+,0.792,847
194,1:0,1:0,,0.999,858
195,2:1,1:0,+,1,862
196,2:1,1:0,+,0.784,865
197,1:0,1:0,,0.689,868
198,3:2,1:0,+,1,871
199,2:1,2:1,,1,877
200,2:1,2:1,,0.981,879
201,1:0,2:1,+,1,880
202,1:0,1:0,,0.95,898
203,1:0,1:0,,1,906
204,1:0,2:1,+,0.566,930
205,3:2,1:0,+,0.97,934
206,1:0,1:0,,1,940
207,1:0,3:2,+,0.998,947
208,3:2,3:2,,0.978,957
209,1:0,1:0,,1,962
210,2:1,1:0,+,0.997,964
211,1:0,1:0,,0.963,981
212,1:0,2:1,+,0.997,982
213,1:0,1:0,,0.885,994
214,2:1,2:1,,0.967,997
215,2:1,2:1,,0.879,1005
216,2:1,2:1,,0.987,1009
217,1:0,2:1,+,0.731,1017
218,1:0,2:1,+,0.982,1018
219,2:1,2:1,,0.928,1025
220,2:1,2:1,,0.999,1027
221,1:0,1:0,,0.631,1031
222,1:0,1:0,,1,1034
223,2:1,2:1,,0.995,1038
224,1:0,2:1,+,1,1042
225,1:0,1:0,,0.81,1043
226,1:0,1:0,,0.863,1044
227,1:0,2:1,+,0.998,1046
228,3:2,1:0,+,0.532,1047
229,2:1,2:1,,1,1052
230,2:1,2:1,,1,1053
231,2:1,1:0,+,0.577,1055
232,3:2,3:2,,1,1057
233,2:1,1:0,+,0.954,1061
234,3:2,3:2,,0.963,1070
235,2:1,2:1,,0.828,1074
236,2:1,2:1,,0.624,1075
237,2:1,1:0,+,0.795,1092
238,1:0,2:1,+,0.935,1095
239,2:1,1:0,+,0.815,1097
240,1:0,1:0,,0.613,1101
241,1:0,1:0,,0.979,1103
242,2:1,2:1,,0.726,1108
243,2:1,2:1,,0.519,1109
244,1:0,1:0,,0.999,1115
245,1:0,1:0,,0.99,1126
246,3:2,3:2,,1,1127
247,1:0,2:1,+,1,1139
248,2:1,1:0,+,0.685,1143
249,1:0,2:1,+,0.999,1144
250,3:2,1:0,+,0.997,1146
251,3:2,3:2,,0.976,1152
252,1:0,1:0,,1,1153
253,1:0,2:1,+,0.997,1162
254,1:0,1:0,,0.969,1163
255,3:2,3:2,,0.57,1168
256,2:1,2:1,,0.912,1172
257,3:2,3:2,,1,1173
258,3:2,1:0,+,0.844,1176
259,2:1,2:1,,0.627,1193
260,2:1,2:1,,0.754,1197
261,3:2,1:0,+,0.999,1204
262,1:0,1:0,,0.96,1212
263,1:0,1:0,,0.834,1219
264,1:0,1:0,,0.972,1220
265,1:0,1:0,,0.999,1222
266,1:0,1:0,,0.986,1223
267,3:2,2:1,+,0.997,1226
268,2:1,2:1,,0.999,1233
269,1:0,2:1,+,0.505,1242
270,2:1,3:2,+,0.716,1244
271,2:1,2:1,,0.803,1259
272,2:1,2:1,,1,1263
273,2:1,1:0,+,0.968,1272
274,1:0,1:0,,0.979,1278
275,1:0,1:0,,0.98,1280
276,1:0,2:1,+,0.999,1287
277,2:1,2:1,,0.995,1295
278,2:1,1:0,+,0.744,1298
279,2:1,1:0,+,0.891,1299
280,1:0,1:0,,0.509,1302
281,3:2,1:0,+,1,1313
282,3:2,1:0,+,0.959,1314
283,2:1,2:1,,0.87,1320
284,2:1,3:2,+,0.949,1321
285,2:1,2:1,,1,1322
286,2:1,2:1,,1,1323
287,1:0,1:0,,1,1328
288,1:0,1:0,,0.998,1329
289,1:0,1:0,,0.777,1332
290,1:0,1:0,,0.97,1334
291,2:1,2:1,,0.46,1336
292,2:1,2:1,,1,1345
293,1:0,1:0,,1,1346
294,1:0,2:1,+,0.999,1352
295,2:1,2:1,,0.958,1354
296,2:1,1:0,+,0.999,1359
297,3:2,2:1,+,0.724,1362
298,2:1,2:1,,1,1372
299,1:0,2:1,+,0.997,1374
300,2:1,3:2,+,0.83,1379
